 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 14393.82 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0113

 DETECTORS		DIRECTIONS
 D1          69		R          118
 D2         105		RL         116
 D3         129		FL         110
 D4         156		F          126
 D5         144		FR         103
 D6         119		RR         136

------------------ INTERNAL DATA REF ------------------------
1-1
0.75;8-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.059	uSv h^-1	(10.6%)
 H*(10)_i	:	0.235	uSv     	(10.6%)
 h*(10)		:	145.8	pSv cm^2	(4.5%)
 phi		:	0.112	cm^-2 s^-1 	(9.6%)
 thermal   	:	0.2209
 epithermal	:	0.3898
 fast      	:	0.3893
-------------------------------------------------------------
 Average experimental data uncertainty	:	9.35%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.100928E-04
2.580E-09	1.790532E-04
3.340E-09	2.911988E-04
4.310E-09	4.666598E-04
5.570E-09	7.415276E-04
7.190E-09	1.158954E-03
9.280E-09	1.777574E-03
1.200E-08	2.669337E-03
1.550E-08	3.878145E-03
2.000E-08	5.404737E-03
2.580E-08	7.455765E-03
3.340E-08	9.367308E-03
4.310E-08	1.084173E-02
5.570E-08	1.137851E-02
7.190E-08	1.060210E-02
9.280E-08	8.632769E-03
1.200E-07	6.151505E-03
1.550E-07	4.121560E-03
2.000E-07	3.039885E-03
2.580E-07	2.697435E-03
3.340E-07	2.652855E-03
4.310E-07	2.670362E-03
5.570E-07	2.694279E-03
7.190E-07	2.718883E-03
9.280E-07	2.744068E-03
1.200E-06	2.770043E-03
1.550E-06	2.796521E-03
2.000E-06	2.823512E-03
2.580E-06	2.851106E-03
3.340E-06	2.879737E-03
4.310E-06	2.908667E-03
5.570E-06	2.938437E-03
7.190E-06	2.968749E-03
9.280E-06	2.999732E-03
1.200E-05	3.031648E-03
1.550E-05	3.064137E-03
2.000E-05	3.097208E-03
2.580E-05	3.130967E-03
3.340E-05	3.165934E-03
4.310E-05	3.201201E-03
5.570E-05	3.237409E-03
7.190E-05	3.274181E-03
9.280E-05	3.311650E-03
1.200E-04	3.350097E-03
1.550E-04	3.389050E-03
2.000E-04	3.428467E-03
2.580E-04	3.468404E-03
3.340E-04	3.509379E-03
4.310E-04	3.550204E-03
5.570E-04	3.591468E-03
7.190E-04	3.632532E-03
9.280E-04	3.673281E-03
1.200E-03	3.735226E-03
1.550E-03	3.781337E-03
2.000E-03	3.827767E-03
2.580E-03	3.874574E-03
3.340E-03	3.922374E-03
4.310E-03	3.969841E-03
5.570E-03	4.017804E-03
7.190E-03	4.065799E-03
9.280E-03	4.114196E-03
1.200E-02	4.163833E-03
1.550E-02	4.215064E-03
2.000E-02	4.269585E-03
2.580E-02	4.330506E-03
3.340E-02	4.403965E-03
4.310E-02	4.496244E-03
5.570E-02	4.621739E-03
7.190E-02	4.798546E-03
9.280E-02	5.054832E-03
1.200E-01	5.431908E-03
1.550E-01	5.974561E-03
2.000E-01	6.735449E-03
2.580E-01	7.766113E-03
3.340E-01	9.117618E-03
4.310E-01	1.073877E-02
5.570E-01	1.256516E-02
7.190E-01	1.439111E-02
9.280E-01	1.593610E-02
1.200E+00	1.684008E-02
1.550E+00	1.671419E-02
2.000E+00	1.532063E-02
2.580E+00	1.269856E-02
3.340E+00	9.220213E-03
4.310E+00	5.722925E-03
5.570E+00	2.898683E-03
7.190E+00	1.153289E-03
9.280E+00	3.437554E-04
1.200E+01	7.327650E-05
1.550E+01	1.126783E-05
2.000E+01	1.237168E-06
2.580E+01	8.573737E-08
3.340E+01	2.772548E-09
4.310E+01	3.370206E-11
5.570E+01	1.020413E-13
7.190E+01	5.425445E-17
9.280E+01	0.000000E+00
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

