 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 3582.99 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0122

 DETECTORS		DIRECTIONS
 D1         147		R          136
 D2         165		RL         120
 D3         147		FL          74
 D4         122		F           92
 D5         112		FR         137
 D6          67		RR         190

------------------ INTERNAL DATA REF ------------------------
4-1
0.75;85-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.109	uSv h^-1	(11.7%)
 H*(10)_i	:	0.109	uSv     	(11.7%)
 h*(10)		:	49.0	pSv cm^2	(6.9%)
 phi		:	0.619	cm^-2 s^-1 	(9.5%)
 thermal   	:	0.6393
 epithermal	:	0.2445
 fast      	:	0.1162
-------------------------------------------------------------
 Average experimental data uncertainty	:	9.17%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.927288E-03
2.580E-09	3.134512E-03
3.340E-09	5.097737E-03
4.310E-09	8.169364E-03
5.570E-09	1.298121E-02
7.190E-09	2.028869E-02
9.280E-09	3.111829E-02
1.200E-08	4.672951E-02
1.550E-08	6.789095E-02
2.000E-08	9.461554E-02
2.580E-08	1.298173E-01
3.340E-08	1.625019E-01
4.310E-08	1.869707E-01
5.570E-08	1.942224E-01
7.190E-08	1.776492E-01
9.280E-08	1.397244E-01
1.200E-07	9.316352E-02
1.550E-07	5.544138E-02
2.000E-07	3.495785E-02
2.580E-07	2.757823E-02
3.340E-07	2.543442E-02
4.310E-07	2.442620E-02
5.570E-07	2.355215E-02
7.190E-07	2.272346E-02
9.280E-07	2.193096E-02
1.200E-06	2.116705E-02
1.550E-06	2.043914E-02
2.000E-06	1.974510E-02
2.580E-06	1.908109E-02
3.340E-06	1.843640E-02
4.310E-06	1.782663E-02
5.570E-06	1.723900E-02
7.190E-06	1.667845E-02
9.280E-06	1.614140E-02
1.200E-05	1.562279E-02
1.550E-05	1.512771E-02
2.000E-05	1.465479E-02
2.580E-05	1.420150E-02
3.340E-05	1.376055E-02
4.310E-05	1.334268E-02
5.570E-05	1.293919E-02
7.190E-05	1.255351E-02
9.280E-05	1.218322E-02
1.200E-04	1.182486E-02
1.550E-04	1.148197E-02
2.000E-04	1.115364E-02
2.580E-04	1.083810E-02
3.340E-04	1.053027E-02
4.310E-04	1.023762E-02
5.570E-04	9.954025E-03
7.190E-04	9.681829E-03
9.280E-04	9.419243E-03
1.200E-03	9.164303E-03
1.550E-03	8.918508E-03
2.000E-03	8.681475E-03
2.580E-03	8.451836E-03
3.340E-03	8.225767E-03
4.310E-03	8.008741E-03
5.570E-03	7.796414E-03
7.190E-03	7.591049E-03
9.280E-03	7.392397E-03
1.200E-02	7.200597E-03
1.550E-02	7.021125E-03
2.000E-02	6.859422E-03
2.580E-02	6.724038E-03
3.340E-02	6.627962E-03
4.310E-02	6.594470E-03
5.570E-02	6.650043E-03
7.190E-02	6.827037E-03
9.280E-02	7.157280E-03
1.200E-01	7.664493E-03
1.550E-01	8.328937E-03
2.000E-01	9.077577E-03
2.580E-01	9.765648E-03
3.340E-01	1.018064E-02
4.310E-01	1.007135E-02
5.570E-01	9.278163E-03
7.190E-01	7.834218E-03
9.280E-01	5.995877E-03
1.200E+00	4.153403E-03
1.550E+00	2.689157E-03
2.000E+00	1.731234E-03
2.580E+00	1.175130E-03
3.340E+00	8.581798E-04
4.310E+00	7.219268E-04
5.570E+00	7.893823E-04
7.190E+00	1.106286E-03
9.280E+00	1.712205E-03
1.200E+01	2.685543E-03
1.550E+01	4.141254E-03
2.000E+01	6.232502E-03
2.580E+01	9.106303E-03
3.340E+01	1.287136E-02
4.310E+01	1.724967E-02
5.570E+01	2.173778E-02
7.190E+01	2.523442E-02
9.280E+01	2.640179E-02
1.200E+02	2.414898E-02
1.550E+02	1.860331E-02
2.000E+02	1.153744E-02
2.580E+02	5.433181E-03
3.340E+02	1.774261E-03
4.310E+02	3.781808E-04
5.570E+02	4.611752E-05
7.190E+02	2.885331E-06
9.280E+02	7.808899E-08
1.200E+03	7.027646E-10
1.550E+03	1.619169E-12
2.000E+03	6.418827E-16
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

