[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	2361.13	0.010	68.5%	0.007	68.5%	154.4	13.6%	0.018	67.1%	59.48%	21.8%	35.6%	42.6%	[1-0.43 0]
1	H	(3)	4362.06	0.014	43.6%	0.017	43.6%	183.5	9.3%	0.022	42.6%	42.17%	18.5%	30.7%	50.8%	[1-0.43 0]
2	H	(3)	6363.28	0.017	32.3%	0.029	32.3%	182.5	6.7%	0.025	31.6%	32.43%	14.3%	35.2%	50.4%	[1-0.43 0]
3	H	(3)	8365.31	0.019	29.3%	0.045	29.3%	211.5	6.8%	0.026	28.5%	28.53%	11.2%	30.0%	58.8%	[1-0.43 0]
4	H	(3)	10366.23	0.017	26.5%	0.049	26.5%	194.2	5.7%	0.024	25.9%	25.94%	11.5%	34.3%	54.2%	[1-0.43 0]
5	H	(3)	12367.86	0.020	25.8%	0.068	25.8%	225.3	6.6%	0.024	25.0%	24.08%	10.7%	27.0%	62.3%	[1-0.43 0]
6	H	(3)	14369.53	0.019	22.1%	0.074	22.1%	201.6	4.9%	0.026	21.5%	21.52%	11.0%	32.7%	56.4%	[1-0.43 0]
7	H	(3)	16371.20	0.019	20.8%	0.088	20.8%	212.9	5.0%	0.025	20.2%	20.60%	9.9%	30.9%	59.3%	[1-0.43 0]
8	H	(3)	18372.86	0.017	20.0%	0.089	20.0%	200.0	4.8%	0.024	19.4%	19.50%	12.3%	32.1%	55.6%	[1-0.43 0]
9	H	(3)	20374.52	0.020	19.5%	0.114	19.5%	223.8	5.3%	0.025	18.8%	18.59%	11.0%	26.7%	62.3%	[1-0.43 0]
10	H	(3)	22376.02	0.020	18.3%	0.122	18.3%	211.6	4.5%	0.026	17.7%	17.26%	12.4%	28.5%	59.1%	[1-0.43 0]
11	H	(3)	24377.28	0.025	18.1%	0.168	18.1%	238.4	6.2%	0.029	17.0%	16.29%	17.2%	17.1%	65.7%	[1-0.43 0]
12	H	(3)	26378.50	0.025	17.6%	0.180	17.6%	237.1	6.3%	0.029	16.4%	15.71%	15.2%	19.9%	64.9%	[1-0.52 0]
13	H	(3)	28379.77	0.020	16.1%	0.160	16.1%	208.8	3.9%	0.027	15.6%	14.94%	14.6%	27.3%	58.1%	[1-0.43 0]
14	H	(3)	30381.15	0.019	15.5%	0.159	15.5%	200.5	4.1%	0.026	14.9%	14.39%	14.8%	29.3%	55.9%	[1-0.00 2]
15	H	(3)	32382.56	0.019	15.0%	0.168	15.0%	199.2	3.8%	0.026	14.5%	14.03%	16.0%	28.5%	55.6%	[1-0.00 2]
16	H	(3)	34383.74	0.024	14.8%	0.234	14.8%	218.2	5.3%	0.031	13.9%	13.47%	20.1%	17.5%	62.4%	[1-0.43 0]
17	H	(3)	36385.28	0.016	13.7%	0.166	13.7%	176.9	3.1%	0.026	13.3%	13.03%	16.6%	34.5%	48.9%	[1-0.00 2]
18	H	(3)	38386.72	0.019	13.9%	0.205	13.9%	198.9	3.8%	0.027	13.3%	12.91%	16.8%	27.8%	55.5%	[1-0.49 2]
19	H	(3)	40388.09	0.022	13.8%	0.243	13.8%	215.5	4.3%	0.028	13.1%	12.61%	17.7%	22.0%	60.3%	[1-0.43 0]
20	H	(3)	42389.63	0.019	13.2%	0.225	13.2%	204.2	3.2%	0.026	12.8%	12.40%	15.7%	28.0%	56.4%	[1-0.31 2]
21	H	(3)	44391.20	0.020	13.6%	0.251	13.6%	208.4	5.2%	0.027	12.5%	12.07%	17.5%	25.1%	57.4%	[1-0.44 2]
22	H	(3)	46392.96	0.019	12.9%	0.245	12.9%	202.4	3.8%	0.026	12.3%	11.88%	17.6%	26.4%	55.9%	[1-0.53 2]
23	H	(3)	48394.68	0.018	12.7%	0.241	12.7%	194.7	3.6%	0.026	12.1%	11.65%	17.3%	28.5%	54.1%	[1-0.43 0]
24	H	(3)	50396.43	0.018	12.6%	0.247	12.6%	194.5	3.9%	0.025	11.9%	11.42%	16.2%	29.7%	54.1%	[1-0.38 2]
25	H	(3)	52397.97	0.018	12.0%	0.257	12.0%	192.4	3.1%	0.026	11.6%	11.21%	17.3%	29.4%	53.4%	[1-0.43 0]
26	H	(3)	54399.46	0.017	12.0%	0.264	12.0%	191.0	3.8%	0.025	11.4%	11.00%	17.4%	30.0%	52.6%	[1-0.43 0]
27	H	(3)	56401.04	0.019	11.7%	0.293	11.7%	200.1	3.3%	0.026	11.2%	10.78%	18.1%	26.6%	55.2%	[1-0.43 0]
28	H	(3)	58402.56	0.019	11.6%	0.305	11.6%	202.3	3.7%	0.026	11.0%	10.61%	17.8%	26.4%	55.8%	[1-0.43 0]
29	H	(3)	60403.95	0.015	11.6%	0.255	11.6%	173.3	2.7%	0.024	11.3%	10.44%	17.1%	35.1%	47.9%	[1-0.43 0]
30	H	(3)	62405.23	0.019	11.5%	0.336	11.5%	204.6	4.2%	0.026	10.7%	10.28%	17.9%	24.9%	57.2%	[1-0.43 0]
31	H	(6)	64406.59	0.021	11.9%	0.372	11.9%	213.7	5.1%	0.027	10.7%	10.19%	19.3%	21.8%	58.9%	[1-1.00 1]
32	H	(6)	66407.95	0.019	11.8%	0.357	11.8%	202.9	5.2%	0.026	10.5%	10.03%	18.6%	24.2%	57.1%	[1-1.00 1]
33	H	(6)	68409.10	0.015	12.6%	0.286	12.6%	173.9	2.8%	0.024	12.3%	9.88%	17.2%	34.7%	48.1%	[1-0.43 0]
34	H	(6)	70410.19	0.015	12.5%	0.288	12.5%	172.7	2.7%	0.024	12.2%	9.81%	17.4%	34.9%	47.7%	[1-0.43 0]
35	H	(6)	72412.32	0.015	13.9%	0.300	13.9%	173.4	3.2%	0.024	13.5%	9.70%	17.8%	34.6%	47.7%	[1-1.00 1]
36	H	(6)	74414.42	0.015	18.0%	0.301	18.0%	171.0	10.9%	0.024	14.3%	9.60%	18.1%	34.9%	47.0%	[1-1.00 1]
37	H	(6)	76415.52	0.014	13.2%	0.306	13.2%	173.0	3.3%	0.023	12.7%	9.52%	18.0%	34.3%	47.7%	[1-0.43 0]
38	H	(6)	78416.45	0.014	12.6%	0.313	12.6%	171.8	2.8%	0.023	12.3%	9.38%	17.9%	34.7%	47.4%	[1-0.43 0]
39	H	(6)	80416.42	0.014	11.0%	0.316	11.0%	170.0	2.5%	0.023	10.7%	9.27%	18.1%	35.1%	46.9%	[1-0.43 0]
40	H	(6)	82417.53	0.014	11.5%	0.328	11.5%	170.4	2.8%	0.023	11.2%	9.13%	18.5%	34.4%	47.1%	[1-0.43 0]
41	H	(6)	84418.56	0.014	11.3%	0.334	11.3%	171.0	2.9%	0.023	11.0%	9.06%	18.0%	34.8%	47.1%	[1-0.43 0]
42	H	(6)	86419.73	0.014	11.7%	0.339	11.7%	170.7	2.7%	0.023	11.4%	8.97%	18.0%	34.8%	47.2%	[1-0.43 0]
43	H	(6)	88421.86	0.014	12.3%	0.350	12.3%	171.8	3.1%	0.023	11.9%	8.86%	18.3%	34.5%	47.2%	[1-0.43 0]
44	H	(6)	90421.77	0.014	12.0%	0.353	12.0%	170.2	3.0%	0.023	11.7%	8.77%	18.2%	34.7%	47.1%	[1-0.43 0]
45	H	(6)	92423.03	0.014	11.0%	0.361	11.0%	170.9	2.4%	0.023	10.7%	8.68%	18.1%	34.8%	47.1%	[1-0.43 0]
46	H	(6)	94424.17	0.018	10.3%	0.460	10.3%	199.2	4.0%	0.024	9.5%	8.61%	19.8%	25.0%	55.2%	[1-0.43 0]
47	H	(6)	96425.28	0.017	9.6%	0.465	9.6%	196.6	3.6%	0.025	9.0%	8.51%	19.9%	25.4%	54.8%	[1-0.43 0]
48	H	(6)	98426.49	0.017	9.4%	0.468	9.4%	195.5	3.2%	0.024	8.9%	8.44%	19.0%	26.7%	54.3%	[1-0.43 0]
49	H	(6)	100427.95	0.017	10.0%	0.478	10.0%	195.5	4.7%	0.024	8.8%	8.36%	19.3%	26.3%	54.4%	[1-0.43 0]
50	H	(6)	102429.93	0.015	9.1%	0.419	9.1%	177.1	2.7%	0.023	8.7%	8.30%	18.3%	32.7%	49.0%	[1-0.43 0]
51	H	(6)	104431.97	0.014	9.0%	0.418	9.0%	174.2	2.5%	0.023	8.6%	8.22%	18.3%	33.5%	48.2%	[1-0.43 0]
52	H	(6)	106434.02	0.015	9.1%	0.440	9.1%	177.4	3.1%	0.023	8.6%	8.12%	18.5%	32.5%	49.1%	[1-0.43 0]
53	H	(6)	108436.00	0.015	8.9%	0.443	8.9%	176.6	2.7%	0.023	8.5%	8.05%	18.3%	32.9%	48.8%	[1-0.43 0]
54	H	(6)	110438.06	0.015	8.8%	0.466	8.8%	181.2	2.7%	0.023	8.4%	7.98%	18.6%	31.6%	49.8%	[1-0.43 0]
55	H	(6)	112440.15	0.015	8.8%	0.459	8.8%	176.5	2.7%	0.023	8.3%	7.91%	18.4%	32.9%	48.7%	[1-0.43 0]
56	H	(6)	114442.40	0.015	8.6%	0.477	8.6%	179.1	2.5%	0.023	8.3%	7.85%	18.5%	31.9%	49.6%	[1-0.43 0]
57	H	(6)	116444.61	0.019	8.7%	0.607	8.7%	217.7	2.8%	0.024	8.3%	7.78%	27.4%	13.6%	58.9%	[1-0.43 0]
58	H	(6)	118446.66	0.015	8.7%	0.484	8.7%	177.5	3.0%	0.023	8.1%	7.74%	18.0%	32.9%	49.1%	[1-0.43 0]
59	H	(6)	120448.79	0.016	8.6%	0.525	8.6%	185.4	3.0%	0.024	8.1%	7.68%	19.3%	29.5%	51.2%	[1-0.43 0]
60	H	(6)	122451.01	0.016	8.9%	0.539	8.9%	185.0	3.9%	0.024	8.0%	7.63%	19.9%	28.7%	51.4%	[1-0.43 0]
61	H	(6)	124452.83	0.016	8.8%	0.538	8.8%	182.5	3.8%	0.024	7.9%	7.55%	19.8%	29.9%	50.2%	[1-0.43 0]
62	H	(6)	126454.81	0.015	8.7%	0.542	8.7%	182.1	3.6%	0.024	7.9%	7.49%	19.7%	30.1%	50.2%	[1-0.43 0]
63	H	(6)	128456.85	0.016	8.4%	0.562	8.4%	185.0	3.0%	0.024	7.8%	7.43%	19.6%	29.5%	51.0%	[1-0.43 0]
64	H	(6)	130458.88	0.016	8.7%	0.578	8.7%	186.2	4.0%	0.024	7.7%	7.36%	19.7%	29.2%	51.0%	[1-0.43 0]
65	H	(6)	132460.85	0.017	8.7%	0.627	8.7%	192.4	4.0%	0.025	7.7%	7.32%	20.3%	26.1%	53.6%	[1-0.43 0]
66	H	(6)	134462.58	0.017	8.8%	0.642	8.8%	192.8	4.4%	0.025	7.6%	7.25%	21.2%	25.1%	53.7%	[1-0.43 0]
67	H	(6)	136464.54	0.017	8.4%	0.634	8.4%	189.1	3.7%	0.025	7.6%	7.17%	20.9%	26.7%	52.5%	[1-0.43 0]
68	H	(6)	138466.45	0.017	8.4%	0.670	8.4%	193.7	3.8%	0.025	7.5%	7.11%	20.9%	25.4%	53.7%	[1-0.43 0]
69	H	(6)	140468.43	0.017	8.2%	0.666	8.2%	191.5	3.5%	0.025	7.5%	7.05%	20.6%	26.3%	53.1%	[1-0.43 0]
70	H	(6)	142470.68	0.017	8.4%	0.673	8.4%	189.6	4.0%	0.025	7.4%	6.98%	21.1%	26.5%	52.5%	[1-0.43 0]
71	H	(6)	144472.82	0.017	9.1%	0.689	9.1%	190.4	5.3%	0.025	7.4%	6.92%	21.6%	25.7%	52.8%	[1-0.43 0]
72	H	(6)	146475.07	0.017	8.4%	0.683	8.4%	187.1	4.1%	0.025	7.3%	6.88%	22.6%	25.5%	52.0%	[1-0.43 0]
73	H	(6)	148477.24	0.017	8.6%	0.706	8.6%	188.0	4.7%	0.025	7.2%	6.83%	21.9%	25.2%	52.9%	[1-0.43 0]
74	H	(6)	150479.44	0.017	8.4%	0.712	8.4%	188.2	4.4%	0.025	7.2%	6.79%	21.7%	25.6%	52.7%	[1-0.43 0]
75	H	(6)	152481.48	0.017	8.3%	0.726	8.3%	190.7	4.3%	0.025	7.2%	6.76%	22.0%	24.8%	53.2%	[1-0.43 0]
76	H	(6)	154483.50	0.017	8.4%	0.743	8.4%	191.2	4.6%	0.025	7.1%	6.70%	21.8%	25.1%	53.2%	[1-0.43 0]
