[#]	rt(s)	Dt(s)	Det1	Det2	Det3	Det4	Det5	Det6	REAR	RearL	FrontL	FRONT	FrontR	RearR	Det1_cps	Det2_cps	Det3_cps	Det4_cps	Det5_cps	Det6_cps	REAR_cps	RearL_cps	FrontL_cps	FRONT_cps	FrontR_cps	RearR_cps
0	4175.33	4175.33	0000000004	0000000003	0000000006	0000000008	0000000008	0000000006	0000000006	0000000007	0000000006	0000000005	0000000007	0000000005	9.5801E-04	7.1851E-04	1.4370E-03	1.9160E-03	1.9160E-03	1.4370E-03	1.4370E-03	1.6765E-03	1.4370E-03	1.1975E-03	1.6765E-03	1.1975E-03	
1	8351.37	4176.04	0000000003	0000000005	0000000006	0000000010	0000000009	0000000016	0000000011	0000000007	0000000011	0000000002	0000000011	0000000005	7.1838E-04	1.1973E-03	1.4368E-03	2.3946E-03	2.1552E-03	3.8314E-03	2.6341E-03	1.6762E-03	2.6341E-03	4.7892E-04	2.6341E-03	1.1973E-03	
2	12528.02	4176.65	0000000003	0000000006	0000000004	0000000003	0000000009	0000000009	0000000006	0000000004	0000000007	0000000005	0000000008	0000000003	7.1828E-04	1.4366E-03	9.5771E-04	7.1828E-04	2.1548E-03	2.1548E-03	1.4366E-03	9.5771E-04	1.6760E-03	1.1971E-03	1.9154E-03	7.1828E-04	
3	16705.46	4177.44	0000000001	0000000005	0000000010	0000000009	0000000011	0000000007	0000000005	0000000010	0000000006	0000000008	0000000005	0000000007	2.3938E-04	1.1969E-03	2.3938E-03	2.1544E-03	2.6332E-03	1.6757E-03	1.1969E-03	2.3938E-03	1.4363E-03	1.9150E-03	1.1969E-03	1.6757E-03	
4	20882.72	4177.26	0000000005	0000000006	0000000007	0000000003	0000000006	0000000010	0000000006	0000000005	0000000009	0000000005	0000000007	0000000003	1.1970E-03	1.4363E-03	1.6757E-03	7.1817E-04	1.4363E-03	2.3939E-03	1.4363E-03	1.1970E-03	2.1545E-03	1.1970E-03	1.6757E-03	7.1817E-04	
5	25059.51	4176.79	0000000010	0000000006	0000000007	0000000007	0000000006	0000000016	0000000013	0000000008	0000000010	0000000010	0000000007	0000000003	2.3942E-03	1.4365E-03	1.6759E-03	1.6759E-03	1.4365E-03	3.8307E-03	3.1124E-03	1.9153E-03	2.3942E-03	2.3942E-03	1.6759E-03	7.1825E-04	
6	29235.90	4176.39	0000000004	0000000008	0000000008	0000000008	0000000007	0000000006	0000000008	0000000006	0000000006	0000000006	0000000008	0000000005	9.5776E-04	1.9155E-03	1.9155E-03	1.9155E-03	1.6761E-03	1.4366E-03	1.9155E-03	1.4366E-03	1.4366E-03	1.4366E-03	1.9155E-03	1.1972E-03	
7	33412.70	4176.79	0000000008	0000000005	0000000011	0000000005	0000000007	0000000007	0000000003	0000000007	0000000008	0000000008	0000000008	0000000007	1.9153E-03	1.1971E-03	2.6336E-03	1.1971E-03	1.6759E-03	1.6759E-03	7.1825E-04	1.6759E-03	1.9153E-03	1.9153E-03	1.9153E-03	1.6759E-03	
8	37589.67	4176.98	0000000003	0000000003	0000000007	0000000012	0000000005	0000000005	0000000003	0000000004	0000000005	0000000006	0000000009	0000000007	7.1822E-04	7.1822E-04	1.6759E-03	2.8729E-03	1.1970E-03	1.1970E-03	7.1822E-04	9.5763E-04	1.1970E-03	1.4364E-03	2.1547E-03	1.6759E-03	
9	41766.55	4176.88	0000000002	0000000005	0000000004	0000000004	0000000008	0000000012	0000000002	0000000008	0000000005	0000000006	0000000007	0000000006	4.7883E-04	1.1971E-03	9.5765E-04	9.5765E-04	1.9153E-03	2.8730E-03	4.7883E-04	1.9153E-03	1.1971E-03	1.4365E-03	1.6759E-03	1.4365E-03	
10	45943.86	4177.31	0000000005	0000000008	0000000006	0000000004	0000000007	0000000005	0000000003	0000000004	0000000006	0000000008	0000000006	0000000006	1.1969E-03	1.9151E-03	1.4363E-03	9.5755E-04	1.6757E-03	1.1969E-03	7.1816E-04	9.5755E-04	1.4363E-03	1.9151E-03	1.4363E-03	1.4363E-03	
11	50121.47	4177.60	0000000005	0000000002	0000000008	0000000009	0000000011	0000000005	0000000005	0000000007	0000000007	0000000005	0000000007	0000000006	1.1969E-03	4.7874E-04	1.9150E-03	2.1543E-03	2.6331E-03	1.1969E-03	1.1969E-03	1.6756E-03	1.6756E-03	1.1969E-03	1.6756E-03	1.4362E-03	
12	54298.49	4177.02	0000000004	0000000006	0000000009	0000000005	0000000010	0000000002	0000000006	0000000007	0000000006	0000000004	0000000007	0000000005	9.5762E-04	1.4364E-03	2.1546E-03	1.1970E-03	2.3941E-03	4.7881E-04	1.4364E-03	1.6758E-03	1.4364E-03	9.5762E-04	1.6758E-03	1.1970E-03	
13	58475.68	4177.19	0000000003	0000000006	0000000009	0000000004	0000000011	0000000007	0000000004	0000000007	0000000001	0000000011	0000000008	0000000009	7.1819E-04	1.4364E-03	2.1546E-03	9.5758E-04	2.6333E-03	1.6758E-03	9.5758E-04	1.6758E-03	2.3940E-04	2.6333E-03	1.9152E-03	2.1546E-03	
14	62652.33	4176.65	0000000003	0000000005	0000000009	0000000005	0000000010	0000000007	0000000006	0000000004	0000000004	0000000009	0000000010	0000000007	7.1828E-04	1.1971E-03	2.1548E-03	1.1971E-03	2.3943E-03	1.6760E-03	1.4366E-03	9.5771E-04	9.5771E-04	2.1548E-03	2.3943E-03	1.6760E-03	
15	66829.12	4176.79	0000000005	0000000005	0000000004	0000000003	0000000011	0000000004	0000000007	0000000008	0000000002	0000000004	0000000008	0000000001	1.1971E-03	1.1971E-03	9.5767E-04	7.1825E-04	2.6336E-03	9.5767E-04	1.6759E-03	1.9153E-03	4.7884E-04	9.5767E-04	1.9153E-03	2.3942E-04	
16	71005.25	4176.13	0000000005	0000000004	0000000011	0000000002	0000000004	0000000000	0000000002	0000000006	0000000006	0000000006	0000000005	0000000002	1.1973E-03	9.5782E-04	2.6340E-03	4.7891E-04	9.5782E-04	0.0000E+00	4.7891E-04	1.4367E-03	1.4367E-03	1.4367E-03	1.1973E-03	4.7891E-04	
17	75181.25	4176.00	0000000004	0000000002	0000000007	0000000005	0000000003	0000000006	0000000006	0000000002	0000000003	0000000004	0000000005	0000000008	9.5785E-04	4.7893E-04	1.6762E-03	1.1973E-03	7.1839E-04	1.4368E-03	1.4368E-03	4.7893E-04	7.1839E-04	9.5785E-04	1.1973E-03	1.9157E-03	
18	79357.28	4176.03	0000000006	0000000004	0000000004	0000000009	0000000006	0000000006	0000000007	0000000007	0000000004	0000000005	0000000003	0000000007	1.4368E-03	9.5785E-04	9.5785E-04	2.1552E-03	1.4368E-03	1.4368E-03	1.6762E-03	1.6762E-03	9.5785E-04	1.1973E-03	7.1839E-04	1.6762E-03	
19	83533.43	4176.15	0000000006	0000000006	0000000004	0000000006	0000000005	0000000006	0000000005	0000000008	0000000003	0000000005	0000000001	0000000009	1.4367E-03	1.4367E-03	9.5782E-04	1.4367E-03	1.1973E-03	1.4367E-03	1.1973E-03	1.9156E-03	7.1836E-04	1.1973E-03	2.3945E-04	2.1551E-03	
20	87709.65	4176.22	0000000002	0000000006	0000000009	0000000002	0000000008	0000000006	0000000008	0000000002	0000000008	0000000004	0000000004	0000000005	4.7890E-04	1.4367E-03	2.1551E-03	4.7890E-04	1.9156E-03	1.4367E-03	1.9156E-03	4.7890E-04	1.9156E-03	9.5780E-04	9.5780E-04	1.1973E-03	
21	91885.83	4176.18	0000000006	0000000007	0000000002	0000000007	0000000004	0000000007	0000000006	0000000004	0000000005	0000000006	0000000002	0000000007	1.4367E-03	1.6762E-03	4.7891E-04	1.6762E-03	9.5781E-04	1.6762E-03	1.4367E-03	9.5781E-04	1.1973E-03	1.4367E-03	4.7891E-04	1.6762E-03	
22	96062.18	4176.34	0000000006	0000000002	0000000001	0000000010	0000000006	0000000009	0000000001	0000000004	0000000006	0000000006	0000000010	0000000005	1.4367E-03	4.7889E-04	2.3944E-04	2.3944E-03	1.4367E-03	2.1550E-03	2.3944E-04	9.5778E-04	1.4367E-03	1.4367E-03	2.3944E-03	1.1972E-03	
23	100238.80	4176.63	0000000002	0000000004	0000000007	0000000008	0000000007	0000000006	0000000009	0000000004	0000000004	0000000004	0000000007	0000000007	4.7886E-04	9.5771E-04	1.6760E-03	1.9154E-03	1.6760E-03	1.4366E-03	2.1548E-03	9.5771E-04	9.5771E-04	9.5771E-04	1.6760E-03	1.6760E-03	
24	104416.87	4178.07	0000000003	0000000005	0000000006	0000000007	0000000006	0000000004	0000000003	0000000008	0000000003	0000000005	0000000003	0000000004	7.1803E-04	1.1967E-03	1.4361E-03	1.6754E-03	1.4361E-03	9.5738E-04	7.1803E-04	1.9148E-03	7.1803E-04	1.1967E-03	7.1803E-04	9.5738E-04	
25	108595.03	4178.16	0000000004	0000000007	0000000006	0000000008	0000000007	0000000008	0000000005	0000000005	0000000006	0000000007	0000000007	0000000007	9.5736E-04	1.6754E-03	1.4360E-03	1.9147E-03	1.6754E-03	1.9147E-03	1.1967E-03	1.1967E-03	1.4360E-03	1.6754E-03	1.6754E-03	1.6754E-03	
