[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
12000	H	(6)	240567.47	0.020	11.6%	1.308	11.6%	225.2	8.0%	0.024	8.4%	5.42%	26.4%	12.2%	61.4%	[1-0.43 0]
12001	H	(6)	240586.04	0.020	11.8%	1.311	11.8%	225.3	8.2%	0.024	8.5%	5.42%	26.5%	12.1%	61.4%	[1-0.43 0]
12002	H	(6)	240606.93	0.020	11.7%	1.307	11.7%	225.1	8.2%	0.024	8.4%	5.42%	26.1%	12.6%	61.3%	[1-0.43 0]
12003	H	(6)	240626.66	0.020	11.7%	1.307	11.7%	224.7	8.2%	0.024	8.4%	5.42%	26.2%	12.6%	61.3%	[1-0.43 0]
12004	H	(6)	240647.57	0.020	11.7%	1.305	11.7%	224.2	8.2%	0.024	8.3%	5.42%	26.1%	12.7%	61.2%	[1-0.43 0]
12005	H	(6)	240667.31	0.020	11.7%	1.305	11.7%	224.2	8.2%	0.024	8.3%	5.42%	26.1%	12.7%	61.2%	[1-0.43 0]
12006	H	(6)	240687.02	0.020	13.0%	1.307	13.0%	224.9	9.9%	0.024	8.4%	5.42%	26.0%	12.7%	61.3%	[1-0.43 0]
12007	H	(6)	240706.75	0.020	13.0%	1.307	13.0%	224.5	9.9%	0.024	8.4%	5.42%	26.2%	12.6%	61.3%	[1-0.43 0]
12008	H	(6)	240727.62	0.019	13.0%	1.303	13.0%	224.4	9.9%	0.024	8.4%	5.42%	26.0%	12.8%	61.1%	[1-0.43 0]
12009	H	(6)	240747.33	0.020	13.0%	1.306	13.0%	225.0	9.9%	0.024	8.4%	5.42%	26.1%	12.6%	61.3%	[1-0.43 0]
12010	H	(6)	240767.06	0.020	11.7%	1.306	11.7%	225.3	8.2%	0.024	8.4%	5.42%	26.2%	12.4%	61.4%	[1-0.43 0]
12011	H	(6)	240786.79	0.020	11.7%	1.306	11.7%	225.1	8.2%	0.024	8.3%	5.42%	26.3%	12.4%	61.3%	[1-0.43 0]
12012	H	(6)	240807.67	0.020	10.6%	1.307	10.6%	225.4	6.5%	0.024	8.3%	5.42%	26.2%	12.4%	61.4%	[1-0.43 0]
12013	H	(6)	240826.23	0.020	9.5%	1.309	9.5%	225.5	4.7%	0.024	8.3%	5.42%	26.4%	12.3%	61.4%	[1-0.43 0]
12014	H	(6)	240847.11	0.020	10.6%	1.311	10.6%	225.7	6.5%	0.024	8.4%	5.42%	26.4%	12.2%	61.4%	[1-0.43 0]
12015	H	(6)	240866.86	0.020	11.7%	1.307	11.7%	225.3	8.2%	0.024	8.3%	5.42%	26.4%	12.4%	61.2%	[1-0.43 0]
12016	H	(6)	240886.58	0.019	10.5%	1.301	10.5%	224.3	6.5%	0.024	8.2%	5.41%	26.2%	12.7%	61.1%	[1-0.43 0]
12017	H	(6)	240906.31	0.019	10.4%	1.302	10.4%	224.0	6.5%	0.024	8.1%	5.41%	26.5%	12.5%	61.0%	[1-0.43 0]
12018	H	(6)	240927.21	0.019	11.6%	1.300	11.6%	223.9	8.4%	0.024	8.1%	5.41%	26.3%	12.7%	60.9%	[1-0.43 0]
12019	H	(6)	240946.93	0.019	10.3%	1.304	10.3%	224.1	6.4%	0.024	8.1%	5.41%	26.3%	12.7%	61.0%	[1-0.43 0]
12020	H	(6)	240966.65	0.020	10.3%	1.306	10.3%	224.2	6.4%	0.024	8.0%	5.41%	26.2%	12.7%	61.1%	[1-0.43 0]
12021	H	(6)	240986.37	0.020	10.2%	1.311	10.2%	225.0	6.1%	0.024	8.2%	5.41%	26.3%	12.5%	61.2%	[1-0.43 0]
12022	H	(6)	241006.09	0.020	10.1%	1.306	10.1%	224.8	6.0%	0.024	8.2%	5.41%	26.3%	12.6%	61.1%	[1-0.43 0]
12023	H	(6)	241026.99	0.019	9.3%	1.298	9.3%	224.1	4.5%	0.024	8.2%	5.41%	26.5%	12.5%	61.1%	[1-0.43 0]
12024	H	(6)	241046.72	0.019	10.3%	1.292	10.3%	224.0	6.4%	0.024	8.1%	5.41%	26.5%	12.5%	61.0%	[1-0.43 0]
12025	H	(6)	241066.45	0.019	9.3%	1.295	9.3%	223.8	4.6%	0.024	8.1%	5.41%	26.5%	12.5%	61.0%	[1-0.43 0]
12026	H	(6)	241087.33	0.019	10.4%	1.297	10.4%	223.9	6.5%	0.024	8.1%	5.41%	26.4%	12.6%	60.9%	[1-0.43 0]
12027	H	(6)	241107.05	0.019	11.7%	1.300	11.7%	224.7	8.4%	0.024	8.1%	5.41%	26.1%	12.8%	61.1%	[1-0.43 0]
12028	H	(6)	241127.95	0.020	12.8%	1.310	12.8%	225.8	9.9%	0.024	8.2%	5.41%	26.1%	12.7%	61.2%	[1-0.43 0]
12029	H	(6)	241146.52	0.020	11.5%	1.309	11.5%	225.4	8.2%	0.024	8.1%	5.41%	26.1%	12.8%	61.1%	[1-0.43 0]
12030	H	(6)	241166.22	0.020	11.6%	1.312	11.6%	226.1	8.2%	0.024	8.2%	5.41%	26.0%	12.7%	61.3%	[1-0.43 0]
12031	H	(6)	241187.10	0.020	11.6%	1.318	11.6%	226.6	8.2%	0.024	8.3%	5.41%	26.3%	12.3%	61.4%	[1-0.43 0]
12032	H	(6)	241206.84	0.020	10.4%	1.317	10.4%	225.8	6.4%	0.024	8.2%	5.41%	26.5%	12.1%	61.4%	[1-0.43 0]
12033	H	(6)	241227.71	0.020	9.5%	1.308	9.5%	224.4	5.0%	0.024	8.1%	5.41%	26.6%	12.3%	61.1%	[1-0.43 0]
12034	H	(6)	241247.43	0.019	9.4%	1.304	9.4%	223.5	4.9%	0.024	8.0%	5.41%	26.6%	12.5%	61.0%	[1-0.43 0]
12035	H	(6)	241267.14	0.019	9.3%	1.299	9.3%	223.5	4.8%	0.024	8.0%	5.41%	26.4%	12.7%	60.8%	[1-0.43 0]
12036	H	(6)	241286.86	0.019	9.2%	1.288	9.2%	222.2	4.9%	0.024	7.8%	5.41%	26.2%	13.1%	60.7%	[1-0.43 0]
12037	H	(6)	241306.60	0.019	9.3%	1.294	9.3%	222.9	4.9%	0.024	7.9%	5.41%	26.3%	12.8%	60.9%	[1-0.43 0]
12038	H	(6)	241327.49	0.019	9.1%	1.302	9.1%	224.0	4.3%	0.024	8.0%	5.41%	26.0%	12.9%	61.1%	[1-0.43 0]
12039	H	(6)	241347.23	0.019	9.1%	1.306	9.1%	224.7	4.3%	0.024	8.1%	5.41%	26.1%	12.7%	61.2%	[1-0.43 0]
12040	H	(6)	241366.96	0.019	10.1%	1.306	10.1%	224.4	6.2%	0.024	8.0%	5.41%	26.1%	12.6%	61.3%	[1-0.43 0]
12041	H	(6)	241386.69	0.019	10.1%	1.300	10.1%	224.0	6.2%	0.024	8.0%	5.41%	26.2%	12.7%	61.1%	[1-0.43 0]
12042	H	(6)	241407.60	0.019	10.0%	1.294	10.0%	223.6	6.2%	0.024	7.8%	5.41%	26.1%	13.0%	60.9%	[1-0.43 0]
12043	H	(6)	241427.32	0.019	11.3%	1.297	11.3%	224.1	8.1%	0.024	7.9%	5.41%	26.3%	12.7%	61.0%	[1-0.43 0]
12044	H	(6)	241447.04	0.019	11.3%	1.293	11.3%	224.0	8.2%	0.024	7.8%	5.41%	26.1%	13.0%	60.9%	[1-0.43 0]
12045	H	(6)	241466.77	0.019	10.1%	1.293	10.1%	224.1	6.3%	0.024	7.9%	5.41%	26.0%	13.0%	60.9%	[1-0.43 0]
12046	H	(6)	241487.65	0.019	9.2%	1.303	9.2%	225.2	4.5%	0.024	8.0%	5.41%	26.2%	12.8%	61.0%	[1-0.43 0]
12047	H	(6)	241507.39	0.019	9.3%	1.304	9.3%	225.0	4.5%	0.024	8.1%	5.41%	26.1%	12.8%	61.1%	[1-0.43 0]
12048	H	(6)	241527.12	0.019	8.4%	1.301	8.4%	224.4	2.6%	0.024	8.0%	5.41%	26.1%	12.9%	60.9%	[1-0.43 0]
12049	H	(6)	241548.02	0.019	8.5%	1.304	8.5%	224.6	2.6%	0.024	8.1%	5.41%	26.2%	12.7%	61.1%	[1-0.43 0]
12050	H	(6)	241567.73	0.019	8.5%	1.307	8.5%	224.9	2.6%	0.024	8.1%	5.41%	26.2%	12.8%	61.0%	[1-0.43 0]
12051	H	(6)	241587.46	0.019	8.4%	1.298	8.4%	223.7	2.5%	0.024	8.0%	5.41%	25.8%	13.3%	60.9%	[1-0.43 0]
12052	H	(6)	241607.18	0.019	8.3%	1.297	8.3%	223.3	2.6%	0.024	7.9%	5.41%	25.9%	13.4%	60.7%	[1-0.43 0]
12053	H	(6)	241626.92	0.019	9.1%	1.289	9.1%	223.0	4.5%	0.024	7.9%	5.41%	25.7%	13.7%	60.6%	[1-0.43 0]
12054	H	(6)	241646.64	0.019	9.2%	1.296	9.2%	223.8	4.6%	0.024	8.0%	5.41%	25.7%	13.5%	60.7%	[1-0.43 0]
12055	H	(6)	241667.52	0.019	10.3%	1.292	10.3%	223.5	6.5%	0.024	8.0%	5.41%	26.0%	13.3%	60.6%	[1-0.43 0]
12056	H	(6)	241688.41	0.019	10.3%	1.299	10.3%	224.3	6.5%	0.024	8.0%	5.41%	26.4%	12.9%	60.7%	[1-0.43 0]
12057	H	(6)	241706.97	0.019	10.6%	1.296	10.6%	223.9	6.9%	0.024	8.0%	5.41%	26.5%	12.6%	60.9%	[1-0.43 0]
12058	H	(6)	241727.85	0.019	10.6%	1.303	10.6%	224.1	6.9%	0.024	8.1%	5.41%	26.4%	12.5%	61.1%	[1-0.43 0]
12059	H	(6)	241747.57	0.019	10.5%	1.299	10.5%	223.7	6.8%	0.024	8.1%	5.41%	26.4%	12.6%	61.0%	[1-0.43 0]
