 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 17096.50 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0106

 DETECTORS		DIRECTIONS
 D1          14		R           17
 D2           9		RL          25
 D3          22		FL          11
 D4          17		F           14
 D5          19		FR          14
 D6          17		RR          13

------------------ INTERNAL DATA REF ------------------------
1-0
0.75;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.006	uSv h^-1	(27.2%)
 H*(10)_i	:	0.028	uSv     	(27.2%)
 h*(10)		:	128.8	pSv cm^2	(7.4%)
 phi		:	0.013	cm^-2 s^-1 	(26.2%)
 thermal   	:	0.3347
 epithermal	:	0.3293
 fast      	:	0.3360
-------------------------------------------------------------
 Average experimental data uncertainty	:	25.47%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.111246E-05
2.580E-09	3.433697E-05
3.340E-09	5.584310E-05
4.310E-09	8.949120E-05
5.570E-09	1.422025E-04
7.190E-09	2.222522E-04
9.280E-09	3.408849E-04
1.200E-08	5.118979E-04
1.550E-08	7.437107E-04
2.000E-08	1.036465E-03
2.580E-08	1.408223E-03
3.340E-08	1.761211E-03
4.310E-08	2.023690E-03
5.570E-08	2.098134E-03
7.190E-08	1.914280E-03
9.280E-08	1.501472E-03
1.200E-07	9.996953E-04
1.550E-07	5.980764E-04
2.000E-07	3.858257E-04
2.580E-07	3.167090E-04
3.340E-07	3.046460E-04
4.310E-07	3.044458E-04
5.570E-07	3.053650E-04
7.190E-07	3.063424E-04
9.280E-07	3.073415E-04
1.200E-06	3.083703E-04
1.550E-06	3.094174E-04
2.000E-06	3.104834E-04
2.580E-06	3.115719E-04
3.340E-06	3.127001E-04
4.310E-06	3.138391E-04
5.570E-06	3.150101E-04
7.190E-06	3.162016E-04
9.280E-06	3.174188E-04
1.200E-05	3.186719E-04
1.550E-05	3.199470E-04
2.000E-05	3.212445E-04
2.580E-05	3.225685E-04
3.340E-05	3.239394E-04
4.310E-05	3.253216E-04
5.570E-05	3.267402E-04
7.190E-05	3.281802E-04
9.280E-05	3.296465E-04
1.200E-04	3.311499E-04
1.550E-04	3.326712E-04
2.000E-04	3.342083E-04
2.580E-04	3.357621E-04
3.340E-04	3.373516E-04
4.310E-04	3.389287E-04
5.570E-04	3.405138E-04
7.190E-04	3.420790E-04
9.280E-04	3.436156E-04
1.200E-03	3.469316E-04
1.550E-03	3.489414E-04
2.000E-03	3.510257E-04
2.580E-03	3.532076E-04
3.340E-03	3.555458E-04
4.310E-03	3.580131E-04
5.570E-03	3.607007E-04
7.190E-03	3.636471E-04
9.280E-03	3.669552E-04
1.200E-02	3.707875E-04
1.550E-02	3.752901E-04
2.000E-02	3.807216E-04
2.580E-02	3.874682E-04
3.340E-02	3.962059E-04
4.310E-02	4.074822E-04
5.570E-02	4.225747E-04
7.190E-02	4.428524E-04
9.280E-02	4.704222E-04
1.200E-01	5.083345E-04
1.550E-01	5.596516E-04
2.000E-01	6.281980E-04
2.580E-01	7.180842E-04
3.340E-01	8.342693E-04
4.310E-01	9.744322E-04
5.570E-01	1.136924E-03
7.190E-01	1.309198E-03
9.280E-01	1.472110E-03
1.200E+00	1.597275E-03
1.550E+00	1.646653E-03
2.000E+00	1.586559E-03
2.580E+00	1.399590E-03
3.340E+00	1.096547E-03
4.310E+00	7.425638E-04
5.570E+00	4.142415E-04
7.190E+00	1.814742E-04
9.280E+00	5.822826E-05
1.200E+01	1.236963E-05
1.550E+01	1.576413E-06
2.000E+01	1.045932E-07
2.580E+01	2.977212E-09
3.340E+01	2.640041E-11
4.310E+01	6.004854E-14
5.570E+01	2.125827E-17
7.190E+01	0.000000E+00
9.280E+01	0.000000E+00
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

