 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 16195.20 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0064

 DETECTORS		DIRECTIONS
 D1          68		R          125
 D2          93		RL         154
 D3         124		FL         119
 D4         157		F          136
 D5         156		FR          84
 D6         147		RR         112

------------------ INTERNAL DATA REF ------------------------
1-1
0.80;91-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.051	uSv h^-1	(11.6%)
 H*(10)_i	:	0.229	uSv     	(11.6%)
 h*(10)		:	145.9	pSv cm^2	(6.5%)
 phi		:	0.097	cm^-2 s^-1 	(9.6%)
 thermal   	:	0.1217
 epithermal	:	0.4895
 fast      	:	0.3889
-------------------------------------------------------------
 Average experimental data uncertainty	:	9.29%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	4.064688E-05
2.580E-09	6.610746E-05
3.340E-09	1.075123E-04
4.310E-09	1.722935E-04
5.570E-09	2.737762E-04
7.190E-09	4.278924E-04
9.280E-09	6.562907E-04
1.200E-08	9.855345E-04
1.550E-08	1.431833E-03
2.000E-08	1.995460E-03
2.580E-08	2.882910E-03
3.340E-08	3.672213E-03
4.310E-08	4.342155E-03
5.570E-08	4.718262E-03
7.190E-08	4.651929E-03
9.280E-08	4.149075E-03
1.200E-07	3.402138E-03
1.550E-07	2.737702E-03
2.000E-07	2.376373E-03
2.580E-07	2.279458E-03
3.340E-07	2.293248E-03
4.310E-07	2.330336E-03
5.570E-07	2.370749E-03
7.190E-07	2.412073E-03
9.280E-07	2.454417E-03
1.200E-06	2.498154E-03
1.550E-06	2.542809E-03
2.000E-06	2.588412E-03
2.580E-06	2.635127E-03
3.340E-06	2.683706E-03
4.310E-06	2.732914E-03
5.570E-06	2.783681E-03
7.190E-06	2.835520E-03
9.280E-06	2.888667E-03
1.200E-05	2.943592E-03
1.550E-05	2.999699E-03
2.000E-05	3.057025E-03
2.580E-05	3.115775E-03
3.340E-05	3.176894E-03
4.310E-05	3.238823E-03
5.570E-05	3.302729E-03
7.190E-05	3.367994E-03
9.280E-05	3.434906E-03
1.200E-04	3.504041E-03
1.550E-04	3.574635E-03
2.000E-04	3.646710E-03
2.580E-04	3.720496E-03
3.340E-04	3.797131E-03
4.310E-04	3.874610E-03
5.570E-04	3.954319E-03
7.190E-04	4.035385E-03
9.280E-04	4.118042E-03
1.200E-03	4.212284E-03
1.550E-03	4.301145E-03
2.000E-03	4.391710E-03
2.580E-03	4.484208E-03
3.340E-03	4.579990E-03
4.310E-03	4.676457E-03
5.570E-03	4.775229E-03
7.190E-03	4.875100E-03
9.280E-03	4.976221E-03
1.200E-02	5.079098E-03
1.550E-02	5.182188E-03
2.000E-02	5.285144E-03
2.580E-02	5.387951E-03
3.340E-02	5.491950E-03
4.310E-02	5.594599E-03
5.570E-02	5.698688E-03
7.190E-02	5.805322E-03
9.280E-02	5.919232E-03
1.200E-01	6.049178E-03
1.550E-01	6.206498E-03
2.000E-01	6.410192E-03
2.580E-01	6.687453E-03
3.340E-01	7.078605E-03
4.310E-01	7.610489E-03
5.570E-01	8.319967E-03
7.190E-01	9.201036E-03
9.280E-01	1.020492E-02
1.200E+00	1.121249E-02
1.550E+00	1.199898E-02
2.000E+00	1.229695E-02
2.580E+00	1.185642E-02
3.340E+00	1.052892E-02
4.310E+00	8.464847E-03
5.570E+00	6.016165E-03
7.190E+00	3.713595E-03
9.280E+00	1.944157E-03
1.200E+01	8.308727E-04
1.550E+01	2.778723E-04
2.000E+01	6.730450E-05
2.580E+01	1.056238E-05
3.340E+01	9.017302E-07
4.310E+01	3.777992E-08
5.570E+01	5.995006E-10
7.190E+01	2.877599E-12
9.280E+01	2.911778E-15
1.200E+02	3.585739E-19
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

