 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 4984.82 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0071

 DETECTORS		DIRECTIONS
 D1           9		R            9
 D2          10		RL          10
 D3          11		FL           9
 D4          10		F           15
 D5          11		FR           6
 D6          10		RR          12

------------------ INTERNAL DATA REF ------------------------
4-0
0.80;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.024	uSv h^-1	(35.2%)
 H*(10)_i	:	0.034	uSv     	(35.2%)
 h*(10)		:	206.3	pSv cm^2	(7.7%)
 phi		:	0.033	cm^-2 s^-1 	(34.3%)
 thermal   	:	0.3108
 epithermal	:	0.1285
 fast      	:	0.5607
-------------------------------------------------------------
 Average experimental data uncertainty	:	31.42%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	5.484740E-05
2.580E-09	8.920297E-05
3.340E-09	1.450731E-04
4.310E-09	2.324864E-04
5.570E-09	3.694235E-04
7.190E-09	5.773822E-04
9.280E-09	8.855744E-04
1.200E-08	1.329844E-03
1.550E-08	1.932063E-03
2.000E-08	2.692600E-03
2.580E-08	3.599818E-03
3.340E-08	4.481167E-03
4.310E-08	5.110630E-03
5.570E-08	5.231536E-03
7.190E-08	4.666692E-03
9.280E-08	3.508953E-03
1.200E-07	2.145589E-03
1.550E-07	1.077806E-03
2.000E-07	5.210970E-04
2.580E-07	3.398070E-04
3.340E-07	3.068437E-04
4.310E-07	3.046900E-04
5.570E-07	3.054046E-04
7.190E-07	3.062473E-04
9.280E-07	3.071155E-04
1.200E-06	3.080155E-04
1.550E-06	3.089375E-04
2.000E-06	3.098818E-04
2.580E-06	3.108517E-04
3.340E-06	3.118627E-04
4.310E-06	3.128890E-04
5.570E-06	3.139497E-04
7.190E-06	3.150344E-04
9.280E-06	3.161479E-04
1.200E-05	3.172997E-04
1.550E-05	3.184771E-04
2.000E-05	3.196805E-04
2.580E-05	3.209139E-04
3.340E-05	3.221966E-04
4.310E-05	3.234956E-04
5.570E-05	3.248347E-04
7.190E-05	3.262003E-04
9.280E-05	3.275977E-04
1.200E-04	3.290381E-04
1.550E-04	3.305043E-04
2.000E-04	3.319956E-04
2.580E-04	3.335151E-04
3.340E-04	3.350841E-04
4.310E-04	3.366590E-04
5.570E-04	3.382649E-04
7.190E-04	3.398801E-04
9.280E-04	3.415044E-04
1.200E-03	3.431788E-04
1.550E-03	3.448226E-04
2.000E-03	3.464493E-04
2.580E-03	3.480545E-04
3.340E-03	3.496528E-04
4.310E-03	3.511972E-04
5.570E-03	3.527211E-04
7.190E-03	3.542328E-04
9.280E-03	3.557996E-04
1.200E-02	3.575648E-04
1.550E-02	3.597592E-04
2.000E-02	3.628310E-04
2.580E-02	3.675745E-04
3.340E-02	3.754801E-04
4.310E-02	3.886381E-04
5.570E-02	4.110023E-04
7.190E-02	4.483251E-04
9.280E-02	5.098725E-04
1.200E-01	6.104208E-04
1.550E-01	7.688993E-04
2.000E-01	1.011173E-03
2.580E-01	1.369109E-03
3.340E-01	1.882477E-03
4.310E-01	2.555952E-03
5.570E-01	3.379619E-03
7.190E-01	4.253994E-03
9.280E-01	4.996086E-03
1.200E+00	5.343123E-03
1.550E+00	5.044064E-03
2.000E+00	4.059241E-03
2.580E+00	2.666493E-03
3.340E+00	1.347244E-03
4.310E+00	5.238418E-04
5.570E+00	1.984565E-04
7.190E+00	1.606397E-04
9.280E+00	2.341780E-04
1.200E+01	3.690652E-04
1.550E+01	5.737244E-04
2.000E+01	8.723386E-04
2.580E+01	1.291463E-03
3.340E+01	1.857051E-03
4.310E+01	2.543594E-03
5.570E+01	3.296776E-03
7.190E+01	3.966498E-03
9.280E+01	4.343381E-03
1.200E+02	4.210821E-03
1.550E+02	3.489455E-03
2.000E+02	2.369175E-03
2.580E+02	1.246514E-03
3.340E+02	4.658326E-04
4.310E+02	1.158792E-04
5.570E+02	1.678779E-05
7.190E+02	1.260037E-06
9.280E+02	4.138842E-08
1.200E+03	4.693209E-10
1.550E+03	1.479996E-12
2.000E+03	9.114294E-16
2.580E+03	5.921849E-20
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

