[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	99.87	0.112	100.0%	0.003	100.0%	202.0	100.0%	0.154	100.0%	100.00%	33.1%	12.1%	54.9%	[1-0.43 0]
1	H	(3)	119.57	0.093	100.0%	0.003	100.0%	201.5	100.0%	0.128	100.0%	100.00%	32.9%	12.4%	54.7%	[1-0.43 0]
2	H	(3)	139.25	0.081	100.0%	0.003	100.0%	203.3	100.0%	0.110	100.0%	100.00%	33.0%	11.8%	55.2%	[1-0.43 0]
3	H	(3)	160.11	0.140	100.0%	0.006	100.0%	203.5	100.0%	0.191	100.0%	95.12%	32.9%	11.8%	55.3%	[1-0.43 0]
4	H	(3)	179.82	0.125	100.0%	0.006	100.0%	203.9	100.0%	0.170	100.0%	95.12%	32.7%	11.8%	55.4%	[1-0.43 0]
5	H	(3)	199.53	0.113	100.0%	0.006	100.0%	204.5	100.0%	0.153	100.0%	95.12%	32.7%	11.8%	55.6%	[1-0.43 0]
6	H	(3)	219.24	0.103	100.0%	0.006	100.0%	204.8	100.0%	0.140	100.0%	95.12%	32.8%	11.5%	55.7%	[1-0.43 0]
7	H	(3)	240.10	0.094	100.0%	0.006	100.0%	204.1	100.0%	0.127	100.0%	95.12%	32.6%	11.8%	55.6%	[1-0.43 0]
8	H	(3)	259.82	0.087	100.0%	0.006	100.0%	205.2	100.0%	0.118	100.0%	95.12%	32.6%	11.5%	55.9%	[1-0.43 0]
9	H	(3)	279.52	0.082	100.0%	0.006	100.0%	206.8	100.0%	0.110	100.0%	95.12%	32.9%	10.9%	56.2%	[1-0.43 0]
10	H	(3)	299.23	0.076	100.0%	0.006	100.0%	206.4	100.0%	0.103	100.0%	95.12%	32.8%	11.1%	56.1%	[1-0.43 0]
11	H	(3)	320.08	0.071	100.0%	0.006	100.0%	206.4	100.0%	0.096	100.0%	95.12%	32.6%	11.3%	56.1%	[1-0.43 0]
12	H	(3)	339.77	0.042	100.0%	0.004	100.0%	206.7	100.0%	0.057	100.0%	95.12%	32.6%	11.3%	56.1%	[1-0.43 0]
13	H	(3)	359.47	0.040	100.0%	0.004	100.0%	205.4	100.0%	0.054	100.0%	95.12%	32.7%	11.6%	55.7%	[1-0.43 0]
14	H	(3)	380.34	0.037	100.0%	0.004	100.0%	203.4	100.0%	0.051	100.0%	95.12%	32.5%	12.2%	55.3%	[1-0.43 0]
15	H	(3)	400.03	0.035	100.0%	0.004	100.0%	202.6	100.0%	0.048	100.0%	95.12%	32.4%	12.3%	55.3%	[1-0.43 0]
16	H	(3)	419.73	0.033	100.0%	0.004	100.0%	203.0	100.0%	0.046	100.0%	95.12%	32.4%	12.2%	55.3%	[1-0.43 0]
17	H	(3)	439.42	0.035	100.0%	0.004	100.0%	202.9	100.0%	0.048	100.0%	92.96%	32.1%	12.5%	55.4%	[1-0.43 0]
18	H	(3)	460.30	0.034	100.0%	0.004	100.0%	203.5	100.0%	0.046	100.0%	92.96%	31.9%	12.6%	55.5%	[1-0.43 0]
19	H	(3)	480.01	0.032	100.0%	0.004	100.0%	203.5	100.0%	0.044	100.0%	92.96%	31.9%	12.6%	55.5%	[1-0.43 0]
20	H	(3)	499.72	0.025	100.0%	0.003	100.0%	186.6	100.0%	0.037	100.0%	92.96%	31.9%	17.2%	50.9%	[1-0.43 0]
21	H	(3)	519.42	0.022	100.0%	0.003	100.0%	169.9	100.0%	0.037	100.0%	92.96%	31.6%	21.9%	46.4%	[1-0.43 0]
22	H	(3)	540.29	0.020	100.0%	0.003	100.0%	152.9	100.0%	0.037	100.0%	92.96%	32.1%	26.0%	41.9%	[1-0.43 0]
23	H	(3)	560.00	0.018	100.0%	0.003	100.0%	136.1	100.0%	0.037	100.0%	92.96%	31.8%	30.8%	37.4%	[1-0.43 0]
24	H	(3)	579.70	0.016	100.0%	0.003	100.0%	119.0	100.0%	0.038	100.0%	92.96%	31.8%	35.4%	32.8%	[1-0.43 0]
25	H	(3)	600.56	0.016	100.0%	0.003	100.0%	120.8	100.0%	0.037	100.0%	92.96%	31.7%	35.1%	33.2%	[1-0.43 0]
