 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 12592.11 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0054

 DETECTORS		DIRECTIONS
 D1          23		R           28
 D2          20		RL          18
 D3          27		FL          24
 D4          27		F           23
 D5          24		FR          25
 D6          20		RR          16

------------------ INTERNAL DATA REF ------------------------
1-0
0.80;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.010	uSv h^-1	(21.7%)
 H*(10)_i	:	0.036	uSv     	(21.7%)
 h*(10)		:	109.1	pSv cm^2	(5.6%)
 phi		:	0.026	cm^-2 s^-1 	(21.0%)
 thermal   	:	0.3917
 epithermal	:	0.3298
 fast      	:	0.2785
-------------------------------------------------------------
 Average experimental data uncertainty	:	20.75%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	4.909789E-05
2.580E-09	7.985205E-05
3.340E-09	1.298654E-04
4.310E-09	2.081155E-04
5.570E-09	3.306978E-04
7.190E-09	5.168567E-04
9.280E-09	7.927419E-04
1.200E-08	1.190440E-03
1.550E-08	1.729530E-03
2.000E-08	2.410342E-03
2.580E-08	3.287406E-03
3.340E-08	4.114704E-03
4.310E-08	4.733791E-03
5.570E-08	4.917811E-03
7.190E-08	4.501792E-03
9.280E-08	3.550939E-03
1.200E-07	2.387573E-03
1.550E-07	1.451267E-03
2.000E-07	9.526412E-04
2.580E-07	7.864443E-04
3.340E-07	7.528526E-04
4.310E-07	7.469336E-04
5.570E-07	7.436000E-04
7.190E-07	7.404382E-04
9.280E-07	7.373386E-04
1.200E-06	7.342751E-04
1.550E-06	7.312823E-04
2.000E-06	7.283573E-04
2.580E-06	7.254896E-04
3.340E-06	7.226362E-04
4.310E-06	7.198706E-04
5.570E-06	7.171400E-04
7.190E-06	7.144715E-04
9.280E-06	7.118526E-04
1.200E-05	7.092618E-04
1.550E-05	7.067279E-04
2.000E-05	7.042481E-04
2.580E-05	7.018126E-04
3.340E-05	6.993839E-04
4.310E-05	6.970233E-04
5.570E-05	6.946842E-04
7.190E-05	6.923877E-04
9.280E-05	6.901205E-04
1.200E-04	6.878603E-04
1.550E-04	6.856277E-04
2.000E-04	6.834148E-04
2.580E-04	6.812057E-04
3.340E-04	6.789562E-04
4.310E-04	6.767108E-04
5.570E-04	6.744099E-04
7.190E-04	6.720541E-04
9.280E-04	6.696050E-04
1.200E-03	6.699578E-04
1.550E-03	6.681444E-04
2.000E-03	6.664052E-04
2.580E-03	6.647557E-04
3.340E-03	6.632059E-04
4.310E-03	6.618449E-04
5.570E-03	6.607169E-04
7.190E-03	6.599372E-04
9.280E-03	6.596496E-04
1.200E-02	6.600757E-04
1.550E-02	6.615296E-04
2.000E-02	6.644494E-04
2.580E-02	6.694763E-04
3.340E-02	6.776682E-04
4.310E-02	6.901397E-04
5.570E-02	7.089483E-04
7.190E-02	7.364874E-04
9.280E-02	7.762811E-04
1.200E-01	8.333787E-04
1.550E-01	9.129276E-04
2.000E-01	1.021232E-03
2.580E-01	1.165063E-03
3.340E-01	1.352672E-03
4.310E-01	1.580803E-03
5.570E-01	1.847745E-03
7.190E-01	2.134659E-03
9.280E-01	2.412356E-03
1.200E+00	2.636278E-03
1.550E+00	2.743770E-03
2.000E+00	2.675737E-03
2.580E+00	2.395568E-03
3.340E+00	1.910524E-03
4.310E+00	1.319912E-03
5.570E+00	7.525122E-04
7.190E+00	3.369101E-04
9.280E+00	1.102140E-04
1.200E+01	2.373691E-05
1.550E+01	3.037168E-06
2.000E+01	1.995458E-07
2.580E+01	5.522244E-09
3.340E+01	4.638152E-11
4.310E+01	9.623565E-14
5.570E+01	2.915425E-17
7.190E+01	0.000000E+00
9.280E+01	0.000000E+00
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

