 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 16195.08 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0061

 DETECTORS		DIRECTIONS
 D1           8		R            4
 D2           4		RL           2
 D3           3		FL           5
 D4           3		F            8
 D5           5		FR           6
 D6           8		RR           4

------------------ INTERNAL DATA REF ------------------------
1-0
0.80;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.005	uSv h^-1	(59.6%)
 H*(10)_i	:	0.020	uSv     	(59.6%)
 h*(10)		:	201.0	pSv cm^2	(35.3%)
 phi		:	0.006	cm^-2 s^-1 	(48.0%)
 thermal   	:	0.5813
 epithermal	:	0.0001
 fast      	:	0.4185
-------------------------------------------------------------
 Average experimental data uncertainty	:	46.82%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.090267E-05
2.580E-09	3.399578E-05
3.340E-09	5.528821E-05
4.310E-09	8.860196E-05
5.570E-09	1.407895E-04
7.190E-09	2.200438E-04
9.280E-09	3.374977E-04
1.200E-08	5.068114E-04
1.550E-08	7.363207E-04
2.000E-08	1.026166E-03
2.580E-08	1.357912E-03
3.340E-08	1.685272E-03
4.310E-08	1.912635E-03
5.570E-08	1.941395E-03
7.190E-08	1.705303E-03
9.280E-08	1.243725E-03
1.200E-07	7.098894E-04
1.550E-07	2.971626E-04
2.000E-07	8.377892E-05
2.580E-07	1.432651E-05
3.340E-07	1.431646E-06
4.310E-07	2.779343E-07
5.570E-07	2.098456E-07
7.190E-07	1.860053E-07
9.280E-07	1.653962E-07
1.200E-06	1.470803E-07
1.550E-06	1.309921E-07
2.000E-06	1.168485E-07
2.580E-06	1.043710E-07
3.340E-06	9.320750E-08
4.310E-06	8.347948E-08
5.570E-06	7.484096E-08
7.190E-06	6.724925E-08
9.280E-06	6.054798E-08
1.200E-05	5.458856E-08
1.550E-05	4.935118E-08
2.000E-05	4.474474E-08
2.580E-05	4.067949E-08
3.340E-05	3.704146E-08
4.310E-05	3.387105E-08
5.570E-05	3.105617E-08
7.190E-05	2.858352E-08
9.280E-05	2.640267E-08
1.200E-04	2.446573E-08
1.550E-04	2.276664E-08
2.000E-04	2.127608E-08
2.580E-04	1.996516E-08
3.340E-04	1.879735E-08
4.310E-04	1.778567E-08
5.570E-04	1.689421E-08
7.190E-04	1.611865E-08
9.280E-04	1.544286E-08
1.200E-03	1.488039E-08
1.550E-03	1.439103E-08
2.000E-03	1.398752E-08
2.580E-03	1.366933E-08
3.340E-03	1.344166E-08
4.310E-03	1.332954E-08
5.570E-03	1.336632E-08
7.190E-03	1.361711E-08
9.280E-03	1.419451E-08
1.200E-02	1.530341E-08
1.550E-02	1.726938E-08
2.000E-02	2.065079E-08
2.580E-02	2.641162E-08
3.340E-02	3.637379E-08
4.310E-02	5.315016E-08
5.570E-02	8.194170E-08
7.190E-02	1.309903E-07
9.280E-02	2.150661E-07
1.200E-01	3.611426E-07
1.550E-01	6.130689E-07
2.000E-01	1.048208E-06
2.580E-01	1.803517E-06
3.340E-01	3.142620E-06
4.310E-01	5.457113E-06
5.570E-01	9.523349E-06
7.190E-01	1.657128E-05
9.280E-01	2.873713E-05
1.200E+00	4.969494E-05
1.550E+00	8.474023E-05
2.000E+00	1.416499E-04
2.580E+00	2.307003E-04
3.340E+00	3.649019E-04
4.310E+00	5.471113E-04
5.570E+00	7.722230E-04
7.190E+00	1.004177E-03
9.280E+00	1.179279E-03
1.200E+01	1.220394E-03
1.550E+01	1.096274E-03
2.000E+01	8.989027E-04
2.580E+01	7.646211E-04
3.340E+01	6.393917E-04
4.310E+01	4.878277E-04
5.570E+01	4.120263E-04
7.190E+01	1.851372E-04
9.280E+01	1.916399E-05
1.200E+02	2.519559E-07
1.550E+02	2.381014E-10
2.000E+02	7.184182E-14
2.580E+02	1.839392E-14
3.340E+02	3.782125E-15
4.310E+02	5.256766E-16
5.570E+02	4.215080E-17
7.190E+02	1.706223E-18
9.280E+02	2.825373E-20
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

