 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 4984.33 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0136

 DETECTORS		DIRECTIONS
 D1           9		R            9
 D2          10		RL          13
 D3           6		FL           9
 D4          13		F           10
 D5           8		FR           7
 D6           9		RR           5

------------------ INTERNAL DATA REF ------------------------
1-0
0.82;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.005	uSv h^-1	(38.9%)
 H*(10)_i	:	0.007	uSv     	(38.9%)
 h*(10)		:	68.7	pSv cm^2	(9.5%)
 phi		:	0.021	cm^-2 s^-1 	(37.7%)
 thermal   	:	0.3023
 epithermal	:	0.5280
 fast      	:	0.1697
-------------------------------------------------------------
 Average experimental data uncertainty	:	33.70%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.325888E-05
2.580E-09	3.782789E-05
3.340E-09	6.152047E-05
4.310E-09	9.858944E-05
5.570E-09	1.566597E-04
7.190E-09	2.448478E-04
9.280E-09	3.755414E-04
1.200E-08	5.639407E-04
1.550E-08	8.193210E-04
2.000E-08	1.141838E-03
2.580E-08	1.652284E-03
3.340E-08	2.100402E-03
4.310E-08	2.475298E-03
5.570E-08	2.673844E-03
7.190E-08	2.608644E-03
9.280E-08	2.284322E-03
1.200E-07	1.817741E-03
1.550E-07	1.403626E-03
2.000E-07	1.167699E-03
2.580E-07	1.083892E-03
3.340E-07	1.062651E-03
4.310E-07	1.054645E-03
5.570E-07	1.047891E-03
7.190E-07	1.041299E-03
9.280E-07	1.034797E-03
1.200E-06	1.028331E-03
1.550E-06	1.021977E-03
2.000E-06	1.015731E-03
2.580E-06	1.009570E-03
3.340E-06	1.003404E-03
4.310E-06	9.973939E-04
5.570E-06	9.914254E-04
7.190E-06	9.855595E-04
9.280E-06	9.797704E-04
1.200E-05	9.740121E-04
1.550E-05	9.683500E-04
2.000E-05	9.627800E-04
2.580E-05	9.572822E-04
3.340E-05	9.517738E-04
4.310E-05	9.463962E-04
5.570E-05	9.410464E-04
7.190E-05	9.357759E-04
9.280E-05	9.305584E-04
1.200E-04	9.253475E-04
1.550E-04	9.201970E-04
2.000E-04	9.150961E-04
2.580E-04	9.100176E-04
3.340E-04	9.048721E-04
4.310E-04	8.997764E-04
5.570E-04	8.946139E-04
7.190E-04	8.894090E-04
9.280E-04	8.841048E-04
1.200E-03	8.798713E-04
1.550E-03	8.745996E-04
2.000E-03	8.691971E-04
2.580E-03	8.635949E-04
3.340E-03	8.576387E-04
4.310E-03	8.514036E-04
5.570E-03	8.446808E-04
7.190E-03	8.374248E-04
9.280E-03	8.294788E-04
1.200E-02	8.206242E-04
1.550E-02	8.108022E-04
2.000E-02	7.998711E-04
2.580E-02	7.876858E-04
3.340E-02	7.739939E-04
4.310E-02	7.592498E-04
5.570E-02	7.435429E-04
7.190E-02	7.277692E-04
9.280E-02	7.131592E-04
1.200E-01	7.016668E-04
1.550E-01	6.963620E-04
2.000E-01	7.008832E-04
2.580E-01	7.193356E-04
3.340E-01	7.562309E-04
4.310E-01	8.130510E-04
5.570E-01	8.900227E-04
7.190E-01	9.811865E-04
9.280E-01	1.075631E-03
1.200E+00	1.155795E-03
1.550E+00	1.195884E-03
2.000E+00	1.169499E-03
2.580E+00	1.057563E-03
3.340E+00	8.580111E-04
4.310E+00	6.077033E-04
5.570E+00	3.590800E-04
7.190E+00	1.692215E-04
9.280E+00	5.967530E-05
1.200E+01	1.439659E-05
1.550E+01	2.189836E-06
2.000E+01	1.878051E-07
2.580E+01	7.832071E-09
3.340E+01	1.230663E-10
4.310E+01	6.226251E-13
5.570E+01	6.450267E-16
7.190E+01	8.995984E-20
9.280E+01	0.000000E+00
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

