 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 19.79 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0141

 DETECTORS		DIRECTIONS
 D1           2		R           19
 D2           6		RL           1
 D3           0		FL           6
 D4           0		F            0
 D5           0		FR           5
 D6           9		RR           0

------------------ INTERNAL DATA REF ------------------------
1-0
0.82;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	1.428	uSv h^-1	(68.8%)
 H*(10)_i	:	0.008	uSv     	(68.8%)
 h*(10)		:	111.1	pSv cm^2	(16.9%)
 phi		:	3.569	cm^-2 s^-1 	(66.7%)
 thermal   	:	0.1287
 epithermal	:	0.5744
 fast      	:	0.2969
-------------------------------------------------------------
 Average experimental data uncertainty	:	74.14%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.092912E-03
2.580E-09	1.777495E-03
3.340E-09	2.890787E-03
4.310E-09	4.632621E-03
5.570E-09	7.361287E-03
7.190E-09	1.150516E-02
9.280E-09	1.764632E-02
1.200E-08	2.649902E-02
1.550E-08	3.849909E-02
2.000E-08	5.365387E-02
2.580E-08	8.550148E-02
3.340E-08	1.115886E-01
4.310E-08	1.367495E-01
5.570E-08	1.567412E-01
7.190E-08	1.668349E-01
9.280E-08	1.649181E-01
1.200E-07	1.529464E-01
1.550E-07	1.383600E-01
2.000E-07	1.293101E-01
2.580E-07	1.268734E-01
3.340E-07	1.273872E-01
4.310E-07	1.285186E-01
5.570E-07	1.297331E-01
7.190E-07	1.309640E-01
9.280E-07	1.322145E-01
1.200E-06	1.334951E-01
1.550E-06	1.347913E-01
2.000E-06	1.361037E-01
2.580E-06	1.374366E-01
3.340E-06	1.388108E-01
4.310E-06	1.401909E-01
5.570E-06	1.416024E-01
7.190E-06	1.430314E-01
9.280E-06	1.444839E-01
1.200E-05	1.459721E-01
1.550E-05	1.474791E-01
2.000E-05	1.490055E-01
2.580E-05	1.505563E-01
3.340E-05	1.521555E-01
4.310E-05	1.537615E-01
5.570E-05	1.554040E-01
7.190E-05	1.570663E-01
9.280E-05	1.587548E-01
1.200E-04	1.604831E-01
1.550E-04	1.622308E-01
2.000E-04	1.639975E-01
2.580E-04	1.657873E-01
3.340E-04	1.676259E-01
4.310E-04	1.694631E-01
5.570E-04	1.713296E-01
7.190E-04	1.732018E-01
9.280E-04	1.750818E-01
1.200E-03	1.773100E-01
1.550E-03	1.792961E-01
2.000E-03	1.812871E-01
2.580E-03	1.832831E-01
3.340E-03	1.853063E-01
4.310E-03	1.872941E-01
5.570E-03	1.892711E-01
7.190E-03	1.912022E-01
9.280E-03	1.930779E-01
1.200E-02	1.948915E-01
1.550E-02	1.965986E-01
2.000E-02	1.981771E-01
2.580E-02	1.996108E-01
3.340E-02	2.009037E-01
4.310E-02	2.020239E-01
5.570E-02	2.030275E-01
7.190E-02	2.039920E-01
9.280E-02	2.050943E-01
1.200E-01	2.066453E-01
1.550E-01	2.090976E-01
2.000E-01	2.131022E-01
2.580E-01	2.195028E-01
3.340E-01	2.294025E-01
4.310E-01	2.433762E-01
5.570E-01	2.619686E-01
7.190E-01	2.843086E-01
9.280E-01	3.081910E-01
1.200E+00	3.294502E-01
1.550E+00	3.413439E-01
2.000E+00	3.363826E-01
2.580E+00	3.084220E-01
3.340E+00	2.554679E-01
4.310E+00	1.861707E-01
5.570E+00	1.144351E-01
7.190E+00	5.695786E-02
9.280E+00	2.168761E-02
1.200E+01	5.835553E-03
1.550E+01	1.033029E-03
2.000E+01	1.085119E-04
2.580E+01	5.837653E-06
3.340E+01	1.239474E-07
4.310E+01	8.725776E-10
5.570E+01	1.314545E-12
7.190E+01	2.872721E-16
9.280E+01	0.000000E+00
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

