 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 16896.35 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0121

 DETECTORS		DIRECTIONS
 D1           4		R            5
 D2           6		RL           8
 D3           6		FL           4
 D4           4		F            3
 D5           3		FR           3
 D6          11		RR           6

------------------ INTERNAL DATA REF ------------------------
1-0
0.82;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.002	uSv h^-1	(62.7%)
 H*(10)_i	:	0.010	uSv     	(62.7%)
 h*(10)		:	155.0	pSv cm^2	(22.9%)
 phi		:	0.004	cm^-2 s^-1 	(58.4%)
 thermal   	:	0.2749
 epithermal	:	0.3501
 fast      	:	0.3750
-------------------------------------------------------------
 Average experimental data uncertainty	:	44.92%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	4.473300E-06
2.580E-09	7.275306E-06
3.340E-09	1.183202E-05
4.310E-09	1.896136E-05
5.570E-09	3.012982E-05
7.190E-09	4.709072E-05
9.280E-09	7.222657E-05
1.200E-08	1.084607E-04
1.550E-08	1.575771E-04
2.000E-08	2.196058E-04
2.580E-08	3.071456E-04
3.340E-08	3.869976E-04
4.310E-08	4.498820E-04
5.570E-08	4.754581E-04
7.190E-08	4.479442E-04
9.280E-08	3.711915E-04
1.200E-07	2.717443E-04
1.550E-07	1.886184E-04
2.000E-07	1.430756E-04
2.580E-07	1.274073E-04
3.340E-07	1.238082E-04
4.310E-07	1.227504E-04
5.570E-07	1.219384E-04
7.190E-07	1.211574E-04
9.280E-07	1.203951E-04
1.200E-06	1.196452E-04
1.550E-06	1.189164E-04
2.000E-06	1.182078E-04
2.580E-06	1.175168E-04
3.340E-06	1.168332E-04
4.310E-06	1.161747E-04
5.570E-06	1.155286E-04
7.190E-06	1.149013E-04
9.280E-06	1.142901E-04
1.200E-05	1.136898E-04
1.550E-05	1.131074E-04
2.000E-05	1.125422E-04
2.580E-05	1.119921E-04
3.340E-05	1.114488E-04
4.310E-05	1.109263E-04
5.570E-05	1.104146E-04
7.190E-05	1.099187E-04
9.280E-05	1.094360E-04
1.200E-04	1.089626E-04
1.550E-04	1.085036E-04
2.000E-04	1.080583E-04
2.580E-04	1.076246E-04
3.340E-04	1.071956E-04
4.310E-04	1.067817E-04
5.570E-04	1.063744E-04
7.190E-04	1.059766E-04
9.280E-04	1.055851E-04
1.200E-03	1.052315E-04
1.550E-03	1.048583E-04
2.000E-03	1.044903E-04
2.580E-03	1.041244E-04
3.340E-03	1.037526E-04
4.310E-03	1.033817E-04
5.570E-03	1.030013E-04
7.190E-03	1.026113E-04
9.280E-03	1.022056E-04
1.200E-02	1.017756E-04
1.550E-02	1.013207E-04
2.000E-02	1.008359E-04
2.580E-02	1.003160E-04
3.340E-02	9.975120E-05
4.310E-02	9.916051E-05
5.570E-02	9.854788E-05
7.190E-02	9.795168E-05
9.280E-02	9.743072E-05
1.200E-01	9.709218E-05
1.550E-01	9.712795E-05
2.000E-01	9.783750E-05
2.580E-01	9.969936E-05
3.340E-01	1.035303E-04
4.310E-01	1.103838E-04
5.570E-01	1.220650E-04
7.190E-01	1.408905E-04
9.280E-01	1.701744E-04
1.200E+00	2.144070E-04
1.550E+00	2.774920E-04
2.000E+00	3.620662E-04
2.580E+00	4.664124E-04
3.340E+00	5.803964E-04
4.310E+00	6.713523E-04
5.570E+00	6.900992E-04
7.190E+00	5.906972E-04
9.280E+00	3.954819E-04
1.200E+01	1.991091E-04
1.550E+01	7.525395E-05
2.000E+01	2.031701E-05
2.580E+01	3.456374E-06
3.340E+01	3.082939E-07
4.310E+01	1.323824E-08
5.570E+01	2.324605E-10
7.190E+01	2.266167E-12
9.280E+01	2.465895E-14
1.200E+02	1.341004E-16
1.550E+02	1.772975E-19
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

