 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 15094.04 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0126

 DETECTORS		DIRECTIONS
 D1          14		R           27
 D2          14		RL          16
 D3          24		FL           9
 D4          18		F           20
 D5          25		FR          16
 D6          16		RR          20

------------------ INTERNAL DATA REF ------------------------
1-0
0.82;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.007	uSv h^-1	(25.0%)
 H*(10)_i	:	0.031	uSv     	(25.0%)
 h*(10)		:	131.0	pSv cm^2	(6.8%)
 phi		:	0.016	cm^-2 s^-1 	(24.1%)
 thermal   	:	0.3277
 epithermal	:	0.3344
 fast      	:	0.3379
-------------------------------------------------------------
 Average experimental data uncertainty	:	23.74%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.395366E-05
2.580E-09	3.895787E-05
3.340E-09	6.335819E-05
4.310E-09	1.015345E-04
5.570E-09	1.613394E-04
7.190E-09	2.521618E-04
9.280E-09	3.867595E-04
1.200E-08	5.807866E-04
1.550E-08	8.437955E-04
2.000E-08	1.175947E-03
2.580E-08	1.612025E-03
3.340E-08	2.020745E-03
4.310E-08	2.330348E-03
5.570E-08	2.430683E-03
7.190E-08	2.240550E-03
9.280E-08	1.789377E-03
1.200E-07	1.230945E-03
1.550E-07	7.781674E-04
2.000E-07	5.361073E-04
2.580E-07	4.556834E-04
3.340E-07	4.399230E-04
4.310E-07	4.376396E-04
5.570E-07	4.366055E-04
7.190E-07	4.356375E-04
9.280E-07	4.346849E-04
1.200E-06	4.337395E-04
1.550E-06	4.328122E-04
2.000E-06	4.319022E-04
2.580E-06	4.310064E-04
3.340E-06	4.301115E-04
4.310E-06	4.292405E-04
5.570E-06	4.283769E-04
7.190E-06	4.275293E-04
9.280E-06	4.266939E-04
1.200E-05	4.258636E-04
1.550E-05	4.250477E-04
2.000E-05	4.242450E-04
2.580E-05	4.234524E-04
3.340E-05	4.226571E-04
4.310E-05	4.218789E-04
5.570E-05	4.211018E-04
7.190E-05	4.203319E-04
9.280E-05	4.195639E-04
1.200E-04	4.187887E-04
1.550E-04	4.180116E-04
2.000E-04	4.172275E-04
2.580E-04	4.164281E-04
3.340E-04	4.155932E-04
4.310E-04	4.147344E-04
5.570E-04	4.138232E-04
7.190E-04	4.128524E-04
9.280E-04	4.117971E-04
1.200E-03	4.125662E-04
1.550E-03	4.118917E-04
2.000E-03	4.112403E-04
2.580E-03	4.106230E-04
3.340E-03	4.100521E-04
4.310E-03	4.095740E-04
5.570E-03	4.092272E-04
7.190E-03	4.090866E-04
9.280E-03	4.092552E-04
1.200E-02	4.098940E-04
1.550E-02	4.112266E-04
2.000E-02	4.135753E-04
2.580E-02	4.174162E-04
3.340E-02	4.235402E-04
4.310E-02	4.327892E-04
5.570E-02	4.467254E-04
7.190E-02	4.671922E-04
9.280E-02	4.969254E-04
1.200E-01	5.398875E-04
1.550E-01	6.002419E-04
2.000E-01	6.831924E-04
2.580E-01	7.945067E-04
3.340E-01	9.413301E-04
4.310E-01	1.121858E-03
5.570E-01	1.335217E-03
7.190E-01	1.566335E-03
9.280E-01	1.791190E-03
1.200E+00	1.973346E-03
1.550E+00	2.062700E-03
2.000E+00	2.013688E-03
2.580E+00	1.800051E-03
3.340E+00	1.430536E-03
4.310E+00	9.838000E-04
5.570E+00	5.583875E-04
7.190E+00	2.494162E-04
9.280E+00	8.184126E-05
1.200E+01	1.787175E-05
1.550E+01	2.363344E-06
2.000E+01	1.657922E-07
2.580E+01	5.179701E-09
3.340E+01	5.427873E-11
4.310E+01	1.651069E-13
5.570E+01	9.490829E-17
7.190E+01	6.239984E-21
9.280E+01	0.000000E+00
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

