 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 4464.04 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0155

 DETECTORS		DIRECTIONS
 D1         660		R          729
 D2         969		RL         775
 D3        1186		FL         844
 D4        1161		F         1222
 D5        1077		FR        1128
 D6         896		RR        1140

------------------ INTERNAL DATA REF ------------------------
4-1
0.75;9345-0;1-0.59
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	1.363	uSv h^-1	(6.2%)
 H*(10)_i	:	1.690	uSv     	(6.2%)
 h*(10)		:	119.1	pSv cm^2	(4.9%)
 phi		:	3.178	cm^-2 s^-1 	(3.8%)
 thermal   	:	0.2194
 epithermal	:	0.4417
 fast      	:	0.3390
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.22%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.279300E-03
2.580E-09	3.707019E-03
3.340E-09	6.028820E-03
4.310E-09	9.661468E-03
5.570E-09	1.535218E-02
7.190E-09	2.399434E-02
9.280E-09	3.680193E-02
1.200E-08	5.526449E-02
1.550E-08	8.029098E-02
2.000E-08	1.118967E-01
2.580E-08	1.664295E-01
3.340E-08	2.129596E-01
4.310E-08	2.534652E-01
5.570E-08	2.780154E-01
7.190E-08	2.775910E-01
9.280E-08	2.514236E-01
1.200E-07	2.093428E-01
1.550E-07	1.698661E-01
2.000E-07	1.465307E-01
2.580E-07	1.378675E-01
3.340E-07	1.353284E-01
4.310E-07	1.341010E-01
5.570E-07	1.330032E-01
7.190E-07	1.319324E-01
9.280E-07	1.308794E-01
1.200E-06	1.298360E-01
1.550E-06	1.288140E-01
2.000E-06	1.278129E-01
2.580E-06	1.268290E-01
3.340E-06	1.258478E-01
4.310E-06	1.248949E-01
5.570E-06	1.239522E-01
7.190E-06	1.230293E-01
9.280E-06	1.221222E-01
1.200E-05	1.212235E-01
1.550E-05	1.203436E-01
2.000E-05	1.194818E-01
2.580E-05	1.186351E-01
3.340E-05	1.177909E-01
4.310E-05	1.169709E-01
5.570E-05	1.161597E-01
7.190E-05	1.153652E-01
9.280E-05	1.145837E-01
1.200E-04	1.138088E-01
1.550E-04	1.130489E-01
2.000E-04	1.123031E-01
2.580E-04	1.115682E-01
3.340E-04	1.108324E-01
4.310E-04	1.101139E-01
5.570E-04	1.093979E-01
7.190E-04	1.086898E-01
9.280E-04	1.079846E-01
1.200E-03	1.072836E-01
1.550E-03	1.065782E-01
2.000E-03	1.058712E-01
2.580E-03	1.051574E-01
3.340E-03	1.044232E-01
4.310E-03	1.036859E-01
5.570E-03	1.029330E-01
7.190E-03	1.021780E-01
9.280E-03	1.014333E-01
1.200E-02	1.007256E-01
1.550E-02	1.001250E-01
2.000E-02	9.973857E-02
2.580E-02	9.974734E-02
3.340E-02	1.004678E-01
4.310E-02	1.023644E-01
5.570E-02	1.061941E-01
7.190E-02	1.129690E-01
9.280E-02	1.240916E-01
1.200E-01	1.413890E-01
1.550E-01	1.663202E-01
2.000E-01	1.996322E-01
2.580E-01	2.401433E-01
3.340E-01	2.835798E-01
4.310E-01	3.189778E-01
5.570E-01	3.333483E-01
7.190E-01	3.141180E-01
9.280E-01	2.586592E-01
1.200E+00	1.791162E-01
1.550E+00	1.007634E-01
2.000E+00	4.458288E-02
2.580E+00	1.561990E-02
3.340E+00	5.719721E-03
4.310E+00	4.795125E-03
5.570E+00	7.105398E-03
7.190E+00	1.130629E-02
9.280E+00	1.784682E-02
1.200E+01	2.782661E-02
1.550E+01	4.243591E-02
2.000E+01	6.295474E-02
2.580E+01	9.031431E-02
3.340E+01	1.246699E-01
4.310E+01	1.621884E-01
5.570E+01	1.968050E-01
7.190E+01	2.178725E-01
9.280E+01	2.147623E-01
1.200E+02	1.821802E-01
1.550E+02	1.277246E-01
2.000E+02	7.037833E-02
2.580E+02	2.851953E-02
3.340E+02	7.647814E-03
4.310E+02	1.261077E-03
5.570E+02	1.087138E-04
7.190E+02	4.258161E-06
9.280E+02	6.143005E-08
1.200E+03	2.407624E-10
1.550E+03	1.919797E-13
2.000E+03	1.666626E-17
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

