 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 4483.71 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0158

 DETECTORS		DIRECTIONS
 D1          28		R           21
 D2          29		RL          21
 D3          25		FL          13
 D4          26		F           30
 D5          25		FR          24
 D6          13		RR          27

------------------ INTERNAL DATA REF ------------------------
4-0
0.75;0-0;1-0.02
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.027	uSv h^-1	(21.6%)
 H*(10)_i	:	0.033	uSv     	(21.6%)
 h*(10)		:	86.4	pSv cm^2	(5.6%)
 phi		:	0.085	cm^-2 s^-1 	(20.9%)
 thermal   	:	0.4470
 epithermal	:	0.3260
 fast      	:	0.2270
-------------------------------------------------------------
 Average experimental data uncertainty	:	20.80%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.699041E-04
2.580E-09	2.763294E-04
3.340E-09	4.494015E-04
4.310E-09	7.201871E-04
5.570E-09	1.144385E-03
7.190E-09	1.788591E-03
9.280E-09	2.743297E-03
1.200E-08	4.119537E-03
1.550E-08	5.985067E-03
2.000E-08	8.341027E-03
2.580E-08	1.162809E-02
3.340E-08	1.462328E-02
4.310E-08	1.694798E-02
5.570E-08	1.781912E-02
7.190E-08	1.663666E-02
9.280E-08	1.356473E-02
1.200E-07	9.648264E-03
1.550E-07	6.396281E-03
2.000E-07	4.601470E-03
2.580E-07	3.948951E-03
3.340E-07	3.756073E-03
4.310E-07	3.662086E-03
5.570E-07	3.578735E-03
7.190E-07	3.498352E-03
9.280E-07	3.420199E-03
1.200E-06	3.343618E-03
1.550E-06	3.269448E-03
2.000E-06	3.197581E-03
2.580E-06	3.127723E-03
3.340E-06	3.058815E-03
4.310E-06	2.992608E-03
5.570E-06	2.927808E-03
7.190E-06	2.865038E-03
9.280E-06	2.803980E-03
1.200E-05	2.744123E-03
1.550E-05	2.686122E-03
2.000E-05	2.629895E-03
2.580E-05	2.575211E-03
3.340E-05	2.521241E-03
4.310E-05	2.469354E-03
5.570E-05	2.418538E-03
7.190E-05	2.369276E-03
9.280E-05	2.321319E-03
1.200E-04	2.274260E-03
1.550E-04	2.228610E-03
2.000E-04	2.184298E-03
2.580E-04	2.141135E-03
3.340E-04	2.098453E-03
4.310E-04	2.057322E-03
5.570E-04	2.016922E-03
7.190E-04	1.977615E-03
9.280E-04	1.939172E-03
1.200E-03	1.901275E-03
1.550E-03	1.864226E-03
2.000E-03	1.827946E-03
2.580E-03	1.792220E-03
3.340E-03	1.756412E-03
4.310E-03	1.721335E-03
5.570E-03	1.686200E-03
7.190E-03	1.651231E-03
9.280E-03	1.616155E-03
1.200E-02	1.580601E-03
1.550E-02	1.544979E-03
2.000E-02	1.509451E-03
2.580E-02	1.474388E-03
3.340E-02	1.440319E-03
4.310E-02	1.410043E-03
5.570E-02	1.386245E-03
7.190E-02	1.374406E-03
9.280E-02	1.382229E-03
1.200E-01	1.421141E-03
1.550E-01	1.504612E-03
2.000E-01	1.646649E-03
2.580E-01	1.856959E-03
3.340E-01	2.134822E-03
4.310E-01	2.438783E-03
5.570E-01	2.697896E-03
7.190E-01	2.796156E-03
9.280E-01	2.623163E-03
1.200E+00	2.137735E-03
1.550E+00	1.449880E-03
2.000E+00	7.835017E-04
2.580E+00	3.330198E-04
3.340E+00	1.380928E-04
4.310E+00	1.145340E-04
5.570E+00	1.682705E-04
7.190E+00	2.693495E-04
9.280E+00	4.289357E-04
1.200E+01	6.765021E-04
1.550E+01	1.046905E-03
2.000E+01	1.582413E-03
2.580E+01	2.324905E-03
3.340E+01	3.309853E-03
4.310E+01	4.476050E-03
5.570E+01	5.706120E-03
7.190E+01	6.720475E-03
9.280E+01	7.159071E-03
1.200E+02	6.695400E-03
1.550E+02	5.296089E-03
2.000E+02	3.384920E-03
2.580E+02	1.645292E-03
3.340E+02	5.525877E-04
4.310E+02	1.191937E-04
5.570E+02	1.416012E-05
7.190E+02	8.020739E-07
9.280E+02	1.744732E-08
1.200E+03	1.067118E-10
1.550E+03	1.368805E-13
2.000E+03	2.398367E-17
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

