 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 7187.76 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0115

 DETECTORS		DIRECTIONS
 D1          17		R           17
 D2          18		RL          13
 D3          18		FL          17
 D4          13		F           18
 D5          20		FR          15
 D6          19		RR          14

------------------ INTERNAL DATA REF ------------------------
1-0
0.75;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.010	uSv h^-1	(28.2%)
 H*(10)_i	:	0.020	uSv     	(28.2%)
 h*(10)		:	86.8	pSv cm^2	(9.3%)
 phi		:	0.031	cm^-2 s^-1 	(26.6%)
 thermal   	:	0.2858
 epithermal	:	0.4956
 fast      	:	0.2186
-------------------------------------------------------------
 Average experimental data uncertainty	:	24.07%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.312844E-05
2.580E-09	5.387958E-05
3.340E-09	8.762575E-05
4.310E-09	1.404244E-04
5.570E-09	2.231359E-04
7.190E-09	3.487453E-04
9.280E-09	5.348968E-04
1.200E-08	8.032405E-04
1.550E-08	1.166988E-03
2.000E-08	1.626360E-03
2.580E-08	2.349884E-03
3.340E-08	2.984804E-03
4.310E-08	3.513279E-03
5.570E-08	3.787677E-03
7.190E-08	3.683689E-03
9.280E-08	3.209606E-03
1.200E-07	2.534961E-03
1.550E-07	1.939105E-03
2.000E-07	1.599691E-03
2.580E-07	1.477768E-03
3.340E-07	1.445302E-03
4.310E-07	1.432047E-03
5.570E-07	1.420886E-03
7.190E-07	1.410265E-03
9.280E-07	1.400060E-03
1.200E-06	1.390178E-03
1.550E-06	1.380720E-03
2.000E-06	1.371664E-03
2.580E-06	1.362967E-03
3.340E-06	1.354492E-03
4.310E-06	1.346449E-03
5.570E-06	1.338674E-03
7.190E-06	1.331236E-03
9.280E-06	1.324091E-03
1.200E-05	1.317174E-03
1.550E-05	1.310557E-03
2.000E-05	1.304223E-03
2.580E-05	1.298141E-03
3.340E-05	1.292214E-03
4.310E-05	1.286587E-03
5.570E-05	1.281142E-03
7.190E-05	1.275927E-03
9.280E-05	1.270905E-03
1.200E-04	1.266027E-03
1.550E-04	1.261337E-03
2.000E-04	1.256814E-03
2.580E-04	1.252427E-03
3.340E-04	1.248091E-03
4.310E-04	1.243895E-03
5.570E-04	1.239730E-03
7.190E-04	1.235601E-03
9.280E-04	1.231446E-03
1.200E-03	1.229167E-03
1.550E-03	1.225407E-03
2.000E-03	1.221627E-03
2.580E-03	1.217767E-03
3.340E-03	1.213716E-03
4.310E-03	1.209514E-03
5.570E-03	1.205013E-03
7.190E-03	1.200177E-03
9.280E-03	1.194899E-03
1.200E-02	1.189041E-03
1.550E-02	1.182586E-03
2.000E-02	1.175485E-03
2.580E-02	1.167722E-03
3.340E-02	1.159283E-03
4.310E-02	1.150693E-03
5.570E-02	1.142412E-03
7.190E-02	1.135622E-03
9.280E-02	1.132074E-03
1.200E-01	1.134566E-03
1.550E-01	1.147114E-03
2.000E-01	1.174935E-03
2.580E-01	1.224485E-03
3.340E-01	1.304018E-03
4.310E-01	1.417392E-03
5.570E-01	1.568572E-03
7.190E-01	1.751242E-03
9.280E-01	1.950421E-03
1.200E+00	2.138363E-03
1.550E+00	2.269300E-03
2.000E+00	2.292463E-03
2.580E+00	2.164101E-03
3.340E+00	1.864171E-03
4.310E+00	1.436397E-03
5.570E+00	9.616025E-04
7.190E+00	5.476431E-04
9.280E+00	2.595654E-04
1.200E+01	1.001192E-04
1.550E+01	3.121867E-05
2.000E+01	7.531663E-06
2.580E+01	1.266965E-06
3.340E+01	1.225490E-07
4.310E+01	5.942466E-09
5.570E+01	1.085138E-10
7.190E+01	5.812123E-13
9.280E+01	6.265502E-16
1.200E+02	7.889899E-20
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

