[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	L	(3)	99.49	0.057	100.0%	0.002	100.0%	116.7	100.0%	0.136	100.0%	100.00%	36.1%	34.3%	29.6%	[1-0.43 0]
1	L	(3)	119.20	0.048	100.0%	0.002	100.0%	116.8	100.0%	0.114	100.0%	100.00%	36.1%	34.3%	29.6%	[1-0.43 0]
2	L	(3)	140.06	0.041	100.0%	0.002	100.0%	116.8	100.0%	0.096	100.0%	100.00%	35.8%	34.5%	29.7%	[1-0.43 0]
3	L	(3)	159.77	0.035	100.0%	0.002	100.0%	115.7	100.0%	0.085	100.0%	100.00%	35.9%	34.6%	29.5%	[1-0.43 0]
4	L	(3)	179.46	0.030	100.0%	0.001	100.0%	104.5	100.0%	0.080	100.0%	100.00%	34.5%	38.8%	26.7%	[1-0.43 0]
5	L	(3)	199.15	0.024	100.0%	0.001	100.0%	92.8	100.0%	0.073	100.0%	100.00%	33.2%	43.2%	23.7%	[1-0.43 0]
6	L	(3)	220.00	0.019	100.0%	0.001	100.0%	81.2	100.0%	0.067	100.0%	100.00%	31.8%	47.4%	20.7%	[1-0.43 0]
7	L	(3)	239.71	0.015	100.0%	0.001	100.0%	68.7	100.0%	0.062	100.0%	100.00%	30.4%	52.2%	17.5%	[1-0.43 0]
8	L	(3)	259.41	0.012	100.0%	0.001	100.0%	57.4	100.0%	0.057	100.0%	100.00%	28.2%	57.3%	14.5%	[1-0.43 0]
9	L	(3)	280.27	0.011	100.0%	0.001	100.0%	57.2	100.0%	0.053	100.0%	100.00%	28.3%	57.3%	14.4%	[1-0.43 0]
10	L	(3)	299.98	0.010	100.0%	0.001	100.0%	56.7	100.0%	0.050	100.0%	100.00%	28.1%	57.6%	14.3%	[1-0.43 0]
11	L	(3)	319.68	0.010	100.0%	0.001	100.0%	59.6	100.0%	0.048	100.0%	100.00%	27.4%	57.6%	15.1%	[1-0.43 0]
12	L	(3)	339.38	0.013	100.0%	0.001	100.0%	64.4	100.0%	0.058	100.0%	95.12%	26.5%	57.1%	16.4%	[1-0.43 0]
13	L	(3)	360.24	0.013	100.0%	0.001	100.0%	67.9	100.0%	0.054	100.0%	95.12%	26.4%	56.3%	17.4%	[1-0.43 0]
14	L	(3)	379.95	0.013	100.0%	0.001	100.0%	71.1	100.0%	0.051	100.0%	95.12%	25.1%	56.7%	18.2%	[1-0.43 0]
15	L	(3)	399.64	0.013	100.0%	0.001	100.0%	74.3	100.0%	0.048	100.0%	95.12%	24.0%	56.9%	19.1%	[1-0.43 0]
16	L	(3)	420.49	0.012	100.0%	0.001	100.0%	75.0	100.0%	0.046	100.0%	95.12%	23.3%	57.3%	19.3%	[1-0.43 0]
17	L	(3)	440.20	0.012	100.0%	0.001	100.0%	73.4	100.0%	0.044	100.0%	95.12%	23.2%	58.0%	18.8%	[1-0.43 0]
18	L	(3)	459.89	0.009	100.0%	0.001	100.0%	73.2	100.0%	0.034	100.0%	95.12%	23.2%	58.0%	18.8%	[1-0.43 0]
19	L	(3)	479.58	0.009	100.0%	0.001	100.0%	73.6	100.0%	0.033	100.0%	95.12%	23.5%	57.6%	18.9%	[1-0.43 0]
20	L	(3)	500.45	0.008	100.0%	0.001	100.0%	74.0	100.0%	0.031	100.0%	95.12%	23.7%	57.3%	19.1%	[1-0.43 0]
21	L	(3)	520.15	0.010	100.0%	0.001	100.0%	76.6	100.0%	0.036	100.0%	88.07%	23.0%	57.3%	19.7%	[1-0.43 0]
22	L	(3)	539.85	0.010	100.0%	0.002	100.0%	81.7	100.0%	0.035	100.0%	88.07%	22.4%	56.4%	21.2%	[1-0.43 0]
23	L	(3)	560.71	0.010	100.0%	0.002	100.0%	84.7	100.0%	0.034	100.0%	88.07%	20.9%	57.1%	22.0%	[1-0.43 0]
24	L	(3)	580.42	0.010	100.0%	0.002	100.0%	88.2	100.0%	0.032	100.0%	88.07%	19.4%	57.5%	23.0%	[1-0.43 0]
25	L	(3)	600.12	0.010	100.0%	0.002	100.0%	92.0	100.0%	0.029	100.0%	88.07%	18.7%	57.2%	24.1%	[1-0.43 0]
26	L	(3)	619.82	0.010	100.0%	0.002	100.0%	93.6	100.0%	0.028	100.0%	88.07%	19.0%	56.5%	24.5%	[1-0.43 0]
27	L	(3)	640.70	0.009	100.0%	0.002	100.0%	93.6	100.0%	0.027	100.0%	88.07%	18.7%	56.7%	24.6%	[1-0.43 0]
28	L	(3)	660.40	0.009	100.0%	0.002	100.0%	95.3	100.0%	0.027	100.0%	88.07%	19.0%	55.8%	25.2%	[1-0.43 0]
29	L	(3)	680.11	0.009	100.0%	0.002	100.0%	94.3	100.0%	0.026	100.0%	88.07%	19.1%	56.1%	24.8%	[1-0.43 0]
30	L	(3)	699.80	0.009	100.0%	0.002	100.0%	95.3	100.0%	0.025	100.0%	88.07%	18.9%	56.0%	25.0%	[1-0.43 0]
31	L	(3)	720.65	0.008	100.0%	0.002	100.0%	96.1	100.0%	0.024	100.0%	88.07%	19.0%	55.7%	25.3%	[1-0.43 0]
32	L	(3)	740.35	0.008	100.0%	0.002	100.0%	96.0	100.0%	0.024	100.0%	88.07%	19.4%	55.5%	25.2%	[1-0.43 0]
33	L	(3)	760.04	0.008	100.0%	0.002	100.0%	95.4	100.0%	0.023	100.0%	88.07%	19.5%	55.7%	24.8%	[1-0.43 0]
34	L	(3)	780.90	0.008	100.0%	0.002	100.0%	96.6	100.0%	0.022	100.0%	88.07%	19.3%	55.4%	25.3%	[1-0.43 0]
35	L	(3)	800.59	0.009	100.0%	0.002	100.0%	96.2	100.0%	0.025	100.0%	83.19%	19.2%	55.5%	25.3%	[1-0.43 0]
36	L	(3)	820.28	0.009	100.0%	0.002	100.0%	91.3	100.0%	0.026	100.0%	78.31%	19.7%	56.2%	24.1%	[1-0.43 0]
37	L	(3)	839.98	0.008	100.0%	0.002	100.0%	87.5	100.0%	0.026	100.0%	78.31%	20.5%	56.6%	23.0%	[1-0.43 0]
38	L	(3)	860.85	0.008	100.0%	0.002	100.0%	86.1	100.0%	0.026	100.0%	76.15%	20.9%	56.4%	22.7%	[1-0.43 0]
39	L	(3)	880.56	0.008	100.0%	0.002	100.0%	83.9	100.0%	0.026	100.0%	76.15%	21.2%	56.8%	22.0%	[1-0.43 0]
40	L	(3)	900.26	0.007	100.0%	0.002	100.0%	81.9	100.0%	0.025	100.0%	76.15%	22.1%	56.6%	21.3%	[1-0.43 0]
41	L	(3)	921.11	0.007	100.0%	0.002	100.0%	83.7	100.0%	0.025	100.0%	76.15%	21.8%	56.6%	21.6%	[1-0.43 0]
42	L	(3)	940.81	0.007	100.0%	0.002	100.0%	86.0	100.0%	0.024	100.0%	76.15%	21.0%	56.6%	22.3%	[1-0.43 0]
43	L	(3)	960.49	0.008	100.0%	0.002	100.0%	85.6	100.0%	0.025	100.0%	73.99%	21.2%	56.7%	22.1%	[1-0.43 0]
44	L	(3)	980.19	0.011	100.0%	0.003	100.0%	86.1	100.0%	0.034	100.0%	69.10%	21.8%	55.9%	22.3%	[1-0.43 0]
45	L	(3)	1001.06	0.010	100.0%	0.003	100.0%	86.2	100.0%	0.033	100.0%	69.10%	21.7%	55.9%	22.4%	[1-0.43 0]
46	L	(3)	1020.75	0.010	100.0%	0.003	100.0%	85.6	100.0%	0.033	100.0%	69.10%	21.8%	56.0%	22.3%	[1-0.43 0]
47	L	(3)	1040.45	0.010	100.0%	0.003	100.0%	83.3	100.0%	0.033	100.0%	66.94%	22.9%	55.5%	21.5%	[1-0.43 0]
48	L	(3)	1061.31	0.010	100.0%	0.003	100.0%	81.1	100.0%	0.033	100.0%	66.94%	24.0%	55.1%	20.9%	[1-0.43 0]
49	L	(3)	1081.03	0.009	100.0%	0.003	100.0%	78.8	100.0%	0.032	100.0%	66.94%	24.6%	55.1%	20.3%	[1-0.43 0]
50	L	(3)	1100.74	0.006	100.0%	0.002	100.0%	76.1	100.0%	0.023	100.0%	66.94%	25.6%	54.9%	19.5%	[1-0.43 0]
51	L	(3)	1120.47	0.006	100.0%	0.002	100.0%	73.5	100.0%	0.022	100.0%	66.94%	26.3%	55.0%	18.7%	[1-0.43 0]
52	L	(3)	1141.35	0.008	100.0%	0.003	100.0%	93.2	100.0%	0.024	100.0%	64.77%	29.9%	46.9%	23.2%	[1-0.43 0]
53	L	(3)	1161.08	0.010	100.0%	0.003	100.0%	111.7	57.8%	0.025	100.0%	64.77%	31.8%	40.6%	27.6%	[1-0.43 0]
54	L	(3)	1180.81	0.012	89.1%	0.004	89.1%	132.9	23.4%	0.026	86.0%	64.77%	34.5%	33.0%	32.5%	[1-0.43 0]
55	L	(3)	1200.52	0.016	87.5%	0.005	87.5%	158.1	24.9%	0.027	83.9%	64.77%	36.9%	24.9%	38.1%	[1-0.43 0]
56	L	(3)	1221.41	0.022	66.4%	0.008	66.4%	164.6	24.2%	0.037	61.8%	57.73%	37.8%	22.5%	39.7%	[1-0.43 0]
57	L	(3)	1241.12	0.019	68.2%	0.007	68.2%	150.4	24.0%	0.035	63.8%	57.73%	34.5%	29.1%	36.4%	[1-0.43 0]
58	L	(3)	1260.83	0.017	69.2%	0.006	69.2%	138.6	23.6%	0.034	65.1%	57.73%	33.6%	32.9%	33.5%	[1-0.43 0]
59	L	(3)	1280.53	0.014	70.1%	0.005	70.1%	124.4	21.0%	0.032	66.9%	57.73%	31.4%	38.4%	30.2%	[1-0.43 0]
60	L	(3)	1301.40	0.011	70.5%	0.004	70.5%	107.3	17.4%	0.030	68.3%	57.73%	29.2%	44.4%	26.5%	[1-0.43 0]
61	L	(3)	1321.09	0.011	70.6%	0.004	70.6%	107.2	17.4%	0.029	68.4%	57.73%	28.6%	44.9%	26.6%	[1-0.43 0]
62	L	(3)	1340.80	0.011	68.2%	0.004	68.2%	103.6	17.2%	0.030	66.0%	56.44%	29.6%	44.8%	25.6%	[1-0.43 0]
63	L	(3)	1360.50	0.012	62.5%	0.004	62.5%	99.7	16.7%	0.032	60.2%	54.28%	27.5%	47.6%	24.9%	[1-0.43 0]
64	L	(3)	1381.38	0.011	61.7%	0.004	61.7%	96.7	16.3%	0.033	59.5%	53.40%	27.5%	48.3%	24.2%	[1-0.43 0]
65	L	(3)	1401.09	0.014	61.3%	0.005	61.3%	110.7	15.8%	0.034	59.2%	52.75%	30.1%	42.4%	27.5%	[1-0.43 0]
66	L	(3)	1420.80	0.017	61.6%	0.007	61.6%	130.5	15.5%	0.035	59.6%	52.75%	33.6%	34.2%	32.2%	[1-0.43 0]
67	L	(3)	1441.66	0.020	61.7%	0.008	61.7%	155.1	15.5%	0.036	59.8%	52.75%	36.4%	25.3%	38.3%	[1-0.43 0]
68	L	(3)	1461.39	0.024	61.0%	0.010	61.0%	175.7	15.6%	0.038	58.9%	52.75%	40.9%	16.1%	43.0%	[1-0.43 0]
69	L	(3)	1481.11	0.028	60.3%	0.011	60.3%	194.5	15.6%	0.039	58.2%	52.75%	44.2%	8.6%	47.2%	[1-0.43 0]
70	L	(3)	1500.82	0.028	60.3%	0.012	60.3%	196.1	15.7%	0.039	58.2%	52.75%	44.6%	7.8%	47.6%	[1-0.43 0]
71	L	(3)	1521.69	0.026	60.3%	0.011	60.3%	192.4	15.9%	0.038	58.2%	52.75%	43.8%	9.5%	46.8%	[1-0.43 0]
72	L	(3)	1541.39	0.025	58.0%	0.010	58.0%	175.3	15.7%	0.039	55.8%	51.46%	45.3%	12.2%	42.5%	[1-0.43 0]
73	L	(3)	1561.09	0.021	58.5%	0.009	58.5%	157.9	15.9%	0.038	56.3%	51.46%	45.3%	16.5%	38.2%	[1-0.43 0]
74	L	(3)	1580.79	0.019	58.6%	0.009	58.6%	146.9	15.8%	0.037	56.5%	51.46%	46.3%	18.1%	35.6%	[1-0.43 0]
75	L	(3)	1601.65	0.018	58.6%	0.008	58.6%	134.1	15.4%	0.036	56.6%	51.46%	48.1%	19.5%	32.3%	[1-0.43 0]
76	L	(3)	1621.35	0.015	57.1%	0.007	57.1%	116.0	14.9%	0.037	55.1%	50.17%	47.5%	24.7%	27.8%	[1-0.43 0]
77	L	(3)	1641.05	0.014	57.9%	0.006	57.9%	109.5	15.0%	0.035	55.9%	50.17%	45.0%	28.8%	26.2%	[1-0.43 0]
78	L	(3)	1661.92	0.014	58.2%	0.007	58.2%	113.9	15.8%	0.035	56.0%	50.17%	44.2%	28.5%	27.3%	[1-0.43 0]
79	L	(3)	1681.64	0.014	56.2%	0.007	56.2%	110.0	15.6%	0.036	54.0%	48.64%	45.6%	28.2%	26.3%	[1-0.43 0]
80	L	(3)	1701.34	0.014	56.8%	0.007	56.8%	107.3	15.5%	0.036	54.6%	48.64%	46.2%	28.2%	25.6%	[1-0.43 0]
