 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 3583.84 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0118

 DETECTORS		DIRECTIONS
 D1          10		R            7
 D2           7		RL          10
 D3          12		FL           3
 D4           6		F            9
 D5           9		FR          10
 D6          10		RR          13

------------------ INTERNAL DATA REF ------------------------
4-0
0.75;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.027	uSv h^-1	(37.0%)
 H*(10)_i	:	0.027	uSv     	(37.0%)
 h*(10)		:	165.1	pSv cm^2	(9.2%)
 phi		:	0.045	cm^-2 s^-1 	(35.8%)
 thermal   	:	0.3717
 epithermal	:	0.1612
 fast      	:	0.4671
-------------------------------------------------------------
 Average experimental data uncertainty	:	34.01%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	8.408210E-05
2.580E-09	1.367498E-04
3.340E-09	2.223998E-04
4.310E-09	3.564061E-04
5.570E-09	5.663333E-04
7.190E-09	8.851379E-04
9.280E-09	1.357602E-03
1.200E-08	2.038676E-03
1.550E-08	2.961889E-03
2.000E-08	4.127807E-03
2.580E-08	5.615972E-03
3.340E-08	7.019624E-03
4.310E-08	8.057904E-03
5.570E-08	8.338887E-03
7.190E-08	7.580050E-03
9.280E-08	5.899297E-03
1.200E-07	3.861048E-03
1.550E-07	2.226996E-03
2.000E-07	1.352580E-03
2.580E-07	1.050047E-03
3.340E-07	9.750646E-04
4.310E-07	9.482767E-04
5.570E-07	9.263869E-04
7.190E-07	9.054111E-04
9.280E-07	8.850760E-04
1.200E-06	8.652065E-04
1.550E-06	8.460168E-04
2.000E-06	8.274755E-04
2.580E-06	8.095029E-04
3.340E-06	7.918246E-04
4.310E-06	7.748871E-04
5.570E-06	7.583562E-04
7.190E-06	7.423877E-04
9.280E-06	7.268981E-04
1.200E-05	7.117557E-04
1.550E-05	6.971239E-04
2.000E-05	6.829792E-04
2.580E-05	6.692608E-04
3.340E-05	6.557591E-04
4.310E-05	6.428151E-04
5.570E-05	6.301731E-04
7.190E-05	6.179521E-04
9.280E-05	6.060875E-04
1.200E-04	5.944774E-04
1.550E-04	5.832459E-04
2.000E-04	5.723734E-04
2.580E-04	5.618113E-04
3.340E-04	5.513950E-04
4.310E-04	5.413837E-04
5.570E-04	5.315752E-04
7.190E-04	5.220556E-04
9.280E-04	5.127670E-04
1.200E-03	5.036261E-04
1.550E-03	4.947080E-04
2.000E-03	4.859872E-04
2.580E-03	4.774068E-04
3.340E-03	4.688075E-04
4.310E-03	4.603755E-04
5.570E-03	4.519091E-04
7.190E-03	4.434451E-04
9.280E-03	4.348938E-04
1.200E-02	4.261294E-04
1.550E-02	4.172006E-04
2.000E-02	4.080749E-04
2.580E-02	3.987367E-04
3.340E-02	3.891433E-04
4.310E-02	3.798070E-04
5.570E-02	3.711035E-04
7.190E-02	3.641496E-04
9.280E-02	3.607068E-04
1.200E-01	3.638974E-04
1.550E-01	3.786063E-04
2.000E-01	4.123266E-04
2.580E-01	4.761698E-04
3.340E-01	5.874938E-04
4.310E-01	7.632569E-04
5.570E-01	1.027632E-03
7.190E-01	1.394599E-03
9.280E-01	1.863946E-03
1.200E+00	2.403375E-03
1.550E+00	2.916452E-03
2.000E+00	3.261067E-03
2.580E+00	3.285189E-03
3.340E+00	2.899558E-03
4.310E+00	2.192624E-03
5.570E+00	1.394475E-03
7.190E+00	7.758276E-04
9.280E+00	4.615177E-04
1.200E+01	4.237936E-04
1.550E+01	5.816749E-04
2.000E+01	8.877485E-04
2.580E+01	1.350222E-03
3.340E+01	2.015460E-03
4.310E+01	2.897608E-03
5.570E+01	4.004318E-03
7.190E+01	5.242018E-03
9.280E+01	6.420956E-03
1.200E+02	7.241086E-03
1.550E+02	7.352355E-03
2.000E+02	6.570734E-03
2.580E+02	5.031429E-03
3.340E+02	3.175881E-03
4.310E+02	1.615311E-03
5.570E+02	6.314363E-04
7.190E+02	1.841593E-04
9.280E+02	3.819823E-05
1.200E+03	5.162581E-06
1.550E+03	4.068379E-07
2.000E+03	1.521383E-08
2.580E+03	2.028941E-10
3.340E+03	6.247099E-13
4.310E+03	3.373252E-16
5.570E+03	0.000000E+00

