 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 8990.33 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0117

 DETECTORS		DIRECTIONS
 D1          87		R           87
 D2         104		RL         122
 D3         112		FL          62
 D4          94		F           83
 D5          63		FR          62
 D6          57		RR          93

------------------ INTERNAL DATA REF ------------------------
4-1
0.75;81-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.038	uSv h^-1	(12.7%)
 H*(10)_i	:	0.094	uSv     	(12.7%)
 h*(10)		:	66.7	pSv cm^2	(6.1%)
 phi		:	0.156	cm^-2 s^-1 	(11.1%)
 thermal   	:	0.5142
 epithermal	:	0.3090
 fast      	:	0.1769
-------------------------------------------------------------
 Average experimental data uncertainty	:	11.02%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.687664E-04
2.580E-09	5.997561E-04
3.340E-09	9.753987E-04
4.310E-09	1.563122E-03
5.570E-09	2.483819E-03
7.190E-09	3.882029E-03
9.280E-09	5.954159E-03
1.200E-08	8.941204E-03
1.550E-08	1.299022E-02
2.000E-08	1.810369E-02
2.580E-08	2.512353E-02
3.340E-08	3.154269E-02
4.310E-08	3.646275E-02
5.570E-08	3.817266E-02
7.190E-08	3.537950E-02
9.280E-08	2.847927E-02
1.200E-07	1.980220E-02
1.550E-07	1.265583E-02
2.000E-07	8.724250E-03
2.580E-07	7.285064E-03
3.340E-07	6.847241E-03
4.310E-07	6.627652E-03
5.570E-07	6.434188E-03
7.190E-07	6.250129E-03
9.280E-07	6.073610E-03
1.200E-06	5.902987E-03
1.550E-06	5.739959E-03
2.000E-06	5.584096E-03
2.580E-06	5.434583E-03
3.340E-06	5.289040E-03
4.310E-06	5.151025E-03
5.570E-06	5.017684E-03
7.190E-06	4.890169E-03
9.280E-06	4.767697E-03
1.200E-05	4.649143E-03
1.550E-05	4.535695E-03
2.000E-05	4.427069E-03
2.580E-05	4.322705E-03
3.340E-05	4.220949E-03
4.310E-05	4.124294E-03
5.570E-05	4.030749E-03
7.190E-05	3.941129E-03
9.280E-05	3.854887E-03
1.200E-04	3.771231E-03
1.550E-04	3.690999E-03
2.000E-04	3.613988E-03
2.580E-04	3.539797E-03
3.340E-04	3.467233E-03
4.310E-04	3.398058E-03
5.570E-04	3.330827E-03
7.190E-04	3.266092E-03
9.280E-04	3.203418E-03
1.200E-03	3.142641E-03
1.550E-03	3.083668E-03
2.000E-03	3.026623E-03
2.580E-03	2.971225E-03
3.340E-03	2.916640E-03
4.310E-03	2.864359E-03
5.570E-03	2.813636E-03
7.190E-03	2.765540E-03
9.280E-03	2.720906E-03
1.200E-02	2.681321E-03
1.550E-02	2.650509E-03
2.000E-02	2.633604E-03
2.580E-02	2.638663E-03
3.340E-02	2.678889E-03
4.310E-02	2.771316E-03
5.570E-02	2.941395E-03
7.190E-02	3.216685E-03
9.280E-02	3.626940E-03
1.200E-01	4.196187E-03
1.550E-01	4.908824E-03
2.000E-01	5.702509E-03
2.580E-01	6.450829E-03
3.340E-01	6.970524E-03
4.310E-01	7.041314E-03
5.570E-01	6.526025E-03
7.190E-01	5.428835E-03
9.280E-01	3.933390E-03
1.200E+00	2.373033E-03
1.550E+00	1.142703E-03
2.000E+00	4.295140E-04
2.580E+00	1.498472E-04
3.340E+00	1.018573E-04
4.310E+00	1.434114E-04
5.570E+00	2.300505E-04
7.190E+00	3.678639E-04
9.280E+00	5.812886E-04
1.200E+01	9.074393E-04
1.550E+01	1.385883E-03
2.000E+01	2.059546E-03
2.580E+01	2.960458E-03
3.340E+01	4.095554E-03
4.310E+01	5.339538E-03
5.570E+01	6.490750E-03
7.190E+01	7.190987E-03
9.280E+01	7.078865E-03
1.200E+02	5.974035E-03
1.550E+02	4.140617E-03
2.000E+02	2.233517E-03
2.580E+02	8.730290E-04
3.340E+02	2.207471E-04
4.310E+02	3.326802E-05
5.570E+02	2.500399E-06
7.190E+02	7.982875E-08
9.280E+02	8.512364E-10
1.200E+03	2.144844E-12
1.550E+03	9.234264E-16
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

