 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 8930.15 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0117

 DETECTORS		DIRECTIONS
 D1          87		R           86
 D2         103		RL         122
 D3         112		FL          61
 D4          93		F           83
 D5          62		FR          61
 D6          57		RR          93

------------------ INTERNAL DATA REF ------------------------
1-1
0.75;81-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.029	uSv h^-1	(12.4%)
 H*(10)_i	:	0.073	uSv     	(12.4%)
 h*(10)		:	55.1	pSv cm^2	(5.4%)
 phi		:	0.148	cm^-2 s^-1 	(11.2%)
 thermal   	:	0.5346
 epithermal	:	0.3361
 fast      	:	0.1293
-------------------------------------------------------------
 Average experimental data uncertainty	:	11.06%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.775516E-04
2.580E-09	6.140441E-04
3.340E-09	9.986356E-04
4.310E-09	1.600361E-03
5.570E-09	2.542991E-03
7.190E-09	3.974510E-03
9.280E-09	6.096005E-03
1.200E-08	9.154210E-03
1.550E-08	1.329969E-02
2.000E-08	1.853498E-02
2.580E-08	2.540022E-02
3.340E-08	3.181525E-02
4.310E-08	3.664262E-02
5.570E-08	3.813298E-02
7.190E-08	3.500086E-02
9.280E-08	2.772306E-02
1.200E-07	1.875927E-02
1.550E-07	1.149834E-02
2.000E-07	7.587518E-03
2.580E-07	6.232747E-03
3.340E-07	5.898787E-03
4.310E-07	5.780737E-03
5.570E-07	5.684258E-03
7.190E-07	5.591468E-03
9.280E-07	5.501172E-03
1.200E-06	5.412610E-03
1.550E-06	5.326758E-03
2.000E-06	5.243501E-03
2.580E-06	5.162500E-03
3.340E-06	5.082532E-03
4.310E-06	5.005634E-03
5.570E-06	4.930307E-03
7.190E-06	4.857275E-03
9.280E-06	4.786171E-03
1.200E-05	4.716398E-03
1.550E-05	4.648716E-03
2.000E-05	4.583026E-03
2.580E-05	4.519048E-03
3.340E-05	4.455799E-03
4.310E-05	4.394867E-03
5.570E-05	4.335036E-03
7.190E-05	4.276846E-03
9.280E-05	4.219958E-03
1.200E-04	4.163832E-03
1.550E-04	4.109002E-03
2.000E-04	4.055292E-03
2.580E-04	4.002356E-03
3.340E-04	3.949202E-03
4.310E-04	3.896960E-03
5.570E-04	3.844340E-03
7.190E-04	3.791483E-03
9.280E-04	3.737683E-03
1.200E-03	3.697213E-03
1.550E-03	3.644116E-03
2.000E-03	3.589428E-03
2.580E-03	3.532280E-03
3.340E-03	3.470911E-03
4.310E-03	3.405934E-03
5.570E-03	3.335086E-03
7.190E-03	3.257911E-03
9.280E-03	3.173001E-03
1.200E-02	3.078661E-03
1.550E-02	2.975536E-03
2.000E-02	2.864339E-03
2.580E-02	2.747193E-03
3.340E-02	2.627591E-03
4.310E-02	2.518144E-03
5.570E-02	2.431913E-03
7.190E-02	2.391568E-03
9.280E-02	2.424860E-03
1.200E-01	2.565854E-03
1.550E-01	2.845576E-03
2.000E-01	3.285337E-03
2.580E-01	3.889846E-03
3.340E-01	4.648945E-03
4.310E-01	5.489167E-03
5.570E-01	6.336523E-03
7.190E-01	7.059880E-03
9.280E-01	7.512993E-03
1.200E+00	7.539798E-03
1.550E+00	7.025095E-03
2.000E+00	5.971553E-03
2.580E+00	4.530859E-03
3.340E+00	2.968300E-03
4.310E+00	1.644866E-03
5.570E+00	7.364479E-04
7.190E+00	2.576757E-04
9.280E+00	6.719475E-05
1.200E+01	1.222288E-05
1.550E+01	1.463216E-06
2.000E+01	1.018623E-07
2.580E+01	3.375441E-09
3.340E+01	3.821237E-11
4.310E+01	1.194240E-13
5.570E+01	6.217855E-17
7.190E+01	0.000000E+00
9.280E+01	0.000000E+00
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

