 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5484.87 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0130

 DETECTORS		DIRECTIONS
 D1         152		R          138
 D2         191		RL         157
 D3         159		FL         109
 D4         163		F          147
 D5         110		FR         100
 D6          74		RR         186

------------------ INTERNAL DATA REF ------------------------
4-1
0.75;85-1;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.034	uSv h^-1	(12.2%)
 H*(10)_i	:	0.053	uSv     	(12.2%)
 h*(10)		:	25.4	pSv cm^2	(7.9%)
 phi		:	0.377	cm^-2 s^-1 	(9.3%)
 thermal   	:	0.5334
 epithermal	:	0.4162
 fast      	:	0.0504
-------------------------------------------------------------
 Average experimental data uncertainty	:	8.71%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	4.886476E-04
2.580E-09	7.947289E-04
3.340E-09	1.292488E-03
4.310E-09	2.071273E-03
5.570E-09	3.291276E-03
7.190E-09	5.144025E-03
9.280E-09	7.889777E-03
1.200E-08	1.184787E-02
1.550E-08	1.721317E-02
2.000E-08	2.398897E-02
2.580E-08	4.233387E-02
3.340E-08	5.522738E-02
4.310E-08	6.762693E-02
5.570E-08	7.722460E-02
7.190E-08	8.127765E-02
9.280E-08	7.834433E-02
1.200E-07	6.942834E-02
1.550E-07	5.878163E-02
2.000E-07	5.076567E-02
2.580E-07	4.596030E-02
3.340E-07	4.264113E-02
4.310E-07	3.984003E-02
5.570E-07	3.723990E-02
7.190E-07	3.483000E-02
9.280E-07	3.258568E-02
1.200E-06	3.047923E-02
1.550E-06	2.852490E-02
2.000E-06	2.671032E-02
2.580E-06	2.501961E-02
3.340E-06	2.342122E-02
4.310E-06	2.194916E-02
5.570E-06	2.056768E-02
7.190E-06	1.928438E-02
9.280E-06	1.808696E-02
1.200E-05	1.696093E-02
1.550E-05	1.591419E-02
2.000E-05	1.494040E-02
2.580E-05	1.403129E-02
3.340E-05	1.317011E-02
4.310E-05	1.237538E-02
5.570E-05	1.162803E-02
7.190E-05	1.093234E-02
9.280E-05	1.028184E-02
1.200E-04	9.668790E-03
1.550E-04	9.097636E-03
2.000E-04	8.565067E-03
2.580E-04	8.066698E-03
3.340E-04	7.593420E-03
4.310E-04	7.155509E-03
5.570E-04	6.742549E-03
7.190E-04	6.356969E-03
9.280E-04	5.995241E-03
1.200E-03	5.661214E-03
1.550E-03	5.346457E-03
2.000E-03	5.055337E-03
2.580E-03	4.787538E-03
3.340E-03	4.541721E-03
4.310E-03	4.328691E-03
5.570E-03	4.151852E-03
7.190E-03	4.025529E-03
9.280E-03	3.968103E-03
1.200E-02	4.008700E-03
1.550E-02	4.187471E-03
2.000E-02	4.553845E-03
2.580E-02	5.164409E-03
3.340E-02	6.081911E-03
4.310E-02	7.290937E-03
5.570E-02	8.729584E-03
7.190E-02	1.016185E-02
9.280E-02	1.121578E-02
1.200E-01	1.143874E-02
1.550E-01	1.051433E-02
2.000E-01	8.557382E-03
2.580E-01	6.129606E-03
3.340E-01	3.896071E-03
4.310E-01	2.298636E-03
5.570E-01	1.275125E-03
7.190E-01	6.656897E-04
9.280E-01	3.271799E-04
1.200E+00	1.558413E-04
1.550E+00	7.778783E-05
2.000E+00	4.837120E-05
2.580E+00	4.759485E-05
3.340E+00	6.758008E-05
4.310E+00	1.062763E-04
5.570E+00	1.688801E-04
7.190E+00	2.647731E-04
9.280E+00	4.083478E-04
1.200E+01	6.189699E-04
1.550E+01	9.132162E-04
2.000E+01	1.304625E-03
2.580E+01	1.795232E-03
3.340E+01	2.369862E-03
4.310E+01	2.950266E-03
5.570E+01	3.436661E-03
7.190E+01	3.679592E-03
9.280E+01	3.547343E-03
1.200E+02	2.985979E-03
1.550E+02	2.112359E-03
2.000E+02	1.194549E-03
2.580E+02	5.048326E-04
3.340E+02	1.433619E-04
4.310E+02	2.530630E-05
5.570E+02	2.346986E-06
7.190E+02	9.784190E-08
9.280E+02	1.448386E-09
1.200E+03	5.417144E-12
1.550E+03	3.711446E-15
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

