 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5484.96 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0142

 DETECTORS		DIRECTIONS
 D1           8		R            5
 D2           3		RL           2
 D3           6		FL           6
 D4           5		F            8
 D5           7		FR           5
 D6           3		RR           5

------------------ INTERNAL DATA REF ------------------------
4-0
0.75;0-0;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.011	uSv h^-1	(52.8%)
 H*(10)_i	:	0.016	uSv     	(52.8%)
 h*(10)		:	167.5	pSv cm^2	(13.5%)
 phi		:	0.018	cm^-2 s^-1 	(51.0%)
 thermal   	:	0.3816
 epithermal	:	0.1433
 fast      	:	0.4751
-------------------------------------------------------------
 Average experimental data uncertainty	:	45.69%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.654642E-05
2.580E-09	5.943854E-05
3.340E-09	9.666642E-05
4.310E-09	1.549125E-04
5.570E-09	2.461577E-04
7.190E-09	3.847266E-04
9.280E-09	5.900840E-04
1.200E-08	8.861137E-04
1.550E-08	1.287390E-03
2.000E-08	1.794158E-03
2.580E-08	2.399613E-03
3.340E-08	2.987263E-03
4.310E-08	3.407131E-03
5.570E-08	3.488120E-03
7.190E-08	3.112001E-03
9.280E-08	2.340459E-03
1.200E-07	1.431458E-03
1.550E-07	7.191110E-04
2.000E-07	3.472201E-04
2.580E-07	2.254743E-04
3.340E-07	2.025487E-04
4.310E-07	2.001628E-04
5.570E-07	1.996809E-04
7.190E-07	1.992865E-04
9.280E-07	1.989070E-04
1.200E-06	1.985388E-04
1.550E-06	1.981861E-04
2.000E-06	1.978486E-04
2.580E-06	1.975252E-04
3.340E-06	1.972112E-04
4.310E-06	1.969149E-04
5.570E-06	1.966305E-04
7.190E-06	1.963611E-04
9.280E-06	1.961053E-04
1.200E-05	1.958613E-04
1.550E-05	1.956317E-04
2.000E-05	1.954164E-04
2.580E-05	1.952143E-04
3.340E-05	1.950227E-04
4.310E-05	1.948463E-04
5.570E-05	1.946814E-04
7.190E-05	1.945296E-04
9.280E-05	1.943897E-04
1.200E-04	1.942602E-04
1.550E-04	1.941419E-04
2.000E-04	1.940338E-04
2.580E-04	1.939344E-04
3.340E-04	1.938409E-04
4.310E-04	1.937537E-04
5.570E-04	1.936689E-04
7.190E-04	1.935841E-04
9.280E-04	1.934948E-04
1.200E-03	1.934689E-04
1.550E-03	1.934019E-04
2.000E-03	1.933421E-04
2.580E-03	1.932988E-04
3.340E-03	1.932922E-04
4.310E-03	1.933610E-04
5.570E-03	1.935751E-04
7.190E-03	1.940526E-04
9.280E-03	1.949957E-04
1.200E-02	1.967542E-04
1.550E-02	1.998532E-04
2.000E-02	2.051163E-04
2.580E-02	2.138044E-04
3.340E-02	2.279805E-04
4.310E-02	2.497936E-04
5.570E-02	2.826907E-04
7.190E-02	3.296112E-04
9.280E-02	3.929300E-04
1.200E-01	4.726123E-04
1.550E-01	5.609713E-04
2.000E-01	6.426344E-04
2.580E-01	6.944368E-04
3.340E-01	6.908886E-04
4.310E-01	6.185213E-04
5.570E-01	4.882380E-04
7.190E-01	3.364463E-04
9.280E-01	2.017518E-04
1.200E+00	1.053870E-04
1.550E+00	5.022917E-05
2.000E+00	2.710590E-05
2.580E+00	2.509208E-05
3.340E+00	3.645526E-05
4.310E+00	5.862042E-05
5.570E+00	9.509637E-05
7.190E+00	1.528033E-04
9.280E+00	2.429097E-04
1.200E+01	3.821884E-04
1.550E+01	5.896519E-04
2.000E+01	8.878751E-04
2.580E+01	1.298282E-03
3.340E+01	1.837277E-03
4.310E+01	2.466774E-03
5.570E+01	3.117543E-03
7.190E+01	3.635236E-03
9.280E+01	3.830059E-03
1.200E+02	3.541939E-03
1.550E+02	2.775241E-03
2.000E+02	1.766226E-03
2.580E+02	8.646090E-04
3.340E+02	2.990776E-04
4.310E+02	6.907959E-05
5.570E+02	9.391850E-06
7.190E+02	6.744041E-07
9.280E+02	2.154330E-08
1.200E+03	2.353814E-10
1.550E+03	6.769141E-13
2.000E+03	3.460709E-16
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

