 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5483.84 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0145

 DETECTORS		DIRECTIONS
 D1        4634		R         2265
 D2        5080		RL        2936
 D3        5261		FL        2395
 D4        4217		F         6141
 D5        3274		FR        4552
 D6        2161		RR        6010

------------------ INTERNAL DATA REF ------------------------
4-1
0.75;835-2;1-0.05
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.618	uSv h^-1	(4.8%)
 H*(10)_i	:	0.942	uSv     	(4.8%)
 h*(10)		:	16.9	pSv cm^2	(3.0%)
 phi		:	10.162	cm^-2 s^-1 	(3.8%)
 thermal   	:	0.4395
 epithermal	:	0.5405
 fast      	:	0.0200
-------------------------------------------------------------
 Average experimental data uncertainty	:	1.61%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	9.711232E-03
2.580E-09	1.579420E-02
3.340E-09	2.568651E-02
4.310E-09	4.116384E-02
5.570E-09	6.540981E-02
7.190E-09	1.022308E-01
9.280E-09	1.567990E-01
1.200E-08	2.354610E-01
1.550E-08	3.420894E-01
2.000E-08	4.767494E-01
2.580E-08	8.438598E-01
3.340E-08	1.110287E+00
4.310E-08	1.375415E+00
5.570E-08	1.596920E+00
7.190E-08	1.720587E+00
9.280E-08	1.711828E+00
1.200E-07	1.578319E+00
1.550E-07	1.395252E+00
2.000E-07	1.253448E+00
2.580E-07	1.171197E+00
3.340E-07	1.116255E+00
4.310E-07	1.069399E+00
5.570E-07	1.024719E+00
7.190E-07	9.821158E-01
9.280E-07	9.413073E-01
1.200E-06	9.019162E-01
1.550E-06	8.643363E-01
2.000E-06	8.284682E-01
2.580E-06	7.941242E-01
3.340E-06	7.607584E-01
4.310E-06	7.291863E-01
5.570E-06	6.987534E-01
7.190E-06	6.697217E-01
9.280E-06	6.419111E-01
1.200E-05	6.150651E-01
1.550E-05	5.894517E-01
2.000E-05	5.650036E-01
2.580E-05	5.415923E-01
3.340E-05	5.188458E-01
4.310E-05	4.973198E-01
5.570E-05	4.765677E-01
7.190E-05	4.567678E-01
9.280E-05	4.377970E-01
1.200E-04	4.194797E-01
1.550E-04	4.019980E-01
2.000E-04	3.853050E-01
2.580E-04	3.693121E-01
3.340E-04	3.537636E-01
4.310E-04	3.390374E-01
5.570E-04	3.248261E-01
7.190E-04	3.112491E-01
9.280E-04	2.982187E-01
1.200E-03	2.856368E-01
1.550E-03	2.735874E-01
2.000E-03	2.620529E-01
2.580E-03	2.509717E-01
3.340E-03	2.401680E-01
4.310E-03	2.299112E-01
5.570E-03	2.200018E-01
7.190E-03	2.105499E-01
9.280E-03	2.015391E-01
1.200E-02	1.929536E-01
1.550E-02	1.849748E-01
2.000E-02	1.776982E-01
2.580E-02	1.712043E-01
3.340E-02	1.654696E-01
4.310E-02	1.605425E-01
5.570E-02	1.558985E-01
7.190E-02	1.506864E-01
9.280E-02	1.435118E-01
1.200E-01	1.327857E-01
1.550E-01	1.178204E-01
2.000E-01	9.947064E-02
2.580E-01	8.009892E-02
3.340E-01	6.205526E-02
4.310E-01	4.699411E-02
5.570E-01	3.430090E-02
7.190E-01	2.361391E-02
9.280E-01	1.488295E-02
1.200E+00	8.294692E-03
1.550E+00	3.983575E-03
2.000E+00	1.615739E-03
2.580E+00	5.964566E-04
3.340E+00	3.200580E-04
4.310E+00	3.773339E-04
5.570E+00	5.918095E-04
7.190E+00	9.487908E-04
9.280E+00	1.507052E-03
1.200E+01	2.368744E-03
1.550E+01	3.649721E-03
2.000E+01	5.486088E-03
2.580E+01	8.003671E-03
3.340E+01	1.129176E-02
4.310E+01	1.509922E-02
5.570E+01	1.897769E-02
7.190E+01	2.196341E-02
9.280E+01	2.290001E-02
1.200E+02	2.086316E-02
1.550E+02	1.599729E-02
2.000E+02	9.860227E-03
2.580E+02	4.597780E-03
3.340E+02	1.473147E-03
4.310E+02	3.021348E-04
5.570E+02	3.407208E-05
7.190E+02	1.841157E-06
9.280E+02	3.892838E-08
1.200E+03	2.424765E-10
1.550E+03	3.461484E-13
2.000E+03	6.172903E-17
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

