 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5465.96 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0146

 DETECTORS		DIRECTIONS
 D1        3558		R         2199
 D2        3270		RL        3096
 D3        3080		FL        1974
 D4        2238		F         2618
 D5        1660		FR        1886
 D6        1051		RR        2905

------------------ INTERNAL DATA REF ------------------------
4-1
0.75;9135-0;1-0.52
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.463	uSv h^-1	(25.6%)
 H*(10)_i	:	0.704	uSv     	(25.6%)
 h*(10)		:	16.9	pSv cm^2	(24.5%)
 phi		:	7.634	cm^-2 s^-1 	(7.4%)
 thermal   	:	0.7472
 epithermal	:	0.2345
 fast      	:	0.0183
-------------------------------------------------------------
 Average experimental data uncertainty	:	2.15%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.801912E-02
2.580E-09	4.556987E-02
3.340E-09	7.411146E-02
4.310E-09	1.187671E-01
5.570E-09	1.887222E-01
7.190E-09	2.949592E-01
9.280E-09	4.524010E-01
1.200E-08	6.793587E-01
1.550E-08	9.870060E-01
2.000E-08	1.375531E+00
2.580E-08	1.884108E+00
3.340E-08	2.357476E+00
4.310E-08	2.710597E+00
5.570E-08	2.812463E+00
7.190E-08	2.567283E+00
9.280E-08	2.011821E+00
1.200E-07	1.332064E+00
1.550E-07	7.825028E-01
2.000E-07	4.844390E-01
2.580E-07	3.769986E-01
3.340E-07	3.456283E-01
4.310E-07	3.307232E-01
5.570E-07	3.177265E-01
7.190E-07	3.053554E-01
9.280E-07	2.934812E-01
1.200E-06	2.819949E-01
1.550E-06	2.710129E-01
2.000E-06	2.605084E-01
2.580E-06	2.504279E-01
3.340E-06	2.406126E-01
4.310E-06	2.313037E-01
5.570E-06	2.223101E-01
7.190E-06	2.137105E-01
9.280E-06	2.054533E-01
1.200E-05	1.974634E-01
1.550E-05	1.898219E-01
2.000E-05	1.825102E-01
2.580E-05	1.754914E-01
3.340E-05	1.686548E-01
4.310E-05	1.621686E-01
5.570E-05	1.558996E-01
7.190E-05	1.499028E-01
9.280E-05	1.441420E-01
1.200E-04	1.385648E-01
1.550E-04	1.332278E-01
2.000E-04	1.281177E-01
2.580E-04	1.232084E-01
3.340E-04	1.184221E-01
4.310E-04	1.138760E-01
5.570E-04	1.094761E-01
7.190E-04	1.052600E-01
9.280E-04	1.012015E-01
1.200E-03	9.727114E-02
1.550E-03	9.349475E-02
2.000E-03	8.986797E-02
2.580E-03	8.637211E-02
3.340E-03	8.295208E-02
4.310E-03	7.969379E-02
5.570E-03	7.653492E-02
7.190E-03	7.351175E-02
9.280E-03	7.062113E-02
1.200E-02	6.786123E-02
1.550E-02	6.529614E-02
2.000E-02	6.296629E-02
2.580E-02	6.091377E-02
3.340E-02	5.915816E-02
4.310E-02	5.775038E-02
5.570E-02	5.657204E-02
7.190E-02	5.539219E-02
9.280E-02	5.377706E-02
1.200E-01	5.115549E-02
1.550E-01	4.709824E-02
2.000E-01	4.156434E-02
2.580E-01	3.500426E-02
3.340E-01	2.804293E-02
4.310E-01	2.145534E-02
5.570E-01	1.545696E-02
7.190E-01	1.036307E-02
9.280E-01	6.352761E-03
1.200E+00	3.473888E-03
1.550E+00	1.681725E-03
2.000E+00	7.631368E-04
2.580E+00	4.391266E-04
3.340E+00	4.641371E-04
4.310E+00	6.962888E-04
5.570E+00	1.113818E-03
7.190E+00	1.772715E-03
9.280E+00	2.788268E-03
1.200E+01	4.334824E-03
1.550E+01	6.602437E-03
2.000E+01	9.810168E-03
2.580E+01	1.415392E-02
3.340E+01	1.976159E-02
4.310E+01	2.617401E-02
5.570E+01	3.258539E-02
7.190E+01	3.731511E-02
9.280E+01	3.840163E-02
1.200E+02	3.439536E-02
1.550E+02	2.579964E-02
2.000E+02	1.546779E-02
2.580E+02	6.977915E-03
3.340E+02	2.157810E-03
4.310E+02	4.314703E-04
5.570E+02	4.942314E-05
7.190E+02	3.043060E-06
9.280E+02	9.392277E-08
1.200E+03	1.241269E-09
1.550E+03	5.324358E-12
2.000E+03	4.635126E-15
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

