 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5385.32 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0147

 DETECTORS		DIRECTIONS
 D1          15		R           22
 D2          12		RL          22
 D3          23		FL          11
 D4          20		F           13
 D5          17		FR           8
 D6          16		RR          24

------------------ INTERNAL DATA REF ------------------------
4-0
0.75;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.031	uSv h^-1	(25.9%)
 H*(10)_i	:	0.047	uSv     	(25.9%)
 h*(10)		:	170.9	pSv cm^2	(5.9%)
 phi		:	0.051	cm^-2 s^-1 	(25.2%)
 thermal   	:	0.3558
 epithermal	:	0.1794
 fast      	:	0.4648
-------------------------------------------------------------
 Average experimental data uncertainty	:	24.53%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	9.337002E-05
2.580E-09	1.518556E-04
3.340E-09	2.469666E-04
4.310E-09	3.957756E-04
5.570E-09	6.288919E-04
7.190E-09	9.829123E-04
9.280E-09	1.507566E-03
1.200E-08	2.263873E-03
1.550E-08	3.289067E-03
2.000E-08	4.583774E-03
2.580E-08	6.187596E-03
3.340E-08	7.721412E-03
4.310E-08	8.840515E-03
5.570E-08	9.109659E-03
7.190E-08	8.220886E-03
9.280E-08	6.316639E-03
1.200E-07	4.036320E-03
1.550E-07	2.227218E-03
2.000E-07	1.271924E-03
2.580E-07	9.529474E-04
3.340E-07	8.863880E-04
4.310E-07	8.725851E-04
5.570E-07	8.637795E-04
7.190E-07	8.554059E-04
9.280E-07	8.472437E-04
1.200E-06	8.392253E-04
1.550E-06	8.314412E-04
2.000E-06	8.238830E-04
2.580E-06	8.165225E-04
3.340E-06	8.092504E-04
4.310E-06	8.022540E-04
5.570E-06	7.953990E-04
7.190E-06	7.887535E-04
9.280E-06	7.822861E-04
1.200E-05	7.759447E-04
1.550E-05	7.698007E-04
2.000E-05	7.638472E-04
2.580E-05	7.580614E-04
3.340E-05	7.523572E-04
4.310E-05	7.468808E-04
5.570E-05	7.415263E-04
7.190E-05	7.363458E-04
9.280E-05	7.313134E-04
1.200E-04	7.263869E-04
1.550E-04	7.216197E-04
2.000E-04	7.170035E-04
2.580E-04	7.125169E-04
3.340E-04	7.080884E-04
4.310E-04	7.038257E-04
5.570E-04	6.996384E-04
7.190E-04	6.955573E-04
9.280E-04	6.915497E-04
1.200E-03	6.876587E-04
1.550E-03	6.837811E-04
2.000E-03	6.799566E-04
2.580E-03	6.761611E-04
3.340E-03	6.723341E-04
4.310E-03	6.685878E-04
5.570E-03	6.648975E-04
7.190E-03	6.614062E-04
9.280E-03	6.583093E-04
1.200E-02	6.559874E-04
1.550E-02	6.551878E-04
2.000E-02	6.571250E-04
2.580E-02	6.638567E-04
3.340E-02	6.790882E-04
4.310E-02	7.080531E-04
5.570E-02	7.600635E-04
7.190E-02	8.482139E-04
9.280E-02	9.926081E-04
1.200E-01	1.223500E-03
1.550E-01	1.575515E-03
2.000E-01	2.089646E-03
2.580E-01	2.804315E-03
3.340E-01	3.747529E-03
4.310E-01	4.848562E-03
5.570E-01	5.977660E-03
7.190E-01	6.853257E-03
9.280E-01	7.134838E-03
1.200E+00	6.545465E-03
1.550E+00	5.113649E-03
2.000E+00	3.276562E-03
2.580E+00	1.654117E-03
3.340E+00	6.409771E-04
4.310E+00	2.400537E-04
5.570E+00	1.757012E-04
7.190E+00	2.474458E-04
9.280E+00	3.890677E-04
1.200E+01	6.093986E-04
1.550E+01	9.349653E-04
2.000E+01	1.397683E-03
2.580E+01	2.024555E-03
3.340E+01	2.829392E-03
4.310E+01	3.737495E-03
5.570E+01	4.622594E-03
7.190E+01	5.238793E-03
9.280E+01	5.314174E-03
1.200E+02	4.669150E-03
1.550E+02	3.415500E-03
2.000E+02	1.981443E-03
2.580E+02	8.554779E-04
3.340E+02	2.487371E-04
4.310E+02	4.545885E-05
5.570E+02	4.484539E-06
7.190E+02	2.088779E-07
9.280E+02	3.733979E-09
1.200E+03	1.880769E-11
1.550E+03	1.977354E-14
2.000E+03	2.764913E-18
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

