 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5485.66 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0152

 DETECTORS		DIRECTIONS
 D1        1022		R          518
 D2         996		RL        1056
 D3         958		FL         742
 D4         788		F         1000
 D5         596		FR         523
 D6         379		RR         818

------------------ INTERNAL DATA REF ------------------------
4-1
0.75;813-2;1-0.49
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.224	uSv h^-1	(11.9%)
 H*(10)_i	:	0.341	uSv     	(11.9%)
 h*(10)		:	26.6	pSv cm^2	(9.7%)
 phi		:	2.339	cm^-2 s^-1 	(6.8%)
 thermal   	:	0.6438
 epithermal	:	0.3059
 fast      	:	0.0503
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.72%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	7.187105E-03
2.580E-09	1.168900E-02
3.340E-09	1.901012E-02
4.310E-09	3.046461E-02
5.570E-09	4.840860E-02
7.190E-09	7.565913E-02
9.280E-09	1.160441E-01
1.200E-08	1.742604E-01
1.550E-08	2.531741E-01
2.000E-08	3.528335E-01
2.580E-08	4.851844E-01
3.340E-08	6.079255E-01
4.310E-08	7.005214E-01
5.570E-08	7.295501E-01
7.190E-08	6.702892E-01
9.280E-08	5.315362E-01
1.200E-07	3.600077E-01
1.550E-07	2.204698E-01
2.000E-07	1.446229E-01
2.580E-07	1.174773E-01
3.340E-07	1.097995E-01
4.310E-07	1.062999E-01
5.570E-07	1.032530E-01
7.190E-07	1.003292E-01
9.280E-07	9.749846E-02
1.200E-06	9.473636E-02
1.550E-06	9.207229E-02
2.000E-06	8.950150E-02
2.580E-06	8.701259E-02
3.340E-06	8.456734E-02
4.310E-06	8.222721E-02
5.570E-06	7.994575E-02
7.190E-06	7.774424E-02
9.280E-06	7.561089E-02
1.200E-05	7.352739E-02
1.550E-05	7.151604E-02
2.000E-05	6.957338E-02
2.580E-05	6.769090E-02
3.340E-05	6.583972E-02
4.310E-05	6.406645E-02
5.570E-05	6.233594E-02
7.190E-05	6.066436E-02
9.280E-05	5.904280E-02
1.200E-04	5.745728E-02
1.550E-04	5.592474E-02
2.000E-04	5.444247E-02
2.580E-04	5.300388E-02
3.340E-04	5.158666E-02
4.310E-04	5.022623E-02
5.570E-04	4.889530E-02
7.190E-04	4.760587E-02
9.280E-04	4.635048E-02
1.200E-03	4.512240E-02
1.550E-03	4.392724E-02
2.000E-03	4.276549E-02
2.580E-03	4.163178E-02
3.340E-03	4.050863E-02
4.310E-03	3.942512E-02
5.570E-03	3.836208E-02
7.190E-03	3.733401E-02
9.280E-03	3.634371E-02
1.200E-02	3.539681E-02
1.550E-02	3.452542E-02
2.000E-02	3.375895E-02
2.580E-02	3.313468E-02
3.340E-02	3.269376E-02
4.310E-02	3.248879E-02
5.570E-02	3.252232E-02
7.190E-02	3.273124E-02
9.280E-02	3.293687E-02
1.200E-01	3.282443E-02
1.550E-01	3.198750E-02
2.000E-01	3.007907E-02
2.580E-01	2.696686E-02
3.340E-01	2.276835E-02
4.310E-01	1.803564E-02
5.570E-01	1.323084E-02
7.190E-01	8.906423E-03
9.280E-01	5.438017E-03
1.200E+00	3.026979E-03
1.550E+00	1.665488E-03
2.000E+00	1.076962E-03
2.580E+00	9.316982E-04
3.340E+00	9.881709E-04
4.310E+00	1.126583E-03
5.570E+00	1.354688E-03
7.190E+00	1.778458E-03
9.280E+00	2.564132E-03
1.200E+01	3.903667E-03
1.550E+01	5.968119E-03
2.000E+01	8.944760E-03
2.580E+01	1.301082E-02
3.340E+01	1.828357E-02
4.310E+01	2.432129E-02
5.570E+01	3.035345E-02
7.190E+01	3.479626E-02
9.280E+01	3.581408E-02
1.200E+02	3.205307E-02
1.550E+02	2.398824E-02
2.000E+02	1.430547E-02
2.580E+02	6.378103E-03
3.340E+02	1.921556E-03
4.310E+02	3.630855E-04
5.570E+02	3.662582E-05
7.190E+02	1.697924E-06
9.280E+02	2.880000E-08
1.200E+03	1.282462E-10
1.550E+03	1.092763E-13
2.000E+03	7.147306E-18
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

