 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 7186.81 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0067

 DETECTORS		DIRECTIONS
 D1          12		R           10
 D2          10		RL          16
 D3           7		FL           8
 D4          12		F           10
 D5           7		FR           4
 D6          13		RR          14

------------------ INTERNAL DATA REF ------------------------
1-0
0.80;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.010	uSv h^-1	(35.2%)
 H*(10)_i	:	0.020	uSv     	(35.2%)
 h*(10)		:	136.1	pSv cm^2	(9.9%)
 phi		:	0.021	cm^-2 s^-1 	(33.8%)
 thermal   	:	0.5042
 epithermal	:	0.1672
 fast      	:	0.3286
-------------------------------------------------------------
 Average experimental data uncertainty	:	32.11%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	5.370506E-05
2.580E-09	8.734508E-05
3.340E-09	1.420515E-04
4.310E-09	2.276443E-04
5.570E-09	3.617293E-04
7.190E-09	5.653567E-04
9.280E-09	8.671300E-04
1.200E-08	1.302146E-03
1.550E-08	1.891823E-03
2.000E-08	2.636519E-03
2.580E-08	3.571914E-03
3.340E-08	4.457819E-03
4.310E-08	5.104830E-03
5.570E-08	5.261321E-03
7.190E-08	4.748276E-03
9.280E-08	3.646235E-03
1.200E-07	2.323551E-03
1.550E-07	1.270491E-03
2.000E-07	7.092453E-04
2.580E-07	5.149524E-04
3.340E-07	4.665199E-04
4.310E-07	4.493016E-04
5.570E-07	4.355897E-04
7.190E-07	4.227952E-04
9.280E-07	4.107052E-04
1.200E-06	3.991827E-04
1.550E-06	3.883204E-04
2.000E-06	3.780672E-04
2.580E-06	3.683499E-04
3.340E-06	3.589990E-04
4.310E-06	3.502280E-04
5.570E-06	3.418405E-04
7.190E-06	3.338966E-04
9.280E-06	3.263358E-04
1.200E-05	3.190789E-04
1.550E-05	3.121898E-04
2.000E-05	3.056421E-04
2.580E-05	2.993943E-04
3.340E-05	2.933413E-04
4.310E-05	2.876254E-04
5.570E-05	2.821229E-04
7.190E-05	2.768767E-04
9.280E-05	2.718502E-04
1.200E-04	2.669930E-04
1.550E-04	2.623499E-04
2.000E-04	2.579054E-04
2.580E-04	2.536327E-04
3.340E-04	2.494596E-04
4.310E-04	2.454839E-04
5.570E-04	2.416187E-04
7.190E-04	2.378917E-04
9.280E-04	2.342732E-04
1.200E-03	2.316447E-04
1.550E-03	2.285005E-04
2.000E-03	2.255330E-04
2.580E-03	2.227464E-04
3.340E-03	2.201259E-04
4.310E-03	2.177757E-04
5.570E-03	2.157011E-04
7.190E-03	2.139978E-04
9.280E-03	2.127601E-04
1.200E-02	2.121316E-04
1.550E-02	2.123305E-04
2.000E-02	2.136343E-04
2.580E-02	2.164367E-04
3.340E-02	2.213739E-04
4.310E-02	2.290926E-04
5.570E-02	2.407737E-04
7.190E-02	2.577534E-04
9.280E-02	2.820181E-04
1.200E-01	3.164854E-04
1.550E-01	3.642791E-04
2.000E-01	4.296591E-04
2.580E-01	5.180954E-04
3.340E-01	6.377744E-04
4.310E-01	7.923258E-04
5.570E-01	9.901989E-04
7.190E-01	1.232637E-03
9.280E-01	1.517879E-03
1.200E+00	1.836665E-03
1.550E+00	2.159885E-03
2.000E+00	2.445722E-03
2.580E+00	2.638369E-03
3.340E+00	2.674059E-03
4.310E+00	2.501514E-03
5.570E+00	2.112579E-03
7.190E+00	1.569876E-03
9.280E+00	9.914383E-04
1.200E+01	5.060025E-04
1.550E+01	1.981638E-04
2.000E+01	5.534585E-05
2.580E+01	9.971279E-06
3.340E+01	9.824853E-07
4.310E+01	4.758574E-08
5.570E+01	8.710148E-10
7.190E+01	4.761296E-12
9.280E+01	5.383875E-15
1.200E+02	7.361923E-19
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

