 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 3584.05 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0069

 DETECTORS		DIRECTIONS
 D1           5		R           14
 D2           8		RL           3
 D3          11		FL           8
 D4           9		F            8
 D5           7		FR           8
 D6           8		RR           5

------------------ INTERNAL DATA REF ------------------------
4-0
0.80;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.022	uSv h^-1	(39.2%)
 H*(10)_i	:	0.022	uSv     	(39.2%)
 h*(10)		:	185.4	pSv cm^2	(9.4%)
 phi		:	0.032	cm^-2 s^-1 	(38.0%)
 thermal   	:	0.2621
 epithermal	:	0.2330
 fast      	:	0.5049
-------------------------------------------------------------
 Average experimental data uncertainty	:	36.12%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.893562E-05
2.580E-09	6.332429E-05
3.340E-09	1.029859E-04
4.310E-09	1.650398E-04
5.570E-09	2.622501E-04
7.190E-09	4.098778E-04
9.280E-09	6.286604E-04
1.200E-08	9.440428E-04
1.550E-08	1.371552E-03
2.000E-08	1.911450E-03
2.580E-08	2.638079E-03
3.340E-08	3.311323E-03
4.310E-08	3.826487E-03
5.570E-08	4.004370E-03
7.190E-08	3.710748E-03
9.280E-08	2.989306E-03
1.200E-07	2.085731E-03
1.550E-07	1.345972E-03
2.000E-07	9.452008E-04
2.580E-07	8.067207E-04
3.340E-07	7.733867E-04
4.310E-07	7.622211E-04
5.570E-07	7.532068E-04
7.190E-07	7.444941E-04
9.280E-07	7.359680E-04
1.200E-06	7.275600E-04
1.550E-06	7.193658E-04
2.000E-06	7.113783E-04
2.580E-06	7.035689E-04
3.340E-06	6.958222E-04
4.310E-06	6.883386E-04
5.570E-06	6.809759E-04
7.190E-06	6.738082E-04
9.280E-06	6.668028E-04
1.200E-05	6.599040E-04
1.550E-05	6.531904E-04
2.000E-05	6.466559E-04
2.580E-05	6.402766E-04
3.340E-05	6.339581E-04
4.310E-05	6.278635E-04
5.570E-05	6.218762E-04
7.190E-05	6.160557E-04
9.280E-05	6.103743E-04
1.200E-04	6.047857E-04
1.550E-04	5.993518E-04
2.000E-04	5.940652E-04
2.580E-04	5.889040E-04
3.340E-04	5.837878E-04
4.310E-04	5.788441E-04
5.570E-04	5.739722E-04
7.190E-04	5.692126E-04
9.280E-04	5.645329E-04
1.200E-03	5.599437E-04
1.550E-03	5.553969E-04
2.000E-03	5.509140E-04
2.580E-03	5.464681E-04
3.340E-03	5.419844E-04
4.310E-03	5.375805E-04
5.570E-03	5.331950E-04
7.190E-03	5.289307E-04
9.280E-03	5.248946E-04
1.200E-02	5.213044E-04
1.550E-02	5.186567E-04
2.000E-02	5.177296E-04
2.580E-02	5.198494E-04
3.340E-02	5.273983E-04
4.310E-02	5.438744E-04
5.570E-02	5.753703E-04
7.190E-02	6.305873E-04
9.280E-02	7.228895E-04
1.200E-01	8.724865E-04
1.550E-01	1.102850E-03
2.000E-01	1.442212E-03
2.580E-01	1.918208E-03
3.340E-01	2.553755E-03
4.310E-01	3.308853E-03
5.570E-01	4.108016E-03
7.190E-01	4.774062E-03
9.280E-01	5.081195E-03
1.200E+00	4.820626E-03
1.550E+00	3.949401E-03
2.000E+00	2.693531E-03
2.580E+00	1.461963E-03
3.340E+00	6.000010E-04
4.310E+00	2.107122E-04
5.570E+00	1.216212E-04
7.190E+00	1.583465E-04
9.280E+00	2.476835E-04
1.200E+01	3.877992E-04
1.550E+01	5.947892E-04
2.000E+01	8.888477E-04
2.580E+01	1.287073E-03
3.340E+01	1.798271E-03
4.310E+01	2.375361E-03
5.570E+01	2.939226E-03
7.190E+01	3.335685E-03
9.280E+01	3.394247E-03
1.200E+02	3.000789E-03
1.550E+02	2.220045E-03
2.000E+02	1.313262E-03
2.580E+02	5.853948E-04
3.340E+02	1.789651E-04
4.310E+02	3.511257E-05
5.570E+02	3.797166E-06
7.190E+02	1.958734E-07
9.280E+02	3.846185E-09
1.200E+03	2.067277E-11
1.550E+03	2.219070E-14
2.000E+03	3.024614E-18
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

