 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 8909.48 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0068

 DETECTORS		DIRECTIONS
 D1         653		R          339
 D2         622		RL         492
 D3         589		FL         404
 D4         479		F          636
 D5         390		FR         496
 D6         290		RR         600

------------------ INTERNAL DATA REF ------------------------
1-1
0.80;835-2;1-0.50
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.075	uSv h^-1	(8.4%)
 H*(10)_i	:	0.187	uSv     	(8.4%)
 h*(10)		:	24.7	pSv cm^2	(6.7%)
 phi		:	0.848	cm^-2 s^-1 	(5.0%)
 thermal   	:	0.6007
 epithermal	:	0.3582
 fast      	:	0.0412
-------------------------------------------------------------
 Average experimental data uncertainty	:	4.59%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.319431E-03
2.580E-09	3.772287E-03
3.340E-09	6.134967E-03
4.310E-09	9.831573E-03
5.570E-09	1.562248E-02
7.190E-09	2.441680E-02
9.280E-09	3.744988E-02
1.200E-08	5.623750E-02
1.550E-08	8.170463E-02
2.000E-08	1.138668E-01
2.580E-08	1.580630E-01
3.340E-08	1.985257E-01
4.310E-08	2.296313E-01
5.570E-08	2.406486E-01
7.190E-08	2.234505E-01
9.280E-08	1.804805E-01
1.200E-07	1.262923E-01
1.550E-07	8.160875E-02
2.000E-07	5.705629E-02
2.580E-07	4.814902E-02
3.340E-07	4.552604E-02
4.310E-07	4.425988E-02
5.570E-07	4.314541E-02
7.190E-07	4.207721E-02
9.280E-07	4.104479E-02
1.200E-06	4.003905E-02
1.550E-06	3.907054E-02
2.000E-06	3.813735E-02
2.580E-06	3.723518E-02
3.340E-06	3.635003E-02
4.310E-06	3.550400E-02
5.570E-06	3.468010E-02
7.190E-06	3.388586E-02
9.280E-06	3.311683E-02
1.200E-05	3.236620E-02
1.550E-05	3.164180E-02
2.000E-05	3.094212E-02
2.580E-05	3.026380E-02
3.340E-05	2.959607E-02
4.310E-05	2.895532E-02
5.570E-05	2.832834E-02
7.190E-05	2.772039E-02
9.280E-05	2.712745E-02
1.200E-04	2.654342E-02
1.550E-04	2.597331E-02
2.000E-04	2.541470E-02
2.580E-04	2.486330E-02
3.340E-04	2.430798E-02
4.310E-04	2.375966E-02
5.570E-04	2.320381E-02
7.190E-04	2.264084E-02
9.280E-04	2.206211E-02
1.200E-03	2.150128E-02
1.550E-03	2.087758E-02
2.000E-03	2.021648E-02
2.580E-03	1.950475E-02
3.340E-03	1.871774E-02
4.310E-03	1.786237E-02
5.570E-03	1.691045E-02
7.190E-03	1.586098E-02
9.280E-03	1.470515E-02
1.200E-02	1.343683E-02
1.550E-02	1.208845E-02
2.000E-02	1.069729E-02
2.580E-02	9.316995E-03
3.340E-02	8.006754E-03
4.310E-02	6.893237E-03
5.570E-02	6.047981E-03
7.190E-02	5.559457E-03
9.280E-02	5.474859E-03
1.200E-01	5.815096E-03
1.550E-01	6.558950E-03
2.000E-01	7.647023E-03
2.580E-01	8.990161E-03
3.340E-01	1.048169E-02
4.310E-01	1.190887E-02
5.570E-01	1.307875E-02
7.190E-01	1.373209E-02
9.280E-01	1.364610E-02
1.200E+00	1.267284E-02
1.550E+00	1.085371E-02
2.000E+00	8.445575E-03
2.580E+00	5.859249E-03
3.340E+00	3.513233E-03
4.310E+00	1.792251E-03
5.570E+00	7.415911E-04
7.190E+00	2.391206E-04
9.280E+00	5.607591E-05
1.200E+01	8.588832E-06
1.550E+01	7.708473E-07
2.000E+01	3.427539E-08
2.580E+01	5.981563E-10
3.340E+01	2.806526E-12
4.310E+01	2.794099E-15
5.570E+01	3.273783E-19
7.190E+01	0.000000E+00
9.280E+01	0.000000E+00
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

