 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5485.95 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0076

 DETECTORS		DIRECTIONS
 D1           6		R            8
 D2           7		RL           6
 D3           8		FL           5
 D4           5		F            7
 D5           9		FR           7
 D6           8		RR          10

------------------ INTERNAL DATA REF ------------------------
4-0
0.80;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.011	uSv h^-1	(42.2%)
 H*(10)_i	:	0.017	uSv     	(42.2%)
 h*(10)		:	162.2	pSv cm^2	(8.6%)
 phi		:	0.019	cm^-2 s^-1 	(41.3%)
 thermal   	:	0.2011
 epithermal	:	0.3500
 fast      	:	0.4489
-------------------------------------------------------------
 Average experimental data uncertainty	:	37.90%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.462288E-05
2.580E-09	2.378243E-05
3.340E-09	3.867798E-05
4.310E-09	6.198328E-05
5.570E-09	9.849213E-05
7.190E-09	1.539361E-04
9.280E-09	2.361033E-04
1.200E-08	3.545501E-04
1.550E-08	5.151079E-04
2.000E-08	7.178749E-04
2.580E-08	1.023966E-03
3.340E-08	1.297296E-03
4.310E-08	1.521025E-03
5.570E-08	1.629871E-03
7.190E-08	1.570462E-03
9.280E-08	1.349642E-03
1.200E-07	1.045916E-03
1.550E-07	7.832489E-04
2.000E-07	6.367298E-04
2.580E-07	5.865764E-04
3.340E-07	5.758044E-04
4.310E-07	5.732980E-04
5.570E-07	5.715718E-04
7.190E-07	5.699143E-04
9.280E-07	5.682896E-04
1.200E-06	5.666844E-04
1.550E-06	5.651167E-04
2.000E-06	5.635853E-04
2.580E-06	5.620845E-04
3.340E-06	5.605920E-04
4.310E-06	5.591462E-04
5.570E-06	5.577195E-04
7.190E-06	5.563263E-04
9.280E-06	5.549600E-04
1.200E-05	5.536094E-04
1.550E-05	5.522898E-04
2.000E-05	5.509997E-04
2.580E-05	5.497341E-04
3.340E-05	5.484739E-04
4.310E-05	5.472509E-04
5.570E-05	5.460413E-04
7.190E-05	5.448564E-04
9.280E-05	5.436896E-04
1.200E-04	5.425300E-04
1.550E-04	5.413890E-04
2.000E-04	5.402631E-04
2.580E-04	5.391454E-04
3.340E-04	5.380148E-04
4.310E-04	5.368953E-04
5.570E-04	5.357593E-04
7.190E-04	5.346093E-04
9.280E-04	5.334295E-04
1.200E-03	5.322083E-04
1.550E-03	5.309239E-04
2.000E-03	5.295626E-04
2.580E-03	5.280940E-04
3.340E-03	5.264605E-04
4.310E-03	5.246644E-04
5.570E-03	5.226269E-04
7.190E-03	5.203149E-04
9.280E-03	5.176640E-04
1.200E-02	5.145951E-04
1.550E-02	5.111029E-04
2.000E-02	5.071929E-04
2.580E-02	5.029375E-04
3.340E-02	4.985046E-04
4.310E-02	4.945121E-04
5.570E-02	4.918360E-04
7.190E-02	4.921654E-04
9.280E-02	4.982110E-04
1.200E-01	5.144326E-04
1.550E-01	5.470238E-04
2.000E-01	6.044340E-04
2.580E-01	6.971171E-04
3.340E-01	8.377929E-04
4.310E-01	1.028662E-03
5.570E-01	1.265458E-03
7.190E-01	1.514842E-03
9.280E-01	1.715628E-03
1.200E+00	1.782072E-03
1.550E+00	1.637941E-03
2.000E+00	1.281399E-03
2.580E+00	8.149546E-04
3.340E+00	3.983245E-04
4.310E+00	1.566523E-04
5.570E+00	7.549286E-05
7.190E+00	8.243531E-05
9.280E+00	1.271069E-04
1.200E+01	2.012560E-04
1.550E+01	3.135412E-04
2.000E+01	4.780321E-04
2.580E+01	7.101973E-04
3.340E+01	1.025951E-03
4.310E+01	1.413592E-03
5.570E+01	1.846443E-03
7.190E+01	2.244094E-03
9.280E+01	2.490199E-03
1.200E+02	2.457669E-03
1.550E+02	2.086415E-03
2.000E+02	1.465023E-03
2.580E+02	8.096133E-04
3.340E+02	3.270563E-04
4.310E+02	9.261675E-05
5.570E+02	1.694658E-05
7.190E+02	1.931681E-06
9.280E+02	1.261842E-07
1.200E+03	3.839906E-09
1.550E+03	4.196403E-11
2.000E+03	1.152029E-13
2.580E+03	5.081681E-17
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

