 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5486.13 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0077

 DETECTORS		DIRECTIONS
 D1           5		R           12
 D2          11		RL           8
 D3          14		FL           8
 D4          13		F            8
 D5           9		FR          11
 D6           6		RR           5

------------------ INTERNAL DATA REF ------------------------
4-0
0.80;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.006	uSv h^-1	(34.2%)
 H*(10)_i	:	0.009	uSv     	(34.2%)
 h*(10)		:	73.7	pSv cm^2	(7.8%)
 phi		:	0.022	cm^-2 s^-1 	(33.3%)
 thermal   	:	0.2134
 epithermal	:	0.5733
 fast      	:	0.2133
-------------------------------------------------------------
 Average experimental data uncertainty	:	33.92%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	9.294278E-06
2.580E-09	1.511607E-05
3.340E-09	2.458366E-05
4.310E-09	3.939646E-05
5.570E-09	6.260142E-05
7.190E-09	9.784148E-05
9.280E-09	1.500668E-04
1.200E-08	2.253514E-04
1.550E-08	3.274017E-04
2.000E-08	4.562800E-04
2.580E-08	8.023923E-04
3.340E-08	1.063269E-03
4.310E-08	1.330514E-03
5.570E-08	1.568086E-03
7.190E-08	1.726575E-03
9.280E-08	1.769640E-03
1.200E-07	1.693757E-03
1.550E-07	1.559808E-03
2.000E-07	1.456186E-03
2.580E-07	1.406176E-03
3.340E-07	1.380987E-03
4.310E-07	1.361662E-03
5.570E-07	1.343106E-03
7.190E-07	1.325042E-03
9.280E-07	1.307366E-03
1.200E-06	1.289938E-03
1.550E-06	1.272954E-03
2.000E-06	1.256397E-03
2.580E-06	1.240206E-03
3.340E-06	1.224140E-03
4.310E-06	1.208613E-03
5.570E-06	1.193329E-03
7.190E-06	1.178439E-03
9.280E-06	1.163875E-03
1.200E-05	1.149518E-03
1.550E-05	1.135532E-03
2.000E-05	1.121901E-03
2.580E-05	1.108574E-03
3.340E-05	1.095354E-03
4.310E-05	1.082579E-03
5.570E-05	1.070005E-03
7.190E-05	1.057754E-03
9.280E-05	1.045769E-03
1.200E-04	1.033950E-03
1.550E-04	1.022427E-03
2.000E-04	1.011186E-03
2.580E-04	1.000179E-03
3.340E-04	9.892357E-04
4.310E-04	9.786293E-04
5.570E-04	9.681464E-04
7.190E-04	9.578771E-04
9.280E-04	9.477562E-04
1.200E-03	9.377744E-04
1.550E-03	9.278868E-04
2.000E-03	9.181220E-04
2.580E-03	9.084247E-04
3.340E-03	8.986317E-04
4.310E-03	8.889922E-04
5.570E-03	8.793480E-04
7.190E-03	8.698698E-04
9.280E-03	8.606794E-04
1.200E-02	8.520267E-04
1.550E-02	8.445890E-04
2.000E-02	8.393173E-04
2.580E-02	8.377374E-04
3.340E-02	8.423627E-04
4.310E-02	8.566458E-04
5.570E-02	8.856184E-04
7.190E-02	9.348950E-04
9.280E-02	1.010385E-03
1.200E-01	1.116324E-03
1.550E-01	1.247796E-03
2.000E-01	1.387557E-03
2.580E-01	1.501100E-03
3.340E-01	1.537789E-03
4.310E-01	1.446227E-03
5.570E-01	1.207908E-03
7.190E-01	8.667093E-04
9.280E-01	5.152429E-04
1.200E+00	2.438541E-04
1.550E+00	9.128531E-05
2.000E+00	2.949004E-05
2.580E+00	1.283351E-05
3.340E+00	1.278314E-05
4.310E+00	1.926929E-05
5.570E+00	3.098035E-05
7.190E+00	4.956191E-05
9.280E+00	7.837172E-05
1.200E+01	1.224601E-04
1.550E+01	1.872591E-04
2.000E+01	2.787423E-04
2.580E+01	4.015561E-04
3.340E+01	5.572001E-04
4.310E+01	7.294079E-04
5.570E+01	8.916907E-04
7.190E+01	9.956648E-04
9.280E+01	9.910302E-04
1.200E+02	8.497502E-04
1.550E+02	6.025591E-04
2.000E+02	3.359373E-04
2.580E+02	1.377834E-04
3.340E+02	3.742646E-05
4.310E+02	6.259136E-06
5.570E+02	5.488254E-07
7.190E+02	2.197760E-08
9.280E+02	3.274769E-10
1.200E+03	1.352437E-12
1.550E+03	1.173141E-15
2.000E+03	1.101843E-19
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

