[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	79.88	0.102	100.0%	0.002	100.0%	140.0	95.5%	0.202	100.0%	100.00%	26.7%	34.7%	38.6%	[1-0.43 0]
1	H	(3)	99.57	0.076	100.0%	0.002	100.0%	139.0	100.0%	0.152	100.0%	100.00%	26.6%	34.9%	38.4%	[1-0.43 0]
2	H	(3)	119.28	0.063	100.0%	0.002	100.0%	138.7	100.0%	0.126	100.0%	100.00%	26.7%	35.0%	38.3%	[1-0.43 0]
3	H	(3)	138.97	0.055	100.0%	0.002	100.0%	139.4	100.0%	0.109	100.0%	100.00%	26.7%	34.9%	38.4%	[1-0.43 0]
4	H	(3)	159.86	0.058	100.0%	0.003	100.0%	137.1	100.0%	0.117	100.0%	95.12%	27.4%	34.8%	37.8%	[1-0.43 0]
5	H	(3)	179.56	0.051	100.0%	0.003	100.0%	134.7	100.0%	0.105	100.0%	95.12%	27.8%	35.0%	37.1%	[1-0.43 0]
6	H	(3)	199.26	0.057	100.0%	0.003	100.0%	131.7	100.0%	0.121	100.0%	90.24%	28.5%	35.2%	36.2%	[1-0.43 0]
7	H	(3)	220.11	0.051	100.0%	0.003	100.0%	129.0	100.0%	0.111	100.0%	90.24%	29.2%	35.3%	35.5%	[1-0.43 0]
8	H	(3)	239.82	0.046	100.0%	0.003	100.0%	126.1	100.0%	0.102	100.0%	90.24%	29.9%	35.4%	34.7%	[1-0.43 0]
9	H	(3)	259.52	0.043	100.0%	0.003	100.0%	124.8	100.0%	0.095	100.0%	90.24%	30.0%	35.7%	34.3%	[1-0.43 0]
10	H	(3)	279.24	0.040	100.0%	0.003	100.0%	124.6	100.0%	0.089	100.0%	90.24%	30.8%	35.2%	34.0%	[1-0.43 0]
11	H	(3)	300.09	0.041	100.0%	0.003	100.0%	123.8	100.0%	0.093	100.0%	88.07%	31.0%	35.3%	33.8%	[1-0.43 0]
12	H	(3)	319.79	0.031	100.0%	0.003	100.0%	113.9	100.0%	0.075	100.0%	86.79%	28.4%	40.7%	30.9%	[1-0.43 0]
13	H	(3)	339.48	0.035	100.0%	0.003	100.0%	112.1	100.0%	0.088	100.0%	81.90%	28.9%	40.6%	30.5%	[1-0.43 0]
14	H	(3)	359.19	0.033	100.0%	0.003	100.0%	111.3	100.0%	0.084	100.0%	81.90%	29.4%	40.4%	30.2%	[1-0.43 0]
15	H	(3)	380.06	0.027	100.0%	0.003	100.0%	109.6	100.0%	0.067	100.0%	81.02%	33.8%	36.3%	29.9%	[1-0.43 0]
16	H	(3)	399.73	0.032	100.0%	0.004	100.0%	109.9	100.0%	0.081	100.0%	76.14%	38.3%	31.9%	29.8%	[1-0.43 0]
17	H	(3)	419.41	0.035	100.0%	0.004	100.0%	117.2	100.0%	0.083	100.0%	76.14%	45.9%	22.4%	31.7%	[1-0.43 0]
18	H	(3)	440.26	0.038	100.0%	0.005	100.0%	118.0	100.0%	0.089	100.0%	73.98%	49.8%	18.4%	31.8%	[1-0.43 0]
19	H	(3)	459.96	0.038	100.0%	0.005	100.0%	118.3	100.0%	0.090	100.0%	73.33%	54.4%	13.9%	31.7%	[1-0.43 0]
20	H	(3)	480.83	0.033	100.0%	0.004	100.0%	129.6	76.8%	0.071	100.0%	68.45%	48.0%	17.3%	34.8%	[1-0.43 0]
21	H	(3)	500.51	0.036	100.0%	0.005	100.0%	140.1	58.4%	0.072	100.0%	66.29%	40.2%	22.0%	37.9%	[1-0.43 0]
22	H	(3)	520.21	0.043	100.0%	0.006	100.0%	151.6	42.6%	0.080	100.0%	61.40%	32.8%	26.0%	41.2%	[1-0.43 0]
23	H	(3)	539.92	0.043	100.0%	0.006	100.0%	160.1	28.2%	0.074	100.0%	60.90%	26.1%	30.2%	43.8%	[1-0.43 0]
24	H	(3)	560.81	0.041	75.9%	0.006	75.9%	169.5	15.5%	0.068	74.3%	60.90%	18.8%	34.7%	46.4%	[1-0.43 0]
25	H	(3)	580.52	0.040	76.8%	0.006	76.8%	167.4	14.9%	0.066	75.3%	60.90%	18.1%	35.8%	46.1%	[1-0.43 0]
26	H	(3)	600.20	0.040	74.0%	0.007	74.0%	163.3	15.0%	0.068	72.4%	59.61%	18.4%	37.6%	44.0%	[1-0.43 0]
27	H	(3)	619.91	0.037	74.0%	0.006	74.0%	158.4	15.4%	0.065	72.4%	59.61%	17.5%	40.7%	41.8%	[1-0.43 0]
28	H	(3)	639.61	0.035	73.6%	0.006	73.6%	153.0	15.5%	0.063	72.0%	59.61%	16.8%	43.4%	39.8%	[1-0.43 0]
29	H	(3)	660.47	0.035	67.0%	0.006	67.0%	146.6	15.6%	0.066	65.1%	57.45%	15.7%	47.1%	37.2%	[1-0.43 0]
