 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 39.49 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0090

 DETECTORS		DIRECTIONS
 D1           0		R            1
 D2           0		RL           1
 D3           0		FL           0
 D4           1		F            0
 D5           2		FR           1
 D6           0		RR           0

------------------ INTERNAL DATA REF ------------------------
1-0
0.80;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.180	uSv h^-1	>(100.1%)
 H*(10)_i	:	0.002	uSv     	>(100.1%)
 h*(10)		:	118.5	pSv cm^2	(45.5%)
 phi		:	0.423	cm^-2 s^-1 	>(100.1%)
 thermal   	:	0.3624
 epithermal	:	0.3318
 fast      	:	0.3057
-------------------------------------------------------------
 Average experimental data uncertainty	:	95.12%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	7.411729E-04
2.580E-09	1.205432E-03
3.340E-09	1.960425E-03
4.310E-09	3.141674E-03
5.570E-09	4.992155E-03
7.190E-09	7.802376E-03
9.280E-09	1.196709E-02
1.200E-08	1.797066E-02
1.550E-08	2.610867E-02
2.000E-08	3.638608E-02
2.580E-08	4.958291E-02
3.340E-08	6.205570E-02
4.310E-08	7.138392E-02
5.570E-08	7.414666E-02
7.190E-08	6.786062E-02
9.280E-08	5.351759E-02
1.200E-07	3.598532E-02
1.550E-07	2.189173E-02
2.000E-07	1.440724E-02
2.580E-07	1.194020E-02
3.340E-07	1.147457E-02
4.310E-07	1.142525E-02
5.570E-07	1.141430E-02
7.190E-07	1.140488E-02
9.280E-07	1.139552E-02
1.200E-06	1.138614E-02
1.550E-06	1.137684E-02
2.000E-06	1.136762E-02
2.580E-06	1.135844E-02
3.340E-06	1.134917E-02
4.310E-06	1.134005E-02
5.570E-06	1.133091E-02
7.190E-06	1.132184E-02
9.280E-06	1.131279E-02
1.200E-05	1.130370E-02
1.550E-05	1.129465E-02
2.000E-05	1.128564E-02
2.580E-05	1.127662E-02
3.340E-05	1.126745E-02
4.310E-05	1.125834E-02
5.570E-05	1.124911E-02
7.190E-05	1.123980E-02
9.280E-05	1.123034E-02
1.200E-04	1.122060E-02
1.550E-04	1.121061E-02
2.000E-04	1.120028E-02
2.580E-04	1.118946E-02
3.340E-04	1.117782E-02
4.310E-04	1.116545E-02
5.570E-04	1.115188E-02
7.190E-04	1.113690E-02
9.280E-04	1.112003E-02
1.200E-03	1.115297E-02
1.550E-03	1.114741E-02
2.000E-03	1.114326E-02
2.580E-03	1.114109E-02
3.340E-03	1.114178E-02
4.310E-03	1.114650E-02
5.570E-03	1.115697E-02
7.190E-03	1.117545E-02
9.280E-03	1.120521E-02
1.200E-02	1.125124E-02
1.550E-02	1.131954E-02
2.000E-02	1.141882E-02
2.580E-02	1.156159E-02
3.340E-02	1.176857E-02
4.310E-02	1.205876E-02
5.570E-02	1.247025E-02
7.190E-02	1.304432E-02
9.280E-02	1.384220E-02
1.200E-01	1.495101E-02
1.550E-01	1.645591E-02
2.000E-01	1.846230E-02
2.580E-01	2.108378E-02
3.340E-01	2.446200E-02
4.310E-01	2.853587E-02
5.570E-01	3.327802E-02
7.190E-01	3.835873E-02
9.280E-01	4.326317E-02
1.200E+00	4.719847E-02
1.550E+00	4.904650E-02
2.000E+00	4.775268E-02
2.580E+00	4.266979E-02
3.340E+00	3.394345E-02
4.310E+00	2.337101E-02
5.570E+00	1.326298E-02
7.190E+00	5.901224E-03
9.280E+00	1.914407E-03
1.200E+01	4.076896E-04
1.550E+01	5.139491E-05
2.000E+01	3.312106E-06
2.580E+01	8.942300E-08
3.340E+01	7.278631E-10
4.310E+01	1.453999E-12
5.570E+01	4.206812E-16
7.190E+01	0.000000E+00
9.280E+01	0.000000E+00
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

