 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5485.86 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0092

 DETECTORS		DIRECTIONS
 D1        1617		R          852
 D2        1422		RL        1855
 D3        1297		FL        1177
 D4        1022		F         1358
 D5         776		FR         483
 D6         577		RR         904

------------------ INTERNAL DATA REF ------------------------
4-1
0.80;81-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.457	uSv h^-1	(8.7%)
 H*(10)_i	:	0.696	uSv     	(8.7%)
 h*(10)		:	33.9	pSv cm^2	(7.7%)
 phi		:	3.747	cm^-2 s^-1 	(4.1%)
 thermal   	:	0.7915
 epithermal	:	0.1380
 fast      	:	0.0705
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.13%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.567362E-02
2.580E-09	2.549134E-02
3.340E-09	4.145722E-02
4.310E-09	6.643714E-02
5.570E-09	1.055694E-01
7.190E-09	1.649973E-01
9.280E-09	2.530687E-01
1.200E-08	3.800266E-01
1.550E-08	5.521215E-01
2.000E-08	7.694584E-01
2.580E-08	1.038369E+00
3.340E-08	1.294372E+00
4.310E-08	1.479416E+00
5.570E-08	1.519790E+00
7.190E-08	1.363595E+00
9.280E-08	1.035525E+00
1.200E-07	6.448292E-01
1.550E-07	3.353878E-01
2.000E-07	1.709006E-01
2.580E-07	1.137896E-01
3.340E-07	9.927089E-02
4.310E-07	9.388532E-02
5.570E-07	8.954093E-02
7.190E-07	8.548673E-02
9.280E-07	8.165977E-02
1.200E-06	7.801844E-02
1.550E-06	7.459329E-02
2.000E-06	7.136906E-02
2.580E-06	6.832331E-02
3.340E-06	6.540357E-02
4.310E-06	6.267675E-02
5.570E-06	6.008169E-02
7.190E-06	5.763693E-02
9.280E-06	5.532344E-02
1.200E-05	5.311678E-02
1.550E-05	5.103596E-02
2.000E-05	4.907228E-02
2.580E-05	4.721257E-02
3.340E-05	4.542516E-02
4.310E-05	4.375141E-02
5.570E-05	4.215423E-02
7.190E-05	4.064537E-02
9.280E-05	3.921347E-02
1.200E-04	3.784366E-02
1.550E-04	3.654801E-02
2.000E-04	3.532138E-02
2.580E-04	3.415577E-02
3.340E-04	3.303141E-02
4.310E-04	3.197440E-02
5.570E-04	3.096140E-02
7.190E-04	2.999982E-02
9.280E-04	2.908230E-02
1.200E-03	2.820723E-02
1.550E-03	2.737099E-02
2.000E-03	2.657606E-02
2.580E-03	2.581878E-02
3.340E-03	2.508899E-02
4.310E-03	2.440829E-02
5.570E-03	2.376962E-02
7.190E-03	2.319083E-02
9.280E-03	2.268861E-02
1.200E-02	2.229210E-02
1.550E-02	2.205689E-02
2.000E-02	2.205556E-02
2.580E-02	2.239084E-02
3.340E-02	2.321417E-02
4.310E-02	2.466646E-02
5.570E-02	2.692322E-02
7.190E-02	3.004754E-02
9.280E-02	3.396554E-02
1.200E-01	3.835812E-02
1.550E-01	4.246523E-02
2.000E-01	4.528845E-02
2.580E-01	4.577225E-02
3.340E-01	4.309739E-02
4.310E-01	3.730012E-02
5.570E-01	2.924248E-02
7.190E-01	2.061827E-02
9.280E-01	1.298021E-02
1.200E+00	7.217780E-03
1.550E+00	3.574940E-03
2.000E+00	1.699568E-03
2.580E+00	1.057603E-03
3.340E+00	1.175577E-03
4.310E+00	1.780744E-03
5.570E+00	2.860410E-03
7.190E+00	4.575139E-03
9.280E+00	7.234292E-03
1.200E+01	1.130410E-02
1.550E+01	1.728762E-02
2.000E+01	2.574144E-02
2.580E+01	3.710848E-02
3.340E+01	5.156194E-02
4.310E+01	6.766621E-02
5.570E+01	8.309304E-02
7.190E+01	9.350834E-02
9.280E+01	9.432284E-02
1.200E+02	8.273202E-02
1.550E+02	6.091467E-02
2.000E+02	3.611247E-02
2.580E+02	1.635272E-02
3.340E+02	5.210812E-03
4.310E+02	1.113493E-03
5.570E+02	1.414625E-04
7.190E+02	9.631542E-06
9.280E+02	2.949191E-07
1.200E+03	3.098614E-09
1.550E+03	8.596469E-12
2.000E+03	4.303842E-15
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

