 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5485.55 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0094

 DETECTORS		DIRECTIONS
 D1         977		R          456
 D2        1154		RL         688
 D3        1268		FL         837
 D4        1058		F         1482
 D5         824		FR        1207
 D6         605		RR        1137

------------------ INTERNAL DATA REF ------------------------
4-1
0.80;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.343	uSv h^-1	(8.6%)
 H*(10)_i	:	0.523	uSv     	(8.6%)
 h*(10)		:	36.7	pSv cm^2	(7.6%)
 phi		:	2.597	cm^-2 s^-1 	(3.8%)
 thermal   	:	0.4467
 epithermal	:	0.4652
 fast      	:	0.0881
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.26%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	4.360123E-03
2.580E-09	7.091237E-03
3.340E-09	1.153266E-02
4.310E-09	1.848163E-02
5.570E-09	2.936752E-02
7.190E-09	4.589930E-02
9.280E-09	7.039921E-02
1.200E-08	1.057166E-01
1.550E-08	1.535904E-01
2.000E-08	2.140497E-01
2.580E-08	3.111461E-01
3.340E-08	3.950687E-01
4.310E-08	4.647023E-01
5.570E-08	5.002692E-01
7.190E-08	4.850097E-01
9.280E-08	4.198546E-01
1.200E-07	3.275113E-01
1.550E-07	2.455517E-01
2.000E-07	1.976510E-01
2.580E-07	1.785318E-01
3.340E-07	1.712303E-01
4.310E-07	1.665739E-01
5.570E-07	1.622530E-01
7.190E-07	1.580908E-01
9.280E-07	1.540568E-01
1.200E-06	1.501163E-01
1.550E-06	1.463118E-01
2.000E-06	1.426370E-01
2.580E-06	1.390758E-01
3.340E-06	1.355738E-01
4.310E-06	1.322194E-01
5.570E-06	1.289462E-01
7.190E-06	1.257851E-01
9.280E-06	1.227193E-01
1.200E-05	1.197228E-01
1.550E-05	1.168278E-01
2.000E-05	1.140295E-01
2.580E-05	1.113160E-01
3.340E-05	1.086456E-01
4.310E-05	1.060857E-01
5.570E-05	1.035858E-01
7.190E-05	1.011694E-01
9.280E-05	9.882360E-02
1.200E-04	9.652833E-02
1.550E-04	9.430815E-02
2.000E-04	9.215921E-02
2.580E-04	9.007197E-02
3.340E-04	8.801403E-02
4.310E-04	8.603678E-02
5.570E-04	8.410050E-02
7.190E-04	8.222248E-02
9.280E-04	8.039170E-02
1.200E-03	7.860498E-02
1.550E-03	7.686082E-02
2.000E-03	7.516477E-02
2.580E-03	7.351024E-02
3.340E-03	7.187400E-02
4.310E-03	7.030234E-02
5.570E-03	6.877407E-02
7.190E-03	6.732107E-02
9.280E-03	6.596496E-02
1.200E-02	6.474271E-02
1.550E-02	6.374119E-02
2.000E-02	6.306129E-02
2.580E-02	6.283735E-02
3.340E-02	6.324594E-02
4.310E-02	6.444521E-02
5.570E-02	6.655003E-02
7.190E-02	6.946580E-02
9.280E-02	7.282190E-02
1.200E-01	7.587718E-02
1.550E-01	7.748832E-02
2.000E-01	7.650719E-02
2.580E-01	7.210265E-02
3.340E-01	6.391688E-02
4.310E-01	5.269879E-02
5.570E-01	3.957745E-02
7.190E-01	2.656588E-02
9.280E-01	1.557377E-02
1.200E+00	7.803393E-03
1.550E+00	3.375354E-03
2.000E+00	1.347814E-03
2.580E+00	6.760091E-04
3.340E+00	6.672219E-04
4.310E+00	9.950181E-04
5.570E+00	1.598205E-03
7.190E+00	2.556788E-03
9.280E+00	4.043223E-03
1.200E+01	6.318155E-03
1.550E+01	9.662113E-03
2.000E+01	1.438376E-02
2.580E+01	2.072353E-02
3.340E+01	2.875985E-02
4.310E+01	3.765435E-02
5.570E+01	4.604137E-02
7.190E+01	5.142527E-02
9.280E+01	5.121242E-02
1.200E+02	4.395858E-02
1.550E+02	3.124566E-02
2.000E+02	1.751600E-02
2.580E+02	7.275276E-03
3.340E+02	2.034102E-03
4.310E+02	3.619173E-04
5.570E+02	3.603539E-05
7.190E+02	1.824658E-06
9.280E+02	3.974222E-08
1.200E+03	2.795099E-10
1.550E+03	4.672045E-13
2.000E+03	1.165347E-16
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

