 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5486.88 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0097

 DETECTORS		DIRECTIONS
 D1         398		R          273
 D2         414		RL         534
 D3         473		FL         232
 D4         353		F          404
 D5         282		FR         191
 D6         206		RR         483

------------------ INTERNAL DATA REF ------------------------
4-1
0.80;815-2;1-0.77
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.157	uSv h^-1	(23.5%)
 H*(10)_i	:	0.239	uSv     	(23.5%)
 h*(10)		:	43.9	pSv cm^2	(21.9%)
 phi		:	0.991	cm^-2 s^-1 	(8.5%)
 thermal   	:	0.5215
 epithermal	:	0.3715
 fast      	:	0.1070
-------------------------------------------------------------
 Average experimental data uncertainty	:	5.46%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.432084E-03
2.580E-09	3.955505E-03
3.340E-09	6.432939E-03
4.310E-09	1.030909E-02
5.570E-09	1.638126E-02
7.190E-09	2.560271E-02
9.280E-09	3.926880E-02
1.200E-08	5.896893E-02
1.550E-08	8.567298E-02
2.000E-08	1.193973E-01
2.580E-08	1.641376E-01
3.340E-08	2.057636E-01
4.310E-08	2.372977E-01
5.570E-08	2.474936E-01
7.190E-08	2.280207E-01
9.280E-08	1.818100E-01
1.200E-07	1.245152E-01
1.550E-07	7.789593E-02
2.000E-07	5.270260E-02
2.580E-07	4.394727E-02
3.340E-07	4.176749E-02
4.310E-07	4.098015E-02
5.570E-07	4.033271E-02
7.190E-07	3.971010E-02
9.280E-07	3.910438E-02
1.200E-06	3.851036E-02
1.550E-06	3.793448E-02
2.000E-06	3.737587E-02
2.580E-06	3.683219E-02
3.340E-06	3.629517E-02
4.310E-06	3.577842E-02
5.570E-06	3.527181E-02
7.190E-06	3.478020E-02
9.280E-06	3.430108E-02
1.200E-05	3.383042E-02
1.550E-05	3.337336E-02
2.000E-05	3.292925E-02
2.580E-05	3.249628E-02
3.340E-05	3.206785E-02
4.310E-05	3.165483E-02
5.570E-05	3.124916E-02
7.190E-05	3.085470E-02
9.280E-05	3.046945E-02
1.200E-04	3.009011E-02
1.550E-04	2.972079E-02
2.000E-04	2.936089E-02
2.580E-04	2.900883E-02
3.340E-04	2.865910E-02
4.310E-04	2.832036E-02
5.570E-04	2.798577E-02
7.190E-04	2.765816E-02
9.280E-04	2.733545E-02
1.200E-03	2.701597E-02
1.550E-03	2.670018E-02
2.000E-03	2.638799E-02
2.580E-03	2.607734E-02
3.340E-03	2.576248E-02
4.310E-03	2.545051E-02
5.570E-03	2.513475E-02
7.190E-03	2.481799E-02
9.280E-03	2.449947E-02
1.200E-02	2.417891E-02
1.550E-02	2.386507E-02
2.000E-02	2.356695E-02
2.580E-02	2.329827E-02
3.340E-02	2.307774E-02
4.310E-02	2.293987E-02
5.570E-02	2.291364E-02
7.190E-02	2.302677E-02
9.280E-02	2.328582E-02
1.200E-01	2.365937E-02
1.550E-01	2.403902E-02
2.000E-01	2.423141E-02
2.580E-01	2.395200E-02
3.340E-01	2.284080E-02
4.310E-01	2.064837E-02
5.570E-01	1.730396E-02
7.190E-01	1.314964E-02
9.280E-01	8.801817E-03
1.200E+00	4.991376E-03
1.550E+00	2.339462E-03
2.000E+00	9.259347E-04
2.580E+00	4.051970E-04
3.340E+00	3.549432E-04
4.310E+00	5.207443E-04
5.570E+00	8.376928E-04
7.190E+00	1.343803E-03
9.280E+00	2.132540E-03
1.200E+01	3.347708E-03
1.550E+01	5.149739E-03
2.000E+01	7.724459E-03
2.580E+01	1.123788E-02
3.340E+01	1.579551E-02
4.310E+01	2.101835E-02
5.570E+01	2.624480E-02
7.190E+01	3.011190E-02
9.280E+01	3.103882E-02
1.200E+02	2.785548E-02
1.550E+02	2.095525E-02
2.000E+02	1.262389E-02
2.580E+02	5.743463E-03
3.340E+02	1.804178E-03
4.310E+02	3.705979E-04
5.570E+02	4.406978E-05
7.190E+02	2.757518E-06
9.280E+02	7.665145E-08
1.200E+03	7.088859E-10
1.550E+03	1.600678E-12
2.000E+03	5.651640E-16
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

