 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5485.21 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0096

 DETECTORS		DIRECTIONS
 D1         612		R          361
 D2         693		RL         611
 D3         723		FL         592
 D4         592		F          736
 D5         494		FR         448
 D6         295		RR         608

------------------ INTERNAL DATA REF ------------------------
4-1
0.80;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.135	uSv h^-1	(11.0%)
 H*(10)_i	:	0.206	uSv     	(11.0%)
 h*(10)		:	24.7	pSv cm^2	(8.6%)
 phi		:	1.525	cm^-2 s^-1 	(6.9%)
 thermal   	:	0.5099
 epithermal	:	0.4420
 fast      	:	0.0480
-------------------------------------------------------------
 Average experimental data uncertainty	:	4.33%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.107146E-03
2.580E-09	5.053415E-03
3.340E-09	8.218499E-03
4.310E-09	1.317053E-02
5.570E-09	2.092812E-02
7.190E-09	3.270913E-02
9.280E-09	5.016846E-02
1.200E-08	7.533665E-02
1.550E-08	1.094528E-01
2.000E-08	1.525378E-01
2.580E-08	2.186202E-01
3.340E-08	2.766176E-01
4.310E-08	3.236349E-01
5.570E-08	3.454564E-01
7.190E-08	3.304525E-01
9.280E-08	2.801321E-01
1.200E-07	2.118011E-01
1.550E-07	1.526270E-01
2.000E-07	1.186402E-01
2.580E-07	1.053287E-01
3.340E-07	1.004462E-01
4.310E-07	9.744019E-02
5.570E-07	9.467050E-02
7.190E-07	9.200797E-02
9.280E-07	8.943209E-02
1.200E-06	8.692053E-02
1.550E-06	8.450003E-02
2.000E-06	8.216620E-02
2.580E-06	7.990862E-02
3.340E-06	7.769259E-02
4.310E-06	7.557377E-02
5.570E-06	7.350999E-02
7.190E-06	7.152046E-02
9.280E-06	6.959444E-02
1.200E-05	6.771534E-02
1.550E-05	6.590320E-02
2.000E-05	6.415482E-02
2.580E-05	6.246244E-02
3.340E-05	6.080006E-02
4.310E-05	5.920945E-02
5.570E-05	5.765899E-02
7.190E-05	5.616309E-02
9.280E-05	5.471367E-02
1.200E-04	5.329820E-02
1.550E-04	5.193168E-02
2.000E-04	5.061162E-02
2.580E-04	4.933203E-02
3.340E-04	4.807300E-02
4.310E-04	4.686590E-02
5.570E-04	4.568641E-02
7.190E-04	4.454503E-02
9.280E-04	4.343504E-02
1.200E-03	4.235904E-02
1.550E-03	4.131015E-02
2.000E-03	4.029522E-02
2.580E-03	3.931163E-02
3.340E-03	3.834784E-02
4.310E-03	3.743443E-02
5.570E-03	3.656407E-02
7.190E-03	3.576253E-02
9.280E-03	3.505271E-02
1.200E-02	3.447067E-02
1.550E-02	3.408112E-02
2.000E-02	3.395481E-02
2.580E-02	3.417014E-02
3.340E-02	3.480313E-02
4.310E-02	3.583804E-02
5.570E-02	3.714816E-02
7.190E-02	3.835875E-02
9.280E-02	3.887306E-02
1.200E-01	3.797147E-02
1.550E-01	3.518298E-02
2.000E-01	3.069480E-02
2.580E-01	2.534909E-02
3.340E-01	2.005831E-02
4.310E-01	1.543402E-02
5.570E-01	1.132056E-02
7.190E-01	7.687079E-03
9.280E-01	4.678066E-03
1.200E+00	2.484363E-03
1.550E+00	1.153678E-03
2.000E+00	4.885593E-04
2.580E+00	2.365833E-04
3.340E+00	2.078044E-04
4.310E+00	2.969998E-04
5.570E+00	4.730938E-04
7.190E+00	7.530198E-04
9.280E+00	1.183429E-03
1.200E+01	1.834499E-03
1.550E+01	2.776796E-03
2.000E+01	4.080082E-03
2.580E+01	5.781410E-03
3.340E+01	7.853052E-03
4.310E+01	1.000975E-02
5.570E+01	1.183174E-02
7.190E+01	1.267240E-02
9.280E+01	1.198653E-02
1.200E+02	9.663641E-03
1.550E+02	6.380611E-03
2.000E+02	3.287708E-03
2.580E+02	1.243198E-03
3.340E+02	3.130280E-04
4.310E+02	4.945967E-05
5.570E+02	4.212370E-06
7.190E+02	1.686141E-07
9.280E+02	2.543803E-09
1.200E+03	1.040688E-11
1.550E+03	8.365902E-15
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

