 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 3584.05 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0174

 DETECTORS		DIRECTIONS
 D1          17		R           13
 D2          11		RL          20
 D3          15		FL          12
 D4          20		F           15
 D5          16		FR          20
 D6          16		RR           9

------------------ INTERNAL DATA REF ------------------------
4-0
0.82;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.037	uSv h^-1	(27.4%)
 H*(10)_i	:	0.037	uSv     	(27.4%)
 h*(10)		:	153.7	pSv cm^2	(6.4%)
 phi		:	0.066	cm^-2 s^-1 	(26.6%)
 thermal   	:	0.2917
 epithermal	:	0.2882
 fast      	:	0.4200
-------------------------------------------------------------
 Average experimental data uncertainty	:	25.43%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	8.778459E-05
2.580E-09	1.427715E-04
3.340E-09	2.321930E-04
4.310E-09	3.721002E-04
5.570E-09	5.912713E-04
7.190E-09	9.241142E-04
9.280E-09	1.417383E-03
1.200E-08	2.128447E-03
1.550E-08	3.092314E-03
2.000E-08	4.309571E-03
2.580E-08	5.952496E-03
3.340E-08	7.474805E-03
4.310E-08	8.643671E-03
5.570E-08	9.056226E-03
7.190E-08	8.409867E-03
9.280E-08	6.801007E-03
1.200E-07	4.779388E-03
1.550E-07	3.121971E-03
2.000E-07	2.225454E-03
2.580E-07	1.919445E-03
3.340E-07	1.850361E-03
4.310E-07	1.830995E-03
5.570E-07	1.816329E-03
7.190E-07	1.802138E-03
9.280E-07	1.788190E-03
1.200E-06	1.774372E-03
1.550E-06	1.760844E-03
2.000E-06	1.747596E-03
2.580E-06	1.734583E-03
3.340E-06	1.721612E-03
4.310E-06	1.709021E-03
5.570E-06	1.696573E-03
7.190E-06	1.684393E-03
9.280E-06	1.672428E-03
1.200E-05	1.660583E-03
1.550E-05	1.648995E-03
2.000E-05	1.637655E-03
2.580E-05	1.626522E-03
3.340E-05	1.615431E-03
4.310E-05	1.604670E-03
5.570E-05	1.594034E-03
7.190E-05	1.583628E-03
9.280E-05	1.573404E-03
1.200E-04	1.563277E-03
1.550E-04	1.553358E-03
2.000E-04	1.543635E-03
2.580E-04	1.534065E-03
3.340E-04	1.524496E-03
4.310E-04	1.515162E-03
5.570E-04	1.505871E-03
7.190E-04	1.496692E-03
9.280E-04	1.487557E-03
1.200E-03	1.478418E-03
1.550E-03	1.469245E-03
2.000E-03	1.460022E-03
2.580E-03	1.450657E-03
3.340E-03	1.440932E-03
4.310E-03	1.431018E-03
5.570E-03	1.420649E-03
7.190E-03	1.409853E-03
9.280E-03	1.398547E-03
1.200E-02	1.386665E-03
1.550E-02	1.374527E-03
2.000E-02	1.362588E-03
2.580E-02	1.351748E-03
3.340E-02	1.343651E-03
4.310E-02	1.341609E-03
5.570E-02	1.350717E-03
7.190E-02	1.379144E-03
9.280E-02	1.439389E-03
1.200E-01	1.550652E-03
1.550E-01	1.736068E-03
2.000E-01	2.023517E-03
2.580E-01	2.440214E-03
3.340E-01	3.007598E-03
4.310E-01	3.686241E-03
5.570E-01	4.396711E-03
7.190E-01	4.959343E-03
9.280E-01	5.148420E-03
1.200E+00	4.767777E-03
1.550E+00	3.809498E-03
2.000E+00	2.537897E-03
2.580E+00	1.366677E-03
3.340E+00	5.976174E-04
4.310E+00	2.839672E-04
5.570E+00	2.576458E-04
7.190E+00	3.763571E-04
9.280E+00	5.937726E-04
1.200E+01	9.328940E-04
1.550E+01	1.437079E-03
2.000E+01	2.159663E-03
2.580E+01	3.150079E-03
3.340E+01	4.443624E-03
4.310E+01	5.942445E-03
5.570E+01	7.472906E-03
7.190E+01	8.661327E-03
9.280E+01	9.060266E-03
1.200E+02	8.310287E-03
1.550E+02	6.456343E-03
2.000E+02	4.079162E-03
2.580E+02	1.990775E-03
3.340E+02	6.934345E-04
4.310E+02	1.644301E-04
5.570E+02	2.375414E-05
7.190E+02	1.914998E-06
9.280E+02	7.453928E-08
1.200E+03	1.107487E-09
1.550E+03	4.878519E-12
2.000E+03	4.299307E-15
2.580E+03	4.451053E-19
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

