 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5385.48 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0142

 DETECTORS		DIRECTIONS
 D1          55		R           55
 D2          64		RL          87
 D3          61		FL          49
 D4          63		F           47
 D5          50		FR          37
 D6          30		RR          41

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;81-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.051	uSv h^-1	(15.8%)
 H*(10)_i	:	0.077	uSv     	(15.8%)
 h*(10)		:	91.5	pSv cm^2	(6.1%)
 phi		:	0.156	cm^-2 s^-1 	(14.6%)
 thermal   	:	0.5096
 epithermal	:	0.2493
 fast      	:	0.2411
-------------------------------------------------------------
 Average experimental data uncertainty	:	13.96%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.952080E-04
2.580E-09	6.427601E-04
3.340E-09	1.045337E-03
4.310E-09	1.675202E-03
5.570E-09	2.661915E-03
7.190E-09	4.160380E-03
9.280E-09	6.381087E-03
1.200E-08	9.582311E-03
1.550E-08	1.392166E-02
2.000E-08	1.940177E-02
2.580E-08	2.640443E-02
3.340E-08	3.301147E-02
4.310E-08	3.790810E-02
5.570E-08	3.925499E-02
7.190E-08	3.572441E-02
9.280E-08	2.786575E-02
1.200E-07	1.832209E-02
1.550E-07	1.066623E-02
2.000E-07	6.572588E-03
2.580E-07	5.164420E-03
3.340E-07	4.824938E-03
4.310E-07	4.710896E-03
5.570E-07	4.619064E-03
7.190E-07	4.530644E-03
9.280E-07	4.444438E-03
1.200E-06	4.359730E-03
1.550E-06	4.277460E-03
2.000E-06	4.197528E-03
2.580E-06	4.119621E-03
3.340E-06	4.042567E-03
4.310E-06	3.968339E-03
5.570E-06	3.895500E-03
7.190E-06	3.824762E-03
9.280E-06	3.755780E-03
1.200E-05	3.687987E-03
1.550E-05	3.622136E-03
2.000E-05	3.558145E-03
2.580E-05	3.495764E-03
3.340E-05	3.434052E-03
4.310E-05	3.374587E-03
5.570E-05	3.316215E-03
7.190E-05	3.259504E-03
9.280E-05	3.204173E-03
1.200E-04	3.149759E-03
1.550E-04	3.096860E-03
2.000E-04	3.045400E-03
2.580E-04	2.995165E-03
3.340E-04	2.945379E-03
4.310E-04	2.897294E-03
5.570E-04	2.849952E-03
7.190E-04	2.803775E-03
9.280E-04	2.758494E-03
1.200E-03	2.713904E-03
1.550E-03	2.670112E-03
2.000E-03	2.627150E-03
2.580E-03	2.584793E-03
3.340E-03	2.542346E-03
4.310E-03	2.500874E-03
5.570E-03	2.459629E-03
7.190E-03	2.419189E-03
9.280E-03	2.379768E-03
1.200E-02	2.341874E-03
1.550E-02	2.307463E-03
2.000E-02	2.279120E-03
2.580E-02	2.261144E-03
3.340E-02	2.260868E-03
4.310E-02	2.289832E-03
5.570E-02	2.365738E-03
7.190E-02	2.512793E-03
9.280E-02	2.764335E-03
1.200E-01	3.164300E-03
1.550E-01	3.749346E-03
2.000E-01	4.542786E-03
2.580E-01	5.529423E-03
3.340E-01	6.634203E-03
4.310E-01	7.633528E-03
5.570E-01	8.259249E-03
7.190E-01	8.207575E-03
9.280E-01	7.320637E-03
1.200E+00	5.695192E-03
1.550E+00	3.756396E-03
2.000E+00	2.037877E-03
2.580E+00	8.991600E-04
3.340E+00	3.677030E-04
4.310E+00	2.517191E-04
5.570E+00	3.344470E-04
7.190E+00	5.265383E-04
9.280E+00	8.326273E-04
1.200E+01	1.302175E-03
1.550E+01	1.993472E-03
2.000E+01	2.971606E-03
2.580E+01	4.288592E-03
3.340E+01	5.964411E-03
4.310E+01	7.829435E-03
5.570E+01	9.603767E-03
7.190E+01	1.076631E-02
9.280E+01	1.076467E-02
1.200E+02	9.274750E-03
1.550E+02	6.606183E-03
2.000E+02	3.693547E-03
2.580E+02	1.513122E-03
3.340E+02	4.070001E-04
4.310E+02	6.630363E-05
5.570E+02	5.490933E-06
7.190E+02	1.967091E-07
9.280E+02	2.392691E-09
1.200E+03	6.989549E-12
1.550E+03	3.566954E-15
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

