 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 8990.62 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0134

 DETECTORS		DIRECTIONS
 D1         125		R          107
 D2         168		RL         161
 D3         172		FL          87
 D4         130		F          145
 D5         122		FR         115
 D6         101		RR         184

------------------ INTERNAL DATA REF ------------------------
1-1
0.82;815-2;1-0.90
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.042	uSv h^-1	(10.9%)
 H*(10)_i	:	0.104	uSv     	(10.9%)
 h*(10)		:	56.7	pSv cm^2	(6.2%)
 phi		:	0.204	cm^-2 s^-1 	(9.0%)
 thermal   	:	0.4412
 epithermal	:	0.4311
 fast      	:	0.1277
-------------------------------------------------------------
 Average experimental data uncertainty	:	8.68%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.385163E-04
2.580E-09	5.505577E-04
3.340E-09	8.953861E-04
4.310E-09	1.434898E-03
5.570E-09	2.280070E-03
7.190E-09	3.563583E-03
9.280E-09	5.465735E-03
1.200E-08	8.207751E-03
1.550E-08	1.192463E-02
2.000E-08	1.661864E-02
2.580E-08	2.417536E-02
3.340E-08	3.069738E-02
4.310E-08	3.611069E-02
5.570E-08	3.887866E-02
7.190E-08	3.769782E-02
9.280E-08	3.263801E-02
1.200E-07	2.546140E-02
1.550E-07	1.908754E-02
2.000E-07	1.535783E-02
2.580E-07	1.386389E-02
3.340E-07	1.328863E-02
4.310E-07	1.292004E-02
5.570E-07	1.257859E-02
7.190E-07	1.225055E-02
9.280E-07	1.193346E-02
1.200E-06	1.162454E-02
1.550E-06	1.132706E-02
2.000E-06	1.104046E-02
2.580E-06	1.076344E-02
3.340E-06	1.049172E-02
4.310E-06	1.023209E-02
5.570E-06	9.979360E-03
7.190E-06	9.735856E-03
9.280E-06	9.500229E-03
1.200E-05	9.270415E-03
1.550E-05	9.048822E-03
2.000E-05	8.835008E-03
2.580E-05	8.627966E-03
3.340E-05	8.424442E-03
4.310E-05	8.229460E-03
5.570E-05	8.039038E-03
7.190E-05	7.854809E-03
9.280E-05	7.675611E-03
1.200E-04	7.499672E-03
1.550E-04	7.328583E-03
2.000E-04	7.161707E-03
2.580E-04	6.997874E-03
3.340E-04	6.833946E-03
4.310E-04	6.673324E-03
5.570E-04	6.511953E-03
7.190E-04	6.350212E-03
9.280E-04	6.185904E-03
1.200E-03	6.032530E-03
1.550E-03	5.861578E-03
2.000E-03	5.683622E-03
2.580E-03	5.495755E-03
3.340E-03	5.292386E-03
4.310E-03	5.076325E-03
5.570E-03	4.841681E-03
7.190E-03	4.589730E-03
9.280E-03	4.320036E-03
1.200E-02	4.033006E-03
1.550E-02	3.737379E-03
2.000E-02	3.441512E-03
2.580E-02	3.155294E-03
3.340E-02	2.887727E-03
4.310E-02	2.660655E-03
5.570E-02	2.487208E-03
7.190E-02	2.391144E-03
9.280E-02	2.398036E-03
1.200E-01	2.538641E-03
1.550E-01	2.840119E-03
2.000E-01	3.321969E-03
2.580E-01	3.993874E-03
3.340E-01	4.862232E-03
4.310E-01	5.875976E-03
5.570E-01	6.996070E-03
7.190E-01	8.120256E-03
9.280E-01	9.119765E-03
1.200E+00	9.824203E-03
1.550E+00	1.002767E-02
2.000E+00	9.574406E-03
2.580E+00	8.415883E-03
3.340E+00	6.651205E-03
4.310E+00	4.643766E-03
5.570E+00	2.771891E-03
7.190E+00	1.379347E-03
9.280E+00	5.537805E-04
1.200E+01	1.722283E-04
1.550E+01	4.054464E-05
2.000E+01	6.841688E-06
2.580E+01	7.438342E-07
3.340E+01	4.242318E-08
4.310E+01	1.102882E-09
5.570E+01	9.428158E-12
7.190E+01	1.996687E-14
9.280E+01	6.799808E-18
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

