 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5486.04 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0156

 DETECTORS		DIRECTIONS
 D1         842		R          352
 D2        1127		RL         641
 D3        1284		FL        1067
 D4        1112		F         1641
 D5         880		FR        1243
 D6         655		RR         869

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.405	uSv h^-1	(9.5%)
 H*(10)_i	:	0.617	uSv     	(9.5%)
 h*(10)		:	47.0	pSv cm^2	(8.7%)
 phi		:	2.393	cm^-2 s^-1 	(3.8%)
 thermal   	:	0.3510
 epithermal	:	0.5256
 fast      	:	0.1234
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.25%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.648619E-03
2.580E-09	4.307673E-03
3.340E-09	7.005679E-03
4.310E-09	1.122693E-02
5.570E-09	1.783972E-02
7.190E-09	2.788218E-02
9.280E-09	4.276500E-02
1.200E-08	6.421907E-02
1.550E-08	9.330065E-02
2.000E-08	1.300275E-01
2.580E-08	1.977024E-01
3.340E-08	2.536965E-01
4.310E-08	3.032015E-01
5.570E-08	3.345261E-01
7.190E-08	3.366077E-01
9.280E-08	3.076715E-01
1.200E-07	2.584235E-01
1.550E-07	2.106346E-01
2.000E-07	1.810229E-01
2.580E-07	1.684533E-01
3.340E-07	1.630522E-01
4.310E-07	1.592926E-01
5.570E-07	1.557536E-01
7.190E-07	1.523370E-01
9.280E-07	1.490200E-01
1.200E-06	1.457745E-01
1.550E-06	1.426359E-01
2.000E-06	1.395995E-01
2.580E-06	1.366524E-01
3.340E-06	1.337498E-01
4.310E-06	1.309655E-01
5.570E-06	1.282446E-01
7.190E-06	1.256131E-01
9.280E-06	1.230575E-01
1.200E-05	1.205562E-01
1.550E-05	1.181365E-01
2.000E-05	1.157946E-01
2.580E-05	1.135209E-01
3.340E-05	1.112805E-01
4.310E-05	1.091303E-01
5.570E-05	1.070281E-01
7.190E-05	1.049937E-01
9.280E-05	1.030166E-01
1.200E-04	1.010798E-01
1.550E-04	9.920437E-02
2.000E-04	9.738702E-02
2.580E-04	9.561979E-02
3.340E-04	9.387521E-02
4.310E-04	9.219682E-02
5.570E-04	9.055083E-02
7.190E-04	8.895175E-02
9.280E-04	8.738995E-02
1.200E-03	8.586099E-02
1.550E-03	8.436484E-02
2.000E-03	8.290457E-02
2.580E-03	8.147327E-02
3.340E-03	8.004889E-02
4.310E-03	7.866928E-02
5.570E-03	7.731262E-02
7.190E-03	7.600272E-02
9.280E-03	7.475333E-02
1.200E-02	7.359059E-02
1.550E-02	7.258758E-02
2.000E-02	7.183490E-02
2.580E-02	7.146603E-02
3.340E-02	7.167915E-02
4.310E-02	7.271486E-02
5.570E-02	7.484993E-02
7.190E-02	7.826600E-02
9.280E-02	8.295400E-02
1.200E-01	8.851395E-02
1.550E-01	9.378113E-02
2.000E-01	9.697595E-02
2.580E-01	9.599998E-02
3.340E-01	8.906080E-02
4.310E-01	7.614616E-02
5.570E-01	5.892303E-02
7.190E-01	4.081500E-02
9.280E-01	2.497050E-02
1.200E+00	1.322130E-02
1.550E+00	6.005018E-03
2.000E+00	2.391065E-03
2.580E+00	1.053677E-03
3.340E+00	8.887297E-04
4.310E+00	1.277111E-03
5.570E+00	2.043319E-03
7.190E+00	3.263958E-03
9.280E+00	5.152234E-03
1.200E+01	8.032657E-03
1.550E+01	1.224856E-02
2.000E+01	1.816845E-02
2.580E+01	2.605946E-02
3.340E+01	3.596391E-02
4.310E+01	4.677377E-02
5.570E+01	5.673984E-02
7.190E+01	6.280038E-02
9.280E+01	6.191322E-02
1.200E+02	5.258386E-02
1.550E+02	3.701108E-02
2.000E+02	2.061299E-02
2.580E+02	8.593724E-03
3.340E+02	2.501875E-03
4.310E+02	5.333511E-04
5.570E+02	1.012518E-04
7.190E+02	2.136651E-05
9.280E+02	3.636112E-06
1.200E+03	3.382341E-07
1.550E+03	1.382713E-08
2.000E+03	1.955912E-10
2.580E+03	6.974809E-13
3.340E+03	3.719465E-16
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

