[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.64	0.811	35.7%	0.004	35.7%	24.7	16.1%	9.124	31.8%	31.44%	72.1%	23.7%	4.2%	[1-1.00 0]
1	H	(3)	39.28	1.614	25.7%	0.018	25.7%	37.4	14.4%	11.980	21.3%	18.67%	64.0%	28.1%	8.0%	[1-1.00 1]
2	H	(3)	58.94	1.944	21.5%	0.032	21.5%	42.3	11.8%	12.752	18.0%	14.67%	59.0%	31.3%	9.7%	[1-1.00 1]
3	H	(3)	79.84	2.212	18.8%	0.049	18.8%	46.2	9.2%	13.293	16.4%	12.37%	56.2%	32.8%	11.0%	[1-1.00 1]
4	H	(3)	99.54	2.243	18.9%	0.062	18.9%	46.6	9.3%	13.373	16.5%	11.06%	55.3%	33.6%	11.1%	[1-1.00 1]
5	H	(6)	119.24	2.487	16.6%	0.082	16.6%	51.1	8.4%	13.508	14.3%	9.88%	51.0%	36.4%	12.6%	[1-1.00 1]
6	H	(6)	140.11	2.552	14.6%	0.099	14.6%	50.6	7.3%	14.013	12.7%	8.86%	49.2%	38.2%	12.6%	[1-1.00 1]
7	H	(6)	159.82	2.517	13.7%	0.112	13.7%	49.5	7.2%	14.117	11.7%	8.20%	48.2%	39.5%	12.3%	[1-1.00 1]
8	H	(6)	179.52	2.470	13.2%	0.123	13.2%	49.1	7.4%	13.975	10.9%	7.77%	48.1%	39.7%	12.3%	[1-1.00 1]
9	H	(6)	199.21	2.642	11.6%	0.146	11.6%	52.4	6.9%	13.995	9.3%	7.36%	47.1%	39.5%	13.4%	[1-1.00 1]
10	H	(6)	220.07	2.749	11.4%	0.168	11.4%	55.1	7.0%	13.865	8.9%	7.03%	46.0%	39.7%	14.3%	[1-1.00 1]
11	H	(6)	239.78	2.972	11.3%	0.198	11.3%	59.7	6.8%	13.816	9.0%	6.76%	45.6%	38.7%	15.7%	[1-1.00 1]
12	H	(6)	259.47	3.140	10.9%	0.226	10.9%	62.0	6.4%	14.062	8.8%	6.47%	45.9%	37.7%	16.4%	[1-1.00 1]
13	H	(6)	280.31	3.204	11.5%	0.249	11.5%	63.6	7.1%	13.996	9.1%	6.24%	46.2%	37.0%	16.8%	[1-1.00 1]
14	H	(6)	300.00	3.077	11.2%	0.256	11.2%	60.8	7.0%	14.063	8.8%	6.01%	46.5%	37.4%	16.1%	[1-1.00 1]
15	H	(6)	319.70	2.951	10.6%	0.262	10.6%	58.3	6.3%	14.060	8.5%	5.83%	47.4%	37.2%	15.4%	[1-1.00 1]
16	H	(6)	339.41	2.855	10.1%	0.269	10.1%	56.0	6.2%	14.173	8.0%	5.65%	48.2%	37.0%	14.8%	[1-1.00 1]
17	H	(6)	360.26	2.846	10.0%	0.285	10.0%	55.2	5.9%	14.328	8.0%	5.47%	49.4%	36.0%	14.5%	[1-1.00 1]
18	H	(6)	379.96	2.892	9.7%	0.305	9.7%	55.4	5.7%	14.509	7.9%	5.31%	50.0%	35.5%	14.5%	[1-1.00 1]
19	H	(6)	399.67	2.933	10.0%	0.326	10.0%	55.8	6.0%	14.597	8.0%	5.17%	50.5%	34.9%	14.5%	[1-1.00 1]
20	H	(6)	420.53	2.975	10.5%	0.347	10.5%	56.9	6.8%	14.530	7.9%	5.05%	50.3%	34.8%	14.9%	[1-1.00 1]
21	H	(6)	440.23	2.929	10.3%	0.358	10.3%	55.7	6.7%	14.602	7.8%	4.92%	50.3%	35.1%	14.6%	[1-1.00 1]
22	H	(6)	459.95	2.927	10.0%	0.374	10.0%	55.9	6.7%	14.540	7.4%	4.79%	49.0%	36.4%	14.6%	[1-1.00 1]
23	H	(6)	479.64	2.792	9.4%	0.372	9.4%	53.5	6.6%	14.505	6.7%	4.68%	48.3%	37.7%	14.0%	[1-1.00 1]
24	H	(6)	500.49	2.737	8.8%	0.381	8.8%	52.5	6.2%	14.484	6.3%	4.57%	47.6%	38.7%	13.7%	[1-1.00 1]
25	H	(6)	520.18	2.554	8.5%	0.369	8.5%	49.3	5.9%	14.383	6.1%	4.49%	47.5%	39.8%	12.8%	[1-1.00 1]
26	H	(6)	539.87	2.441	9.2%	0.366	9.2%	47.3	6.9%	14.337	6.2%	4.41%	47.7%	40.1%	12.1%	[1-1.00 1]
27	H	(6)	560.73	2.262	9.5%	0.352	9.5%	43.6	7.2%	14.411	6.2%	4.32%	48.6%	40.3%	11.1%	[1-1.00 1]
28	H	(6)	580.41	2.049	9.3%	0.330	9.3%	40.3	7.0%	14.127	6.2%	4.28%	48.7%	41.1%	10.2%	[1-1.00 1]
29	H	(6)	600.11	2.000	9.7%	0.333	9.7%	39.4	7.6%	14.113	6.0%	4.21%	48.7%	41.3%	10.0%	[1-1.00 1]
30	H	(6)	619.82	2.008	9.8%	0.346	9.8%	39.6	7.7%	14.091	6.0%	4.15%	48.6%	41.3%	10.1%	[1-1.00 1]
31	H	(6)	640.68	1.907	9.4%	0.339	9.4%	38.2	7.4%	13.879	5.8%	4.10%	48.0%	42.4%	9.7%	[1-1.00 1]
32	H	(6)	660.39	1.893	10.0%	0.347	10.0%	37.8	8.2%	13.897	5.7%	4.03%	47.0%	43.5%	9.5%	[1-1.00 1]
33	H	(6)	680.09	1.830	10.2%	0.346	10.2%	36.7	8.4%	13.868	5.8%	3.96%	46.4%	44.5%	9.0%	[1-0.98 2]
34	H	(6)	700.95	1.643	9.8%	0.320	9.8%	33.1	7.9%	13.802	5.8%	3.91%	46.5%	45.6%	7.9%	[1-1.00 2]
35	H	(6)	720.64	1.507	9.3%	0.302	9.3%	30.6	7.3%	13.694	5.9%	3.86%	46.3%	46.6%	7.1%	[1-0.98 1]
36	H	(6)	740.32	1.400	8.3%	0.288	8.3%	28.5	5.8%	13.644	5.9%	3.81%	46.4%	47.2%	6.4%	[1-0.96 2]
37	H	(6)	760.03	1.288	7.4%	0.272	7.4%	26.3	4.6%	13.588	5.9%	3.77%	46.7%	47.6%	5.8%	[1-0.99 2]
38	H	(6)	780.89	1.260	7.2%	0.273	7.2%	25.7	4.3%	13.614	5.8%	3.71%	46.8%	47.7%	5.6%	[1-0.99 2]
39	H	(6)	800.58	1.258	7.0%	0.280	7.0%	25.7	3.8%	13.575	5.8%	3.67%	46.3%	48.1%	5.6%	[1-1.00 1]
40	H	(6)	820.28	1.233	6.6%	0.281	6.6%	25.3	3.4%	13.540	5.7%	3.62%	46.3%	48.3%	5.4%	[1-1.00 1]
41	H	(6)	841.13	1.222	6.7%	0.286	6.7%	25.1	3.6%	13.508	5.6%	3.58%	46.3%	48.3%	5.4%	[1-0.99 2]
42	H	(6)	860.83	1.211	6.5%	0.289	6.5%	24.9	3.3%	13.504	5.5%	3.54%	46.2%	48.5%	5.3%	[1-1.00 2]
43	H	(6)	881.70	1.213	6.7%	0.297	6.7%	25.0	3.8%	13.504	5.4%	3.50%	46.4%	48.3%	5.3%	[1-1.00 1]
44	H	(6)	901.40	1.209	7.0%	0.303	7.0%	24.9	4.4%	13.495	5.5%	3.47%	46.9%	48.0%	5.2%	[1-1.00 2]
45	H	(6)	921.11	1.205	7.1%	0.308	7.1%	24.8	4.5%	13.507	5.5%	3.43%	46.8%	48.1%	5.1%	[1-1.00 1]
46	H	(6)	940.81	1.201	7.1%	0.314	7.1%	24.7	4.7%	13.529	5.3%	3.39%	46.9%	48.0%	5.1%	[1-1.00 1]
47	H	(6)	960.50	1.225	7.6%	0.327	7.6%	25.1	5.5%	13.565	5.3%	3.35%	47.2%	47.7%	5.2%	[1-1.00 1]
48	H	(6)	981.37	1.189	7.0%	0.324	7.0%	24.4	4.8%	13.552	5.1%	3.32%	47.5%	47.6%	5.0%	[1-0.99 1]
49	H	(6)	1001.08	1.180	6.9%	0.328	6.9%	24.2	4.8%	13.554	4.9%	3.29%	47.5%	47.6%	4.9%	[1-0.97 2]
50	H	(6)	1020.78	1.210	6.9%	0.343	6.9%	24.7	4.9%	13.598	4.8%	3.25%	47.7%	47.3%	5.1%	[1-0.99 2]
51	H	(10)	1040.48	1.213	6.6%	0.351	6.6%	24.7	4.4%	13.646	4.9%	3.22%	48.2%	46.7%	5.1%	[1-1.00 1]
52	H	(10)	1061.36	1.194	6.3%	0.352	6.3%	24.4	4.1%	13.599	4.8%	3.19%	48.0%	47.0%	5.0%	[1-0.99 1]
53	H	(10)	1081.07	1.239	7.0%	0.372	7.0%	25.3	5.1%	13.581	4.8%	3.16%	47.8%	46.9%	5.3%	[1-0.98 2]
54	H	(10)	1100.77	1.225	7.1%	0.375	7.1%	25.1	5.2%	13.540	4.8%	3.14%	47.7%	47.0%	5.2%	[1-0.98 2]
55	H	(10)	1141.35	1.213	7.8%	0.385	7.8%	25.0	6.2%	13.466	4.8%	3.09%	47.7%	47.1%	5.2%	[1-0.96 2]
56	H	(10)	1180.79	1.220	8.2%	0.400	8.2%	25.2	6.7%	13.433	4.7%	3.04%	47.3%	47.5%	5.2%	[1-0.98 2]
57	H	(10)	1201.65	1.225	8.1%	0.409	8.1%	25.3	6.6%	13.426	4.7%	3.01%	47.3%	47.5%	5.2%	[1-0.99 2]
58	H	(10)	1221.38	1.201	7.6%	0.407	7.6%	24.9	6.1%	13.395	4.6%	2.99%	47.3%	47.6%	5.1%	[1-0.98 2]
59	H	(10)	1261.97	1.214	7.3%	0.426	7.3%	25.1	5.7%	13.443	4.5%	2.94%	47.3%	47.6%	5.1%	[1-0.99 1]
60	H	(10)	1282.83	1.187	6.7%	0.423	6.7%	24.6	5.1%	13.423	4.2%	2.91%	47.2%	47.9%	4.9%	[1-0.98 2]
61	H	(10)	1303.71	1.175	6.4%	0.426	6.4%	24.4	5.0%	13.373	4.1%	2.89%	47.1%	48.0%	4.9%	[1-0.97 2]
62	H	(10)	1340.82	1.178	6.4%	0.439	6.4%	24.6	5.0%	13.323	4.0%	2.86%	47.3%	47.8%	4.9%	[1-0.97 2]
63	H	(10)	1361.69	1.197	6.6%	0.453	6.6%	24.9	5.3%	13.357	3.9%	2.83%	47.5%	47.4%	5.1%	[1-0.97 2]
64	H	(10)	1383.72	1.193	6.5%	0.459	6.5%	24.8	5.3%	13.382	3.8%	2.81%	47.9%	47.1%	5.0%	[1-0.95 2]
65	H	(10)	1420.83	1.223	6.0%	0.483	6.0%	25.2	4.5%	13.456	3.9%	2.77%	48.3%	46.4%	5.2%	[1-0.96 2]
66	H	(10)	1441.71	1.231	5.6%	0.493	5.6%	25.3	4.1%	13.523	3.8%	2.75%	48.8%	45.9%	5.3%	[1-0.97 2]
67	H	(10)	1461.42	1.238	5.4%	0.502	5.4%	25.4	3.9%	13.557	3.8%	2.73%	49.3%	45.3%	5.4%	[1-0.97 2]
68	H	(10)	1481.13	1.240	4.7%	0.510	4.7%	25.4	3.0%	13.590	3.6%	2.71%	49.6%	45.1%	5.4%	[1-0.96 2]
69	H	(10)	1500.84	1.294	4.6%	0.539	4.6%	26.4	2.9%	13.627	3.5%	2.69%	49.7%	44.6%	5.7%	[1-0.95 2]
70	H	(10)	1521.71	1.335	5.1%	0.564	5.1%	27.2	3.7%	13.660	3.5%	2.67%	49.9%	44.1%	6.0%	[1-0.93 2]
71	H	(10)	1541.44	1.341	5.4%	0.574	5.4%	27.3	4.0%	13.653	3.6%	2.65%	49.7%	44.2%	6.0%	[1-0.93 2]
72	H	(10)	1561.15	1.337	5.3%	0.580	5.3%	27.2	3.8%	13.639	3.6%	2.64%	49.6%	44.4%	6.0%	[1-0.93 2]
73	H	(10)	1580.85	1.335	5.3%	0.586	5.3%	27.2	3.9%	13.616	3.6%	2.62%	49.6%	44.3%	6.1%	[1-0.94 2]
74	H	(10)	1601.72	1.343	5.4%	0.598	5.4%	27.4	4.0%	13.635	3.6%	2.60%	49.6%	44.3%	6.1%	[1-0.94 2]
75	H	(10)	1621.42	1.341	4.9%	0.604	4.9%	27.4	3.4%	13.608	3.5%	2.59%	49.3%	44.6%	6.1%	[1-0.94 2]
76	H	(10)	1641.11	1.363	4.5%	0.621	4.5%	27.8	2.9%	13.613	3.5%	2.58%	49.5%	44.3%	6.2%	[1-0.94 2]
77	H	(10)	1661.98	1.412	4.6%	0.652	4.6%	28.8	3.1%	13.615	3.4%	2.56%	49.3%	44.2%	6.5%	[1-0.93 2]
78	H	(10)	1681.69	1.413	4.7%	0.660	4.7%	28.8	3.2%	13.616	3.3%	2.54%	49.3%	44.2%	6.5%	[1-0.93 2]
79	H	(10)	1701.40	1.408	4.6%	0.665	4.6%	28.7	3.3%	13.622	3.3%	2.53%	49.3%	44.3%	6.4%	[1-0.94 2]
80	H	(10)	1721.11	1.389	4.7%	0.664	4.7%	28.4	3.4%	13.580	3.3%	2.52%	49.3%	44.4%	6.3%	[1-0.93 2]
81	H	(10)	1741.96	1.383	4.7%	0.669	4.7%	28.3	3.4%	13.582	3.2%	2.50%	49.4%	44.3%	6.3%	[1-0.93 2]
82	H	(10)	1761.67	1.363	5.1%	0.667	5.1%	27.9	4.0%	13.570	3.2%	2.49%	49.6%	44.2%	6.2%	[1-0.93 2]
83	H	(10)	1781.38	1.353	5.3%	0.670	5.3%	27.7	4.2%	13.568	3.3%	2.48%	49.6%	44.2%	6.2%	[1-0.92 2]
