 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5486.25 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0166

 DETECTORS		DIRECTIONS
 D1        1267		R          550
 D2        1442		RL         767
 D3        1527		FL        1089
 D4        1361		F         2011
 D5        1087		FR        1668
 D6         795		RR        1278

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.621	uSv h^-1	(6.8%)
 H*(10)_i	:	0.946	uSv     	(6.8%)
 h*(10)		:	51.7	pSv cm^2	(5.9%)
 phi		:	3.336	cm^-2 s^-1 	(3.5%)
 thermal   	:	0.4909
 epithermal	:	0.3743
 fast      	:	0.1348
-------------------------------------------------------------
 Average experimental data uncertainty	:	2.88%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	7.322407E-03
2.580E-09	1.190905E-02
3.340E-09	1.936799E-02
4.310E-09	3.103812E-02
5.570E-09	4.931992E-02
7.190E-09	7.708346E-02
9.280E-09	1.182287E-01
1.200E-08	1.775409E-01
1.550E-08	2.579402E-01
2.000E-08	3.594758E-01
2.580E-08	5.004451E-01
3.340E-08	6.291542E-01
4.310E-08	7.288207E-01
5.570E-08	7.656890E-01
7.190E-08	7.139813E-01
9.280E-08	5.809496E-01
1.200E-07	4.118351E-01
1.550E-07	2.717121E-01
2.000E-07	1.945618E-01
2.580E-07	1.666718E-01
3.340E-07	1.585957E-01
4.310E-07	1.547787E-01
5.570E-07	1.514212E-01
7.190E-07	1.481898E-01
9.280E-07	1.450537E-01
1.200E-06	1.419860E-01
1.550E-06	1.390198E-01
2.000E-06	1.361506E-01
2.580E-06	1.333660E-01
3.340E-06	1.306237E-01
4.310E-06	1.279931E-01
5.570E-06	1.254223E-01
7.190E-06	1.229357E-01
9.280E-06	1.205206E-01
1.200E-05	1.181563E-01
1.550E-05	1.158686E-01
2.000E-05	1.136538E-01
2.580E-05	1.115028E-01
3.340E-05	1.093826E-01
4.310E-05	1.073468E-01
5.570E-05	1.053555E-01
7.190E-05	1.034275E-01
9.280E-05	1.015527E-01
1.200E-04	9.971500E-02
1.550E-04	9.793424E-02
2.000E-04	9.620742E-02
2.580E-04	9.452690E-02
3.340E-04	9.286650E-02
4.310E-04	9.126763E-02
5.570E-04	8.969807E-02
7.190E-04	8.817162E-02
9.280E-04	8.667904E-02
1.200E-03	8.522088E-02
1.550E-03	8.379050E-02
2.000E-03	8.239449E-02
2.580E-03	8.102745E-02
3.340E-03	7.967045E-02
4.310E-03	7.836294E-02
5.570E-03	7.708985E-02
7.190E-03	7.588280E-02
9.280E-03	7.476941E-02
1.200E-02	7.379860E-02
1.550E-02	7.307395E-02
2.000E-02	7.273285E-02
2.580E-02	7.297684E-02
3.340E-02	7.411158E-02
4.310E-02	7.647266E-02
5.570E-02	8.049412E-02
7.190E-02	8.647297E-02
9.280E-02	9.450233E-02
1.200E-01	1.042334E-01
1.550E-01	1.143426E-01
2.000E-01	1.227497E-01
2.580E-01	1.268000E-01
3.340E-01	1.237524E-01
4.310E-01	1.120451E-01
5.570E-01	9.207113E-02
7.190E-01	6.725858E-02
9.280E-01	4.270004E-02
1.200E+00	2.302802E-02
1.550E+00	1.058473E-02
2.000E+00	4.360136E-03
2.580E+00	2.024003E-03
3.340E+00	1.650625E-03
4.310E+00	2.257249E-03
5.570E+00	3.568655E-03
7.190E+00	5.694655E-03
9.280E+00	8.990560E-03
1.200E+01	1.402030E-02
1.550E+01	2.138473E-02
2.000E+01	3.172954E-02
2.580E+01	4.552308E-02
3.340E+01	6.283794E-02
4.310E+01	8.172762E-02
5.570E+01	9.911145E-02
7.190E+01	1.096068E-01
9.280E+01	1.078884E-01
1.200E+02	9.140847E-02
1.550E+02	6.415259E-02
2.000E+02	3.566588E-02
2.580E+02	1.490705E-02
3.340E+02	4.368491E-03
4.310E+02	8.981750E-04
5.570E+02	1.264789E-04
7.190E+02	1.214116E-05
9.280E+02	6.721927E-07
1.200E+03	1.568602E-08
1.550E+03	1.151799E-10
2.000E+03	1.843015E-13
2.580E+03	3.999050E-17
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

