 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5488.54 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0168

 DETECTORS		DIRECTIONS
 D1         947		R          503
 D2         983		RL         964
 D3         987		FL         763
 D4         747		F         1058
 D5         547		FR         552
 D6         397		RR         708

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;813-2;1-0.72
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.204	uSv h^-1	(9.1%)
 H*(10)_i	:	0.311	uSv     	(9.1%)
 h*(10)		:	27.7	pSv cm^2	(8.0%)
 phi		:	2.051	cm^-2 s^-1 	(4.3%)
 thermal   	:	0.5934
 epithermal	:	0.3561
 fast      	:	0.0505
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.76%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	4.506939E-03
2.580E-09	7.330017E-03
3.340E-09	1.192099E-02
4.310E-09	1.910395E-02
5.570E-09	3.035640E-02
7.190E-09	4.744485E-02
9.280E-09	7.276972E-02
1.200E-08	1.092764E-01
1.550E-08	1.587621E-01
2.000E-08	2.212572E-01
2.580E-08	3.282986E-01
3.340E-08	4.174247E-01
4.310E-08	4.920322E-01
5.570E-08	5.312158E-01
7.190E-08	5.167286E-01
9.280E-08	4.485472E-01
1.200E-07	3.498227E-01
1.550E-07	2.603889E-01
2.000E-07	2.060007E-01
2.580E-07	1.816718E-01
3.340E-07	1.698362E-01
4.310E-07	1.611051E-01
5.570E-07	1.529960E-01
7.190E-07	1.453462E-01
9.280E-07	1.380910E-01
1.200E-06	1.311571E-01
1.550E-06	1.246070E-01
2.000E-06	1.184162E-01
2.580E-06	1.125456E-01
3.340E-06	1.068975E-01
4.310E-06	1.016043E-01
5.570E-06	9.655081E-02
7.190E-06	9.177567E-02
9.280E-06	8.724440E-02
1.200E-05	8.291130E-02
1.550E-05	7.881578E-02
2.000E-05	7.494270E-02
2.580E-05	7.126789E-02
3.340E-05	6.773017E-02
4.310E-05	6.441280E-02
5.570E-05	6.124360E-02
7.190E-05	5.824703E-02
9.280E-05	5.540155E-02
1.200E-04	5.267853E-02
1.550E-04	5.010278E-02
2.000E-04	4.766487E-02
2.580E-04	4.534958E-02
3.340E-04	4.311832E-02
4.310E-04	4.102352E-02
5.570E-04	3.901950E-02
7.190E-04	3.712155E-02
9.280E-04	3.531580E-02
1.200E-03	3.359015E-02
1.550E-03	3.195128E-02
2.000E-03	3.039759E-02
2.580E-03	2.892043E-02
3.340E-03	2.749707E-02
4.310E-03	2.616439E-02
5.570E-03	2.489910E-02
7.190E-03	2.372031E-02
9.280E-03	2.263412E-02
1.200E-02	2.165258E-02
1.550E-02	2.081747E-02
2.000E-02	2.016796E-02
2.580E-02	1.975134E-02
3.340E-02	1.961883E-02
4.310E-02	1.980686E-02
5.570E-02	2.029133E-02
7.190E-02	2.093949E-02
9.280E-02	2.148591E-02
1.200E-01	2.154702E-02
1.550E-01	2.074139E-02
2.000E-01	1.891542E-02
2.580E-01	1.624618E-02
3.340E-01	1.310238E-02
4.310E-01	9.972612E-03
5.570E-01	7.074501E-03
7.190E-01	4.647310E-03
9.280E-01	2.827564E-03
1.200E+00	1.610376E-03
1.550E+00	8.836534E-04
2.000E+00	5.011616E-04
2.580E+00	3.737365E-04
3.340E+00	4.491635E-04
4.310E+00	6.909977E-04
5.570E+00	1.113892E-03
7.190E+00	1.784793E-03
9.280E+00	2.827659E-03
1.200E+01	4.429365E-03
1.550E+01	6.794943E-03
2.000E+01	1.015670E-02
2.580E+01	1.471109E-02
3.340E+01	2.056003E-02
4.310E+01	2.716566E-02
5.570E+01	3.362180E-02
7.190E+01	3.816042E-02
9.280E+01	3.882634E-02
1.200E+02	3.431821E-02
1.550E+02	2.540014E-02
2.000E+02	1.508745E-02
2.580E+02	6.848579E-03
3.340E+02	2.235581E-03
4.310E+02	5.350166E-04
5.570E+02	9.590678E-05
7.190E+02	1.303093E-05
9.280E+02	1.091822E-06
1.200E+03	4.069976E-08
1.550E+03	5.176694E-10
2.000E+03	1.634565E-12
2.580E+03	8.437685E-16
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

