 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5486.07 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0167

 DETECTORS		DIRECTIONS
 D1         819		R          415
 D2         903		RL         730
 D3         978		FL         601
 D4         783		F         1217
 D5         624		FR         617
 D6         383		RR         820

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.180	uSv h^-1	(9.8%)
 H*(10)_i	:	0.274	uSv     	(9.8%)
 h*(10)		:	25.6	pSv cm^2	(7.1%)
 phi		:	1.954	cm^-2 s^-1 	(6.7%)
 thermal   	:	0.5296
 epithermal	:	0.4207
 fast      	:	0.0497
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.78%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	4.437986E-03
2.580E-09	7.217872E-03
3.340E-09	1.173861E-02
4.310E-09	1.881168E-02
5.570E-09	2.989197E-02
7.190E-09	4.671897E-02
9.280E-09	7.165639E-02
1.200E-08	1.076045E-01
1.550E-08	1.563332E-01
2.000E-08	2.178722E-01
2.580E-08	3.065634E-01
3.340E-08	3.863151E-01
4.310E-08	4.491517E-01
5.570E-08	4.746661E-01
7.190E-08	4.468762E-01
9.280E-08	3.693710E-01
1.200E-07	2.686041E-01
1.550E-07	1.837956E-01
2.000E-07	1.363723E-01
2.580E-07	1.186934E-01
3.340E-07	1.130387E-01
4.310E-07	1.100053E-01
5.570E-07	1.072754E-01
7.190E-07	1.046529E-01
9.280E-07	1.021151E-01
1.200E-06	9.963965E-02
1.550E-06	9.725294E-02
2.000E-06	9.495056E-02
2.580E-06	9.272221E-02
3.340E-06	9.053354E-02
4.310E-06	8.843951E-02
5.570E-06	8.639841E-02
7.190E-06	8.442922E-02
9.280E-06	8.252130E-02
1.200E-05	8.065818E-02
1.550E-05	7.885973E-02
2.000E-05	7.712279E-02
2.580E-05	7.543967E-02
3.340E-05	7.378448E-02
4.310E-05	7.219881E-02
5.570E-05	7.065116E-02
7.190E-05	6.915593E-02
9.280E-05	6.770507E-02
1.200E-04	6.628599E-02
1.550E-04	6.491374E-02
2.000E-04	6.358583E-02
2.580E-04	6.229622E-02
3.340E-04	6.102475E-02
4.310E-04	5.980304E-02
5.570E-04	5.860639E-02
7.190E-04	5.744531E-02
9.280E-04	5.631280E-02
1.200E-03	5.520462E-02
1.550E-03	5.412226E-02
2.000E-03	5.306728E-02
2.580E-03	5.203460E-02
3.340E-03	5.100810E-02
4.310E-03	5.001451E-02
5.570E-03	4.903684E-02
7.190E-03	4.808967E-02
9.280E-03	4.717779E-02
1.200E-02	4.630979E-02
1.550E-02	4.551959E-02
2.000E-02	4.483833E-02
2.580E-02	4.430108E-02
3.340E-02	4.393703E-02
4.310E-02	4.376268E-02
5.570E-02	4.371376E-02
7.190E-02	4.362007E-02
9.280E-02	4.317049E-02
1.200E-01	4.193774E-02
1.550E-01	3.954855E-02
2.000E-01	3.587594E-02
2.580E-01	3.112442E-02
3.340E-01	2.564523E-02
4.310E-01	2.002413E-02
5.570E-01	1.456747E-02
7.190E-01	9.775243E-03
9.280E-01	5.993753E-03
1.200E+00	3.310808E-03
1.550E+00	1.630612E-03
2.000E+00	7.256022E-04
2.580E+00	3.578812E-04
3.340E+00	3.124243E-04
4.310E+00	4.451468E-04
5.570E+00	7.094034E-04
7.190E+00	1.130491E-03
9.280E+00	1.779472E-03
1.200E+01	2.764245E-03
1.550E+01	4.195633E-03
2.000E+01	6.187220E-03
2.580E+01	8.809401E-03
3.340E+01	1.204417E-02
4.310E+01	1.548483E-02
5.570E+01	1.851816E-02
7.190E+01	2.014626E-02
9.280E+01	1.945894E-02
1.200E+02	1.613366E-02
1.550E+02	1.104774E-02
2.000E+02	5.960988E-03
2.580E+02	2.385421E-03
3.340E+02	6.436712E-04
4.310E+02	1.106179E-04
5.570E+02	1.055448E-05
7.190E+02	5.008964E-07
9.280E+02	9.867155E-09
1.200E+03	6.034121E-11
1.550E+03	8.432544E-14
2.000E+03	1.664449E-17
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

