 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 39.52 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0169

 DETECTORS		DIRECTIONS
 D1           1		R            0
 D2           0		RL           0
 D3           0		FL           1
 D4           0		F            0
 D5           0		FR           0
 D6           0		RR           0

------------------ INTERNAL DATA REF ------------------------
1-0
0.82;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.129	uSv h^-1	>(100.1%)
 H*(10)_i	:	0.001	uSv     	>(100.1%)
 h*(10)		:	84.2	pSv cm^2	(54.0%)
 phi		:	0.427	cm^-2 s^-1 	>(100.1%)
 thermal   	:	0.2068
 epithermal	:	0.5842
 fast      	:	0.2089
-------------------------------------------------------------
 Average experimental data uncertainty	:	100.00%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.467977E-04
2.580E-09	4.013880E-04
3.340E-09	6.527877E-04
4.310E-09	1.046123E-03
5.570E-09	1.662301E-03
7.190E-09	2.598056E-03
9.280E-09	3.984833E-03
1.200E-08	5.983920E-03
1.550E-08	8.693735E-03
2.000E-08	1.211593E-02
2.580E-08	1.864393E-02
3.340E-08	2.408722E-02
4.310E-08	2.908341E-02
5.570E-08	3.260758E-02
7.190E-08	3.363423E-02
9.280E-08	3.189136E-02
1.200E-07	2.815421E-02
1.550E-07	2.428530E-02
2.000E-07	2.193067E-02
2.580E-07	2.111806E-02
3.340E-07	2.096624E-02
4.310E-07	2.095296E-02
5.570E-07	2.095246E-02
7.190E-07	2.095243E-02
9.280E-07	2.095240E-02
1.200E-06	2.095236E-02
1.550E-06	2.095231E-02
2.000E-06	2.095225E-02
2.580E-06	2.095217E-02
3.340E-06	2.095207E-02
4.310E-06	2.095193E-02
5.570E-06	2.095176E-02
7.190E-06	2.095154E-02
9.280E-06	2.095125E-02
1.200E-05	2.095088E-02
1.550E-05	2.095039E-02
2.000E-05	2.094978E-02
2.580E-05	2.094898E-02
3.340E-05	2.094793E-02
4.310E-05	2.094660E-02
5.570E-05	2.094487E-02
7.190E-05	2.094264E-02
9.280E-05	2.093977E-02
1.200E-04	2.093603E-02
1.550E-04	2.093122E-02
2.000E-04	2.092504E-02
2.580E-04	2.091708E-02
3.340E-04	2.090665E-02
4.310E-04	2.089334E-02
5.570E-04	2.087607E-02
7.190E-04	2.085388E-02
9.280E-04	2.082530E-02
1.200E-03	2.082263E-02
1.550E-03	2.078613E-02
2.000E-03	2.073972E-02
2.580E-03	2.068065E-02
3.340E-03	2.060434E-02
4.310E-03	2.050852E-02
5.570E-03	2.038637E-02
7.190E-03	2.023275E-02
9.280E-03	2.003972E-02
1.200E-02	1.979641E-02
1.550E-02	1.949538E-02
2.000E-02	1.912668E-02
2.580E-02	1.867955E-02
3.340E-02	1.813777E-02
4.310E-02	1.751291E-02
5.570E-02	1.680244E-02
7.190E-02	1.603914E-02
9.280E-02	1.527236E-02
1.200E-01	1.458547E-02
1.550E-01	1.412022E-02
2.000E-01	1.404862E-02
2.580E-01	1.456595E-02
3.340E-01	1.587732E-02
4.310E-01	1.805135E-02
5.570E-01	2.106461E-02
7.190E-01	2.462490E-02
9.280E-01	2.826312E-02
1.200E+00	3.133585E-02
1.550E+00	3.301452E-02
2.000E+00	3.255126E-02
2.580E+00	2.947281E-02
3.340E+00	2.381769E-02
4.310E+00	1.672313E-02
5.570E+00	9.734542E-03
7.190E+00	4.476534E-03
9.280E+00	1.516344E-03
1.200E+01	3.420035E-04
1.550E+01	4.652031E-05
2.000E+01	3.318605E-06
2.580E+01	1.028399E-07
3.340E+01	1.015191E-09
4.310E+01	2.647511E-12
5.570E+01	1.117634E-15
7.190E+01	0.000000E+00
9.280E+01	0.000000E+00
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

