 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5485.02 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0129

 DETECTORS		DIRECTIONS
 D1         243		R          233
 D2         282		RL         315
 D3         307		FL         176
 D4         251		F          229
 D5         227		FR         186
 D6         166		RR         308

------------------ INTERNAL DATA REF ------------------------
4-1
0.75;815-2;1-0.04
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.136	uSv h^-1	(9.9%)
 H*(10)_i	:	0.208	uSv     	(9.9%)
 h*(10)		:	58.0	pSv cm^2	(7.2%)
 phi		:	0.652	cm^-2 s^-1 	(6.8%)
 thermal   	:	0.4037
 epithermal	:	0.4411
 fast      	:	0.1552
-------------------------------------------------------------
 Average experimental data uncertainty	:	6.46%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.044294E-03
2.580E-09	1.698424E-03
3.340E-09	2.762191E-03
4.310E-09	4.426542E-03
5.570E-09	7.033824E-03
7.190E-09	1.099336E-02
9.280E-09	1.686134E-02
1.200E-08	2.532023E-02
1.550E-08	3.678648E-02
2.000E-08	5.126710E-02
2.580E-08	7.332944E-02
3.340E-08	9.280267E-02
4.310E-08	1.086155E-01
5.570E-08	1.160204E-01
7.190E-08	1.111403E-01
9.280E-08	9.448893E-02
1.200E-07	7.183999E-02
1.550E-07	5.225246E-02
2.000E-07	4.109471E-02
2.580E-07	3.686816E-02
3.340E-07	3.546743E-02
4.310E-07	3.468483E-02
5.570E-07	3.397380E-02
7.190E-07	3.328903E-02
9.280E-07	3.262492E-02
1.200E-06	3.197583E-02
1.550E-06	3.134877E-02
2.000E-06	3.074275E-02
2.580E-06	3.015519E-02
3.340E-06	2.957714E-02
4.310E-06	2.902323E-02
5.570E-06	2.848253E-02
7.190E-06	2.796019E-02
9.280E-06	2.745346E-02
1.200E-05	2.695807E-02
1.550E-05	2.647938E-02
2.000E-05	2.601663E-02
2.580E-05	2.556784E-02
3.340E-05	2.512618E-02
4.310E-05	2.470279E-02
5.570E-05	2.428933E-02
7.190E-05	2.388970E-02
9.280E-05	2.350177E-02
1.200E-04	2.312223E-02
1.550E-04	2.275512E-02
2.000E-04	2.239979E-02
2.580E-04	2.205465E-02
3.340E-04	2.171428E-02
4.310E-04	2.138712E-02
5.570E-04	2.106654E-02
7.190E-04	2.075529E-02
9.280E-04	2.045140E-02
1.200E-03	2.015395E-02
1.550E-03	1.986273E-02
2.000E-03	1.957820E-02
2.580E-03	1.929884E-02
3.340E-03	1.902009E-02
4.310E-03	1.874905E-02
5.570E-03	1.848113E-02
7.190E-03	1.822063E-02
9.280E-03	1.796989E-02
1.200E-02	1.773372E-02
1.550E-02	1.752662E-02
2.000E-02	1.736732E-02
2.580E-02	1.728459E-02
3.340E-02	1.732329E-02
4.310E-02	1.754309E-02
5.570E-02	1.802174E-02
7.190E-02	1.883469E-02
9.280E-02	2.004404E-02
1.200E-01	2.166604E-02
1.550E-01	2.357096E-02
2.000E-01	2.548051E-02
2.580E-01	2.695049E-02
3.340E-01	2.741569E-02
4.310E-01	2.632754E-02
5.570E-01	2.340045E-02
7.190E-01	1.884311E-02
9.280E-01	1.337901E-02
1.200E+00	8.080190E-03
1.550E+00	4.036510E-03
2.000E+00	1.645714E-03
2.580E+00	6.081306E-04
3.340E+00	3.454697E-04
4.310E+00	4.262009E-04
5.570E+00	6.725631E-04
7.190E+00	1.076921E-03
9.280E+00	1.706738E-03
1.200E+01	2.674721E-03
1.550E+01	4.105586E-03
2.000E+01	6.141344E-03
2.580E+01	8.903573E-03
3.340E+01	1.245851E-02
4.310E+01	1.648553E-02
5.570E+01	2.043980E-02
7.190E+01	2.324529E-02
9.280E+01	2.369641E-02
1.200E+02	2.096616E-02
1.550E+02	1.548453E-02
2.000E+02	9.097744E-03
2.580E+02	3.990859E-03
3.340E+02	1.182003E-03
4.310E+02	2.199074E-04
5.570E+02	2.197152E-05
7.190E+02	1.025809E-06
9.280E+02	1.819932E-08
1.200E+03	9.133845E-11
1.550E+03	9.889261E-14
2.000E+03	1.361639E-17
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

