 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 19.76 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0129

 DETECTORS		DIRECTIONS
 D1           0		R            0
 D2           1		RL           1
 D3           0		FL           0
 D4           0		F            0
 D5           0		FR           0
 D6           0		RR           0

------------------ INTERNAL DATA REF ------------------------
1-0
0.75;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.329	uSv h^-1	>(100.1%)
 H*(10)_i	:	0.002	uSv     	>(100.1%)
 h*(10)		:	118.9	pSv cm^2	(33.5%)
 phi		:	0.768	cm^-2 s^-1 	>(100.1%)
 thermal   	:	0.3656
 epithermal	:	0.3305
 fast      	:	0.3039
-------------------------------------------------------------
 Average experimental data uncertainty	:	100.00%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.342790E-03
2.580E-09	2.183892E-03
3.340E-09	3.551720E-03
4.310E-09	5.691799E-03
5.570E-09	9.044332E-03
7.190E-09	1.413563E-02
9.280E-09	2.168088E-02
1.200E-08	3.255761E-02
1.550E-08	4.730132E-02
2.000E-08	6.592100E-02
2.580E-08	9.004799E-02
3.340E-08	1.127660E-01
4.310E-08	1.298365E-01
5.570E-08	1.350669E-01
7.190E-08	1.239339E-01
9.280E-08	9.817766E-02
1.200E-07	6.654716E-02
1.550E-07	4.103164E-02
2.000E-07	2.743235E-02
2.580E-07	2.291333E-02
3.340E-07	2.201963E-02
4.310E-07	2.188125E-02
5.570E-07	2.181255E-02
7.190E-07	2.174731E-02
9.280E-07	2.168267E-02
1.200E-06	2.161808E-02
1.550E-06	2.155428E-02
2.000E-06	2.149126E-02
2.580E-06	2.142879E-02
3.340E-06	2.136596E-02
4.310E-06	2.130440E-02
5.570E-06	2.124295E-02
7.190E-06	2.118225E-02
9.280E-06	2.112201E-02
1.200E-05	2.106177E-02
1.550E-05	2.100219E-02
2.000E-05	2.094322E-02
2.580E-05	2.088466E-02
3.340E-05	2.082558E-02
4.310E-05	2.076747E-02
5.570E-05	2.070919E-02
7.190E-05	2.065126E-02
9.280E-05	2.059331E-02
1.200E-04	2.053475E-02
1.550E-04	2.047605E-02
2.000E-04	2.041698E-02
2.580E-04	2.035704E-02
3.340E-04	2.029490E-02
4.310E-04	2.023167E-02
5.570E-04	2.016553E-02
7.190E-04	2.009631E-02
9.280E-04	2.002264E-02
1.200E-03	2.003900E-02
1.550E-03	1.998276E-02
2.000E-03	1.992684E-02
2.580E-03	1.987137E-02
3.340E-03	1.981609E-02
4.310E-03	1.976339E-02
5.570E-03	1.971380E-02
7.190E-03	1.967021E-02
9.280E-03	1.963609E-02
1.200E-02	1.961700E-02
1.550E-02	1.962191E-02
2.000E-02	1.966350E-02
2.580E-02	1.976097E-02
3.340E-02	1.994627E-02
4.310E-02	2.025753E-02
5.570E-02	2.076171E-02
7.190E-02	2.154252E-02
9.280E-02	2.272376E-02
1.200E-01	2.448524E-02
1.550E-01	2.702019E-02
2.000E-01	3.056548E-02
2.580E-01	3.537768E-02
3.340E-01	4.176347E-02
4.310E-01	4.962715E-02
5.570E-01	5.890695E-02
7.190E-01	6.893497E-02
9.280E-01	7.868539E-02
1.200E+00	8.662558E-02
1.550E+00	9.063170E-02
2.000E+00	8.872803E-02
2.580E+00	7.969435E-02
3.340E+00	6.375973E-02
4.310E+00	4.419859E-02
5.570E+00	2.529557E-02
7.190E+00	1.137372E-02
9.280E+00	3.737864E-03
1.200E+01	8.087917E-04
1.550E+01	1.039170E-04
2.000E+01	6.847164E-06
2.580E+01	1.895953E-07
3.340E+01	1.587383E-09
4.310E+01	3.265801E-12
5.570E+01	9.735851E-16
7.190E+01	0.000000E+00
9.280E+01	0.000000E+00
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

