 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5485.57 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0135

 DETECTORS		DIRECTIONS
 D1         100		R           81
 D2         108		RL         124
 D3         124		FL         120
 D4         101		F           95
 D5          83		FR          51
 D6          49		RR          84

------------------ INTERNAL DATA REF ------------------------
4-1
0.75;812-2;1-0.22
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.049	uSv h^-1	(14.6%)
 H*(10)_i	:	0.075	uSv     	(14.6%)
 h*(10)		:	54.3	pSv cm^2	(8.7%)
 phi		:	0.252	cm^-2 s^-1 	(11.7%)
 thermal   	:	0.4271
 epithermal	:	0.4321
 fast      	:	0.1408
-------------------------------------------------------------
 Average experimental data uncertainty	:	10.64%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	4.040822E-04
2.580E-09	6.571930E-04
3.340E-09	1.068810E-03
4.310E-09	1.712818E-03
5.570E-09	2.721687E-03
7.190E-09	4.253800E-03
9.280E-09	6.524372E-03
1.200E-08	9.797478E-03
1.550E-08	1.423426E-02
2.000E-08	1.983743E-02
2.580E-08	2.886028E-02
3.340E-08	3.664479E-02
4.310E-08	4.310406E-02
5.570E-08	4.640246E-02
7.190E-08	4.498290E-02
9.280E-08	3.892898E-02
1.200E-07	3.034667E-02
1.550E-07	2.272423E-02
2.000E-07	1.825990E-02
2.580E-07	1.646484E-02
3.340E-07	1.576629E-02
4.310E-07	1.531464E-02
5.570E-07	1.489539E-02
7.190E-07	1.449228E-02
9.280E-07	1.410234E-02
1.200E-06	1.372221E-02
1.550E-06	1.335591E-02
2.000E-06	1.300279E-02
2.580E-06	1.266128E-02
3.340E-06	1.232612E-02
4.310E-06	1.200572E-02
5.570E-06	1.169373E-02
7.190E-06	1.139302E-02
9.280E-06	1.110198E-02
1.200E-05	1.081811E-02
1.550E-05	1.054442E-02
2.000E-05	1.028043E-02
2.580E-05	1.002497E-02
3.340E-05	9.774106E-03
4.310E-05	9.534140E-03
5.570E-05	9.300298E-03
7.190E-05	9.074751E-03
9.280E-05	8.856274E-03
1.200E-04	8.642974E-03
1.550E-04	8.437109E-03
2.000E-04	8.238295E-03
2.580E-04	8.045623E-03
3.340E-04	7.856090E-03
4.310E-04	7.674407E-03
5.570E-04	7.496903E-03
7.190E-04	7.325145E-03
9.280E-04	7.158105E-03
1.200E-03	6.995214E-03
1.550E-03	6.836678E-03
2.000E-03	6.682784E-03
2.580E-03	6.532857E-03
3.340E-03	6.384677E-03
4.310E-03	6.242270E-03
5.570E-03	6.103465E-03
7.190E-03	5.970799E-03
9.280E-03	5.845748E-03
1.200E-02	5.731024E-03
1.550E-02	5.633911E-03
2.000E-02	5.563249E-03
2.580E-02	5.531840E-03
3.340E-02	5.558471E-03
4.310E-02	5.665167E-03
5.570E-02	5.876980E-03
7.190E-02	6.209306E-03
9.280E-02	6.660851E-03
1.200E-01	7.199238E-03
1.550E-01	7.734081E-03
2.000E-01	8.141043E-03
2.580E-01	8.288781E-03
3.340E-01	8.073229E-03
4.310E-01	7.461030E-03
5.570E-01	6.464359E-03
7.190E-01	5.171138E-03
9.280E-01	3.743521E-03
1.200E+00	2.407727E-03
1.550E+00	1.379561E-03
2.000E+00	7.186839E-04
2.580E+00	3.640505E-04
3.340E+00	2.153567E-04
4.310E+00	1.981344E-04
5.570E+00	2.709003E-04
7.190E+00	4.233332E-04
9.280E+00	6.702770E-04
1.200E+01	1.052023E-03
1.550E+01	1.618117E-03
2.000E+01	2.426759E-03
2.580E+01	3.529875E-03
3.340E+01	4.960218E-03
4.310E+01	6.598267E-03
5.570E+01	8.235622E-03
7.190E+01	9.443887E-03
9.280E+01	9.726773E-03
1.200E+02	8.717836E-03
1.550E+02	6.542989E-03
2.000E+02	3.923487E-03
2.580E+02	1.767760E-03
3.340E+02	5.434697E-04
4.310E+02	1.066366E-04
5.570E+02	1.154690E-05
7.190E+02	6.097479E-07
9.280E+02	1.306803E-08
1.200E+03	8.710514E-11
1.550E+03	1.398073E-13
2.000E+03	3.472341E-17
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

