[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.68	0.604	100.0%	0.003	100.0%	209.2	26.8%	0.802	100.0%	100.00%	32.8%	10.4%	56.8%	[1-0.91 0]
1	H	(3)	39.41	0.249	100.0%	0.003	100.0%	175.6	34.1%	0.395	100.0%	100.00%	29.5%	22.9%	47.7%	[1-0.91 0]
2	H	(3)	60.10	0.169	100.0%	0.003	100.0%	172.5	37.4%	0.272	100.0%	100.00%	34.0%	19.1%	46.8%	[1-0.91 0]
3	H	(3)	79.76	0.157	100.0%	0.003	100.0%	162.0	38.6%	0.269	100.0%	91.67%	38.8%	17.3%	43.9%	[1-0.91 0]
4	H	(3)	99.45	0.137	100.0%	0.004	100.0%	155.5	38.7%	0.245	100.0%	86.79%	41.3%	16.5%	42.1%	[1-0.91 0]
5	H	(3)	119.15	0.153	100.0%	0.005	100.0%	138.0	40.9%	0.308	100.0%	74.86%	44.4%	18.2%	37.4%	[1-0.91 0]
6	H	(3)	140.03	0.195	100.0%	0.008	100.0%	149.4	33.1%	0.363	100.0%	60.77%	45.7%	13.9%	40.5%	[1-0.91 0]
7	H	(3)	159.74	0.185	100.0%	0.008	100.0%	152.2	26.0%	0.338	100.0%	58.61%	44.7%	14.1%	41.2%	[1-0.91 0]
8	H	(3)	179.44	0.164	100.0%	0.008	100.0%	153.2	20.8%	0.297	100.0%	57.32%	39.4%	19.0%	41.6%	[1-0.91 0]
9	H	(3)	200.31	0.166	86.6%	0.009	86.6%	160.5	16.0%	0.287	85.1%	54.74%	37.5%	18.9%	43.7%	[1-0.91 0]
10	H	(3)	220.01	0.163	70.2%	0.010	70.2%	169.5	13.2%	0.267	69.0%	53.86%	36.3%	17.6%	46.1%	[1-0.91 0]
11	H	(3)	239.72	0.164	62.9%	0.011	62.9%	162.3	12.7%	0.280	61.6%	50.54%	37.9%	18.0%	44.1%	[1-0.91 0]
12	H	(3)	259.41	0.158	60.0%	0.011	60.0%	157.7	12.3%	0.278	58.8%	48.78%	39.3%	17.9%	42.8%	[1-0.91 0]
13	H	(3)	280.27	0.153	61.4%	0.012	61.4%	161.7	12.0%	0.263	60.2%	48.78%	43.1%	13.2%	43.7%	[1-0.91 0]
14	H	(3)	299.96	0.143	62.0%	0.012	62.0%	159.8	11.8%	0.248	60.8%	48.78%	44.0%	12.8%	43.2%	[1-0.91 0]
15	H	(3)	319.63	0.143	58.3%	0.013	58.3%	156.8	11.5%	0.254	57.2%	46.60%	44.5%	13.1%	42.3%	[1-0.91 0]
