 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5482.98 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0136

 DETECTORS		DIRECTIONS
 D1        1980		R         1246
 D2        2259		RL        1607
 D3        2341		FL        1492
 D4        1769		F         2211
 D5        1366		FR        1793
 D6         870		RR        2118

------------------ INTERNAL DATA REF ------------------------
4-1
0.75;835-2;1-0.36
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.269	uSv h^-1	(6.7%)
 H*(10)_i	:	0.409	uSv     	(6.7%)
 h*(10)		:	16.9	pSv cm^2	(4.6%)
 phi		:	4.424	cm^-2 s^-1 	(4.8%)
 thermal   	:	0.4597
 epithermal	:	0.5223
 fast      	:	0.0180
-------------------------------------------------------------
 Average experimental data uncertainty	:	2.48%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.841396E-03
2.580E-09	4.621202E-03
3.340E-09	7.515580E-03
4.310E-09	1.204407E-02
5.570E-09	1.913816E-02
7.190E-09	2.991156E-02
9.280E-09	4.587760E-02
1.200E-08	6.889319E-02
1.550E-08	1.000914E-01
2.000E-08	1.394914E-01
2.580E-08	3.139440E-01
3.340E-08	4.250843E-01
4.310E-08	5.474423E-01
5.570E-08	6.685190E-01
7.190E-08	7.647776E-01
9.280E-08	8.110913E-01
1.200E-07	7.934878E-01
1.550E-07	7.324882E-01
2.000E-07	6.707595E-01
2.580E-07	6.254684E-01
3.340E-07	5.891695E-01
4.310E-07	5.567848E-01
5.570E-07	5.261477E-01
7.190E-07	4.973378E-01
9.280E-07	4.701271E-01
1.200E-06	4.442296E-01
1.550E-06	4.198693E-01
2.000E-06	3.969429E-01
2.580E-06	3.752958E-01
3.340E-06	3.545590E-01
4.310E-06	3.352112E-01
5.570E-06	3.168207E-01
7.190E-06	2.995209E-01
9.280E-06	2.831783E-01
1.200E-05	2.676216E-01
1.550E-05	2.529854E-01
2.000E-05	2.392082E-01
2.580E-05	2.261970E-01
3.340E-05	2.137305E-01
4.310E-05	2.020963E-01
5.570E-05	1.910352E-01
7.190E-05	1.806274E-01
9.280E-05	1.707926E-01
1.200E-04	1.614278E-01
1.550E-04	1.526140E-01
2.000E-04	1.443138E-01
2.580E-04	1.364714E-01
3.340E-04	1.289528E-01
4.310E-04	1.219312E-01
5.570E-04	1.152496E-01
7.190E-04	1.089558E-01
9.280E-04	1.030006E-01
1.200E-03	9.733556E-02
1.550E-03	9.198813E-02
2.000E-03	8.694583E-02
2.580E-03	8.217672E-02
3.340E-03	7.760344E-02
4.310E-03	7.333872E-02
5.570E-03	6.929993E-02
7.190E-03	6.553666E-02
9.280E-03	6.205122E-02
1.200E-02	5.885534E-02
1.550E-02	5.604327E-02
2.000E-02	5.368336E-02
2.580E-02	5.184592E-02
3.340E-02	5.057387E-02
4.310E-02	4.987915E-02
5.570E-02	4.954781E-02
7.190E-02	4.912559E-02
9.280E-02	4.787492E-02
1.200E-01	4.493248E-02
1.550E-01	3.982368E-02
2.000E-01	3.291337E-02
2.580E-01	2.540907E-02
3.340E-01	1.860003E-02
4.310E-01	1.331449E-02
5.570E-01	9.252426E-03
7.190E-01	6.101789E-03
9.280E-01	3.707086E-03
1.200E+00	2.018901E-03
1.550E+00	9.766040E-04
2.000E+00	4.372463E-04
2.580E+00	2.378524E-04
3.340E+00	2.367287E-04
4.310E+00	3.469329E-04
5.570E+00	5.465407E-04
7.190E+00	8.549709E-04
9.280E+00	1.317403E-03
1.200E+01	1.999345E-03
1.550E+01	2.964345E-03
2.000E+01	4.280301E-03
2.580E+01	6.001289E-03
3.340E+01	8.156937E-03
4.310E+01	1.056358E-02
5.570E+01	1.291998E-02
7.190E+01	1.459939E-02
9.280E+01	1.486971E-02
1.200E+02	1.320338E-02
1.550E+02	9.827971E-03
2.000E+02	5.846382E-03
2.580E+02	2.608559E-03
3.340E+02	7.890139E-04
4.310E+02	1.501775E-04
5.570E+02	1.535798E-05
7.190E+02	7.346542E-07
9.280E+02	1.349881E-08
1.200E+03	7.344680E-11
1.550E+03	9.729796E-14
2.000E+03	1.877252E-17
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

