 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5485.97 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0139

 DETECTORS		DIRECTIONS
 D1         578		R          375
 D2         738		RL         844
 D3         793		FL         822
 D4         693		F          870
 D5         556		FR         401
 D6         371		RR         379

------------------ INTERNAL DATA REF ------------------------
4-1
0.75;8123-2;1-0.12
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.164	uSv h^-1	(6.4%)
 H*(10)_i	:	0.250	uSv     	(6.4%)
 h*(10)		:	30.3	pSv cm^2	(4.2%)
 phi		:	1.506	cm^-2 s^-1 	(4.8%)
 thermal   	:	0.3099
 epithermal	:	0.6199
 fast      	:	0.0702
-------------------------------------------------------------
 Average experimental data uncertainty	:	4.10%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.056422E-03
2.580E-09	1.718149E-03
3.340E-09	2.794270E-03
4.310E-09	4.477950E-03
5.570E-09	7.115512E-03
7.190E-09	1.112103E-02
9.280E-09	1.705716E-02
1.200E-08	2.561429E-02
1.550E-08	3.721370E-02
2.000E-08	5.186250E-02
2.580E-08	8.740227E-02
3.340E-08	1.146542E-01
4.310E-08	1.414553E-01
5.570E-08	1.634474E-01
7.190E-08	1.753395E-01
9.280E-08	1.741233E-01
1.200E-07	1.610544E-01
1.550E-07	1.438109E-01
2.000E-07	1.313580E-01
2.580E-07	1.252648E-01
3.340E-07	1.220108E-01
4.310E-07	1.194399E-01
5.570E-07	1.169654E-01
7.190E-07	1.145592E-01
9.280E-07	1.122078E-01
1.200E-06	1.098919E-01
1.550E-06	1.076375E-01
2.000E-06	1.054423E-01
2.580E-06	1.032978E-01
3.340E-06	1.011720E-01
4.310E-06	9.911937E-02
5.570E-06	9.710060E-02
7.190E-06	9.513555E-02
9.280E-06	9.321489E-02
1.200E-05	9.132299E-02
1.550E-05	8.948101E-02
2.000E-05	8.768694E-02
2.580E-05	8.593396E-02
3.340E-05	8.419576E-02
4.310E-05	8.251696E-02
5.570E-05	8.086522E-02
7.190E-05	7.925676E-02
9.280E-05	7.768382E-02
1.200E-04	7.613345E-02
1.550E-04	7.462281E-02
2.000E-04	7.315003E-02
2.580E-04	7.170922E-02
3.340E-04	7.027835E-02
4.310E-04	6.889363E-02
5.570E-04	6.752783E-02
7.190E-04	6.619355E-02
9.280E-04	6.488340E-02
1.200E-03	6.359448E-02
1.550E-03	6.232719E-02
2.000E-03	6.108509E-02
2.580E-03	5.986325E-02
3.340E-03	5.864371E-02
4.310E-03	5.745982E-02
5.570E-03	5.629358E-02
7.190E-03	5.516546E-02
9.280E-03	5.408554E-02
1.200E-02	5.307056E-02
1.550E-02	5.216982E-02
2.000E-02	5.143251E-02
2.580E-02	5.091643E-02
3.340E-02	5.067891E-02
4.310E-02	5.075499E-02
5.570E-02	5.108772E-02
7.190E-02	5.147042E-02
9.280E-02	5.150451E-02
1.200E-01	5.061369E-02
1.550E-01	4.822961E-02
2.000E-01	4.406522E-02
2.580E-01	3.827298E-02
3.340E-01	3.130207E-02
4.310E-01	2.406962E-02
5.570E-01	1.718691E-02
7.190E-01	1.134287E-02
9.280E-01	6.850641E-03
1.200E+00	3.712609E-03
1.550E+00	1.778013E-03
2.000E+00	7.481759E-04
2.580E+00	3.159792E-04
3.340E+00	2.207119E-04
4.310E+00	2.928067E-04
5.570E+00	4.656645E-04
7.190E+00	7.475650E-04
9.280E+00	1.188512E-03
1.200E+01	1.870206E-03
1.550E+01	2.885691E-03
2.000E+01	4.345268E-03
2.580E+01	6.352950E-03
3.340E+01	8.986350E-03
4.310E+01	1.205278E-02
5.570E+01	1.520050E-02
7.190E+01	1.765512E-02
9.280E+01	1.847032E-02
1.200E+02	1.686926E-02
1.550E+02	1.293945E-02
2.000E+02	7.946939E-03
2.580E+02	3.668206E-03
3.340E+02	1.151227E-03
4.310E+02	2.278657E-04
5.570E+02	2.426706E-05
7.190E+02	1.201740E-06
9.280E+02	2.228590E-08
1.200E+03	1.138752E-10
1.550E+03	1.217246E-13
2.000E+03	1.362579E-17
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

