 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5485.83 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0140

 DETECTORS		DIRECTIONS
 D1          31		R           24
 D2          44		RL          34
 D3          30		FL          22
 D4          24		F           18
 D5          26		FR          28
 D6          22		RR          47

------------------ INTERNAL DATA REF ------------------------
4-0
0.75;0-0;1-0.08
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.027	uSv h^-1	(21.7%)
 H*(10)_i	:	0.041	uSv     	(21.7%)
 h*(10)		:	83.8	pSv cm^2	(9.5%)
 phi		:	0.088	cm^-2 s^-1 	(19.5%)
 thermal   	:	0.5442
 epithermal	:	0.2455
 fast      	:	0.2103
-------------------------------------------------------------
 Average experimental data uncertainty	:	18.77%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.238800E-04
2.580E-09	3.641150E-04
3.340E-09	5.921695E-04
4.310E-09	9.489795E-04
5.570E-09	1.507939E-03
7.190E-09	2.356799E-03
9.280E-09	3.614800E-03
1.200E-08	5.428250E-03
1.550E-08	7.886431E-03
2.000E-08	1.099084E-02
2.580E-08	1.526206E-02
3.340E-08	1.915025E-02
4.310E-08	2.211713E-02
5.570E-08	2.311778E-02
7.190E-08	2.136442E-02
9.280E-08	1.710309E-02
1.200E-07	1.176463E-02
1.550E-07	7.372510E-03
2.000E-07	4.946455E-03
2.580E-07	4.039485E-03
3.340E-07	3.743461E-03
4.310E-07	3.583355E-03
5.570E-07	3.441762E-03
7.190E-07	3.308557E-03
9.280E-07	3.182293E-03
1.200E-06	3.061649E-03
1.550E-06	2.947681E-03
2.000E-06	2.839934E-03
2.580E-06	2.737706E-03
3.340E-06	2.639268E-03
4.310E-06	2.546916E-03
5.570E-06	2.458622E-03
7.190E-06	2.375053E-03
9.280E-06	2.295596E-03
1.200E-05	2.219442E-03
1.550E-05	2.147279E-03
2.000E-05	2.078841E-03
2.580E-05	2.013702E-03
3.340E-05	1.950774E-03
4.310E-05	1.891541E-03
5.570E-05	1.834720E-03
7.190E-05	1.780754E-03
9.280E-05	1.729263E-03
1.200E-04	1.679733E-03
1.550E-04	1.632620E-03
2.000E-04	1.587763E-03
2.580E-04	1.544889E-03
3.340E-04	1.503287E-03
4.310E-04	1.463937E-03
5.570E-04	1.425990E-03
7.190E-04	1.389736E-03
9.280E-04	1.354914E-03
1.200E-03	1.321185E-03
1.550E-03	1.288803E-03
2.000E-03	1.257649E-03
2.580E-03	1.227507E-03
3.340E-03	1.197825E-03
4.310E-03	1.169256E-03
5.570E-03	1.141133E-03
7.190E-03	1.113614E-03
9.280E-03	1.086458E-03
1.200E-02	1.059353E-03
1.550E-02	1.032568E-03
2.000E-02	1.006151E-03
2.580E-02	9.802748E-04
3.340E-02	9.551690E-04
4.310E-02	9.326472E-04
5.570E-02	9.143088E-04
7.190E-02	9.036680E-04
9.280E-02	9.057158E-04
1.200E-01	9.281222E-04
1.550E-01	9.803521E-04
2.000E-01	1.073353E-03
2.580E-01	1.217255E-03
3.340E-01	1.419216E-03
4.310E-01	1.663930E-03
5.570E-01	1.923356E-03
7.190E-01	2.140573E-03
9.280E-01	2.255395E-03
1.200E+00	2.229842E-03
1.550E+00	2.077253E-03
2.000E+00	1.853845E-03
2.580E+00	1.609273E-03
3.340E+00	1.359591E-03
4.310E+00	1.125262E-03
5.570E+00	9.300305E-04
7.190E+00	8.034267E-04
9.280E+00	7.702155E-04
1.200E+01	8.719285E-04
1.550E+01	1.150866E-03
2.000E+01	1.623078E-03
2.580E+01	2.280917E-03
3.340E+01	3.108803E-03
4.310E+01	4.021279E-03
5.570E+01	4.913067E-03
7.190E+01	5.596527E-03
9.280E+01	5.870427E-03
1.200E+02	5.563072E-03
1.550E+02	4.641555E-03
2.000E+02	3.301080E-03
2.580E+02	1.921353E-03
3.340E+02	8.612817E-04
4.310E+02	2.860537E-04
5.570E+02	6.381071E-05
7.190E+02	8.656319E-06
9.280E+02	6.077764E-07
1.200E+03	1.743087E-08
1.550E+03	1.621506E-10
2.000E+03	3.529927E-13
2.580E+03	1.158882E-16
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

