 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5485.22 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0141

 DETECTORS		DIRECTIONS
 D1         101		R           78
 D2         137		RL         111
 D3         150		FL         103
 D4         127		F          174
 D5         110		FR         107
 D6          77		RR         111

------------------ INTERNAL DATA REF ------------------------
4-1
0.75;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.103	uSv h^-1	(11.3%)
 H*(10)_i	:	0.157	uSv     	(11.3%)
 h*(10)		:	85.7	pSv cm^2	(6.0%)
 phi		:	0.335	cm^-2 s^-1 	(9.5%)
 thermal   	:	0.4102
 epithermal	:	0.3598
 fast      	:	0.2300
-------------------------------------------------------------
 Average experimental data uncertainty	:	9.41%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	5.606867E-04
2.580E-09	9.118922E-04
3.340E-09	1.483034E-03
4.310E-09	2.376631E-03
5.570E-09	3.776494E-03
7.190E-09	5.902385E-03
9.280E-09	9.052931E-03
1.200E-08	1.359455E-02
1.550E-08	1.975083E-02
2.000E-08	2.752555E-02
2.580E-08	3.922785E-02
3.340E-08	4.957101E-02
4.310E-08	5.788325E-02
5.570E-08	6.159501E-02
7.190E-08	5.863278E-02
9.280E-08	4.932641E-02
1.200E-07	3.686879E-02
1.550E-07	2.617965E-02
2.000E-07	2.009324E-02
2.580E-07	1.774761E-02
3.340E-07	1.692376E-02
4.310E-07	1.643734E-02
5.570E-07	1.599337E-02
7.190E-07	1.556795E-02
9.280E-07	1.515757E-02
1.200E-06	1.475861E-02
1.550E-06	1.437523E-02
2.000E-06	1.400664E-02
2.580E-06	1.365114E-02
3.340E-06	1.330319E-02
4.310E-06	1.297147E-02
5.570E-06	1.264932E-02
7.190E-06	1.233966E-02
9.280E-06	1.204076E-02
1.200E-05	1.175001E-02
1.550E-05	1.147045E-02
2.000E-05	1.120152E-02
2.580E-05	1.094198E-02
3.340E-05	1.068781E-02
4.310E-05	1.044535E-02
5.570E-05	1.020973E-02
7.190E-05	9.983098E-03
9.280E-05	9.764181E-03
1.200E-04	9.551051E-03
1.550E-04	9.345931E-03
2.000E-04	9.148395E-03
2.580E-04	8.957501E-03
3.340E-04	8.770246E-03
4.310E-04	8.591250E-03
5.570E-04	8.416849E-03
7.190E-04	8.248542E-03
9.280E-04	8.085270E-03
1.200E-03	7.926192E-03
1.550E-03	7.771763E-03
2.000E-03	7.622009E-03
2.580E-03	7.476127E-03
3.340E-03	7.331754E-03
4.310E-03	7.192535E-03
5.570E-03	7.055971E-03
7.190E-03	6.924028E-03
9.280E-03	6.797472E-03
1.200E-02	6.678069E-03
1.550E-02	6.572184E-03
2.000E-02	6.488095E-03
2.580E-02	6.439315E-03
3.340E-02	6.448537E-03
4.310E-02	6.549987E-03
5.570E-02	6.794907E-03
7.190E-02	7.249258E-03
9.280E-02	7.997857E-03
1.200E-01	9.140737E-03
1.550E-01	1.073280E-02
2.000E-01	1.275973E-02
2.580E-01	1.506815E-02
3.340E-01	1.731865E-02
4.310E-01	1.885681E-02
5.570E-01	1.903113E-02
7.190E-01	1.736254E-02
9.280E-01	1.394022E-02
1.200E+00	9.519754E-03
1.550E+00	5.368249E-03
2.000E+00	2.444368E-03
2.580E+00	9.383803E-04
3.340E+00	4.354092E-04
4.310E+00	4.396347E-04
5.570E+00	6.677137E-04
7.190E+00	1.063015E-03
9.280E+00	1.677414E-03
1.200E+01	2.614271E-03
1.550E+01	3.984421E-03
2.000E+01	5.906118E-03
2.580E+01	8.463076E-03
3.340E+01	1.166300E-02
4.310E+01	1.513721E-02
5.570E+01	1.830551E-02
7.190E+01	2.016623E-02
9.280E+01	1.973944E-02
1.200E+02	1.657735E-02
1.550E+02	1.146113E-02
2.000E+02	6.197942E-03
2.580E+02	2.452320E-03
3.340E+02	6.397414E-04
4.310E+02	1.031895E-04
5.570E+02	8.976838E-06
7.190E+02	3.895513E-07
9.280E+02	7.538386E-09
1.200E+03	5.106318E-11
1.550E+03	8.634213E-14
2.000E+03	2.186278E-17
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

