[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	39.49	0.329	100.0%	0.004	100.0%	202.9	44.9%	0.450	100.0%	100.00%	32.3%	12.3%	55.4%	[1-0.43 0]
1	H	(3)	59.18	0.217	100.0%	0.004	100.0%	203.2	57.0%	0.297	100.0%	100.00%	32.4%	12.4%	55.2%	[1-0.43 0]
2	H	(3)	80.04	0.159	100.0%	0.004	100.0%	201.7	68.9%	0.219	100.0%	100.00%	32.7%	12.5%	54.8%	[1-0.43 0]
3	H	(3)	99.75	0.114	100.0%	0.003	100.0%	201.7	81.1%	0.157	100.0%	100.00%	32.7%	12.5%	54.8%	[1-0.43 0]
4	H	(3)	119.46	0.095	100.0%	0.003	100.0%	201.7	92.6%	0.131	100.0%	100.00%	32.6%	12.6%	54.8%	[1-0.43 0]
5	H	(3)	139.16	0.081	100.0%	0.003	100.0%	201.6	100.0%	0.111	100.0%	100.00%	32.7%	12.6%	54.7%	[1-0.43 0]
6	H	(3)	160.02	0.100	100.0%	0.004	100.0%	202.0	100.0%	0.138	100.0%	95.12%	32.4%	12.6%	55.0%	[1-0.43 0]
7	H	(3)	179.73	0.090	100.0%	0.004	100.0%	203.3	100.0%	0.123	100.0%	95.12%	32.2%	12.5%	55.4%	[1-0.43 0]
8	H	(3)	199.43	0.082	100.0%	0.005	100.0%	205.2	100.0%	0.111	100.0%	95.12%	32.1%	12.1%	55.8%	[1-0.43 0]
9	H	(3)	220.29	0.075	100.0%	0.005	100.0%	206.0	100.0%	0.101	100.0%	95.12%	32.0%	12.0%	56.0%	[1-0.43 0]
10	H	(3)	239.99	0.069	100.0%	0.005	100.0%	206.9	100.0%	0.093	100.0%	95.12%	31.9%	11.7%	56.4%	[1-0.43 0]
11	H	(3)	259.70	0.064	100.0%	0.005	100.0%	207.3	100.0%	0.086	100.0%	95.12%	32.4%	11.3%	56.3%	[1-0.43 0]
12	H	(3)	279.37	0.060	100.0%	0.005	100.0%	207.8	100.0%	0.080	100.0%	95.12%	32.3%	11.4%	56.3%	[1-0.43 0]
13	H	(3)	300.23	0.055	100.0%	0.005	100.0%	207.0	100.0%	0.074	100.0%	95.12%	32.2%	11.6%	56.2%	[1-0.43 0]
14	H	(3)	319.92	0.052	100.0%	0.005	100.0%	207.0	100.0%	0.069	100.0%	95.12%	32.2%	11.6%	56.2%	[1-0.43 0]
15	H	(3)	339.60	0.049	100.0%	0.005	100.0%	207.9	100.0%	0.065	100.0%	95.12%	31.9%	11.7%	56.4%	[1-0.43 0]
16	H	(3)	360.47	0.046	100.0%	0.005	100.0%	209.1	100.0%	0.062	100.0%	95.12%	31.3%	12.1%	56.6%	[1-0.43 0]
17	H	(3)	380.18	0.044	100.0%	0.005	100.0%	208.7	100.0%	0.058	100.0%	95.12%	31.3%	12.0%	56.7%	[1-0.43 0]
18	H	(3)	399.89	0.041	100.0%	0.005	100.0%	208.5	100.0%	0.055	100.0%	95.12%	31.5%	12.0%	56.6%	[1-0.43 0]
19	H	(3)	419.60	0.039	100.0%	0.005	100.0%	209.1	100.0%	0.052	100.0%	95.12%	31.3%	12.1%	56.7%	[1-0.43 0]
20	H	(3)	440.46	0.029	100.0%	0.004	100.0%	192.7	100.0%	0.042	100.0%	95.12%	31.0%	16.7%	52.4%	[1-0.43 0]
21	H	(3)	460.18	0.025	100.0%	0.003	100.0%	175.9	100.0%	0.040	100.0%	95.12%	30.6%	21.4%	48.1%	[1-0.43 0]
22	H	(3)	479.87	0.022	100.0%	0.003	100.0%	161.1	100.0%	0.038	100.0%	95.12%	29.9%	26.0%	44.1%	[1-0.43 0]
23	H	(3)	499.58	0.019	100.0%	0.003	100.0%	145.9	100.0%	0.036	100.0%	95.12%	29.6%	30.3%	40.1%	[1-0.43 0]
24	H	(3)	520.43	0.016	100.0%	0.002	100.0%	130.1	100.0%	0.035	100.0%	95.12%	29.1%	34.9%	36.0%	[1-0.43 0]
25	H	(3)	540.14	0.016	100.0%	0.002	100.0%	130.0	100.0%	0.033	100.0%	95.12%	29.1%	34.9%	36.0%	[1-0.43 0]
26	H	(3)	559.85	0.015	100.0%	0.002	100.0%	130.8	100.0%	0.032	100.0%	95.12%	28.8%	35.0%	36.2%	[1-0.43 0]
27	H	(3)	580.69	0.015	100.0%	0.002	100.0%	130.5	100.0%	0.031	100.0%	95.12%	28.9%	35.0%	36.1%	[1-0.43 0]
28	H	(3)	600.39	0.016	100.0%	0.003	100.0%	132.9	100.0%	0.034	100.0%	90.24%	27.7%	35.5%	36.8%	[1-0.43 0]
29	H	(3)	620.10	0.016	100.0%	0.003	100.0%	136.4	100.0%	0.033	100.0%	90.24%	27.3%	35.0%	37.7%	[1-0.43 0]
30	H	(3)	639.80	0.016	100.0%	0.003	100.0%	138.7	100.0%	0.032	100.0%	90.24%	26.5%	35.0%	38.4%	[1-0.43 0]
31	H	(3)	660.67	0.014	100.0%	0.003	100.0%	140.8	100.0%	0.028	100.0%	90.24%	26.2%	34.9%	38.9%	[1-0.43 0]
32	H	(3)	680.37	0.014	100.0%	0.003	100.0%	143.6	100.0%	0.028	100.0%	90.24%	25.4%	34.9%	39.7%	[1-0.43 0]
33	H	(3)	700.10	0.014	100.0%	0.003	100.0%	144.2	100.0%	0.027	100.0%	90.24%	25.5%	34.7%	39.9%	[1-0.43 0]
34	H	(3)	719.81	0.013	100.0%	0.003	100.0%	143.5	100.0%	0.026	100.0%	90.24%	25.1%	35.2%	39.7%	[1-0.43 0]
35	H	(3)	740.66	0.013	100.0%	0.003	100.0%	145.2	100.0%	0.025	100.0%	90.24%	25.3%	34.8%	39.9%	[1-0.43 0]
36	H	(3)	760.36	0.013	100.0%	0.003	100.0%	145.5	100.0%	0.025	100.0%	90.24%	25.2%	34.8%	40.0%	[1-0.43 0]
37	H	(3)	780.05	0.013	100.0%	0.003	100.0%	146.2	100.0%	0.024	100.0%	90.24%	25.0%	34.8%	40.2%	[1-0.43 0]
38	H	(3)	800.90	0.012	100.0%	0.003	100.0%	146.9	100.0%	0.024	100.0%	90.24%	25.2%	34.4%	40.4%	[1-0.43 0]
39	H	(3)	820.59	0.012	100.0%	0.003	100.0%	147.0	100.0%	0.023	100.0%	90.24%	25.2%	34.4%	40.4%	[1-0.43 0]
40	H	(3)	840.34	0.012	100.0%	0.003	100.0%	145.7	100.0%	0.022	100.0%	90.24%	25.1%	34.7%	40.2%	[1-0.43 0]
41	H	(3)	860.05	0.011	100.0%	0.003	100.0%	145.2	100.0%	0.022	100.0%	90.24%	25.2%	34.7%	40.1%	[1-0.43 0]
42	H	(3)	880.90	0.011	100.0%	0.003	100.0%	144.6	100.0%	0.021	100.0%	90.24%	25.4%	34.7%	39.9%	[1-0.43 0]
43	H	(3)	900.61	0.011	100.0%	0.003	100.0%	144.3	100.0%	0.021	100.0%	90.24%	25.3%	35.1%	39.7%	[1-0.43 0]
44	H	(3)	920.31	0.011	100.0%	0.003	100.0%	144.2	100.0%	0.020	100.0%	90.24%	25.2%	35.1%	39.7%	[1-0.43 0]
45	H	(3)	939.99	0.010	100.0%	0.003	100.0%	144.2	100.0%	0.020	100.0%	90.24%	25.2%	35.1%	39.7%	[1-0.43 0]
46	H	(3)	960.87	0.011	100.0%	0.003	100.0%	147.7	100.0%	0.020	100.0%	88.07%	25.0%	34.5%	40.5%	[1-0.43 0]
47	H	(3)	980.57	0.012	100.0%	0.003	100.0%	148.1	100.0%	0.023	100.0%	83.19%	24.9%	34.4%	40.7%	[1-0.43 0]
48	H	(3)	1000.29	0.012	100.0%	0.003	100.0%	148.4	100.0%	0.023	100.0%	83.19%	24.6%	34.5%	40.9%	[1-0.43 0]
49	H	(3)	1021.17	0.012	100.0%	0.003	100.0%	149.1	100.0%	0.022	100.0%	83.19%	24.7%	34.3%	41.0%	[1-0.43 0]
50	H	(3)	1040.87	0.012	100.0%	0.003	100.0%	150.1	100.0%	0.022	100.0%	83.19%	24.3%	34.4%	41.3%	[1-0.43 0]
51	H	(3)	1060.58	0.011	100.0%	0.003	100.0%	148.2	100.0%	0.021	100.0%	83.19%	24.5%	34.7%	40.8%	[1-0.43 0]
52	H	(3)	1080.31	0.011	100.0%	0.003	100.0%	148.1	100.0%	0.021	100.0%	83.19%	24.4%	35.0%	40.7%	[1-0.43 0]
53	H	(3)	1101.18	0.011	100.0%	0.003	100.0%	147.8	100.0%	0.020	100.0%	83.19%	24.4%	35.0%	40.6%	[1-0.43 0]
54	H	(3)	1120.88	0.011	100.0%	0.003	100.0%	148.1	100.0%	0.020	100.0%	83.19%	24.3%	35.0%	40.7%	[1-0.43 0]
55	H	(3)	1140.60	0.011	100.0%	0.003	100.0%	148.3	100.0%	0.020	100.0%	83.19%	24.5%	34.7%	40.7%	[1-0.43 0]
56	H	(3)	1160.32	0.010	100.0%	0.003	100.0%	148.4	100.0%	0.020	100.0%	83.19%	24.3%	34.9%	40.9%	[1-0.43 0]
57	H	(3)	1181.16	0.011	100.0%	0.004	100.0%	151.0	100.0%	0.020	100.0%	81.03%	24.4%	33.9%	41.7%	[1-0.43 0]
58	H	(3)	1200.87	0.011	100.0%	0.004	100.0%	153.2	100.0%	0.020	100.0%	81.03%	24.7%	32.9%	42.4%	[1-0.43 0]
59	H	(3)	1220.56	0.011	100.0%	0.004	100.0%	155.2	100.0%	0.020	100.0%	81.03%	25.2%	31.8%	43.0%	[1-0.43 0]
60	H	(3)	1241.42	0.011	100.0%	0.004	100.0%	157.2	100.0%	0.020	100.0%	81.03%	25.0%	31.2%	43.8%	[1-0.43 0]
61	H	(3)	1261.13	0.011	100.0%	0.004	100.0%	157.9	100.0%	0.020	100.0%	81.03%	25.5%	30.4%	44.1%	[1-0.43 0]
62	H	(3)	1280.82	0.011	100.0%	0.004	100.0%	157.0	100.0%	0.020	100.0%	81.03%	25.7%	30.5%	43.8%	[1-0.43 0]
63	H	(3)	1300.53	0.011	100.0%	0.004	100.0%	157.4	100.0%	0.019	100.0%	81.03%	25.4%	30.6%	44.0%	[1-0.43 0]
64	H	(3)	1321.40	0.011	100.0%	0.004	100.0%	156.5	100.0%	0.019	100.0%	81.03%	25.4%	30.9%	43.7%	[1-0.43 0]
65	H	(3)	1341.12	0.010	100.0%	0.004	100.0%	155.7	100.0%	0.019	100.0%	81.03%	25.7%	30.9%	43.5%	[1-0.43 0]
66	H	(3)	1360.83	0.010	100.0%	0.004	100.0%	157.2	100.0%	0.019	100.0%	81.03%	26.1%	30.2%	43.7%	[1-0.43 0]
67	H	(3)	1380.54	0.010	100.0%	0.004	100.0%	157.4	100.0%	0.018	100.0%	81.03%	26.0%	30.2%	43.8%	[1-0.43 0]
68	H	(3)	1401.44	0.010	100.0%	0.004	100.0%	157.0	100.0%	0.018	100.0%	81.03%	25.8%	30.4%	43.8%	[1-0.43 0]
69	H	(3)	1421.14	0.010	100.0%	0.004	100.0%	158.3	100.0%	0.018	100.0%	81.03%	25.8%	30.1%	44.1%	[1-0.43 0]
70	H	(3)	1440.84	0.010	100.0%	0.004	100.0%	159.0	100.0%	0.018	100.0%	81.03%	25.7%	30.0%	44.2%	[1-0.43 0]
71	H	(3)	1461.70	0.011	100.0%	0.004	100.0%	166.9	100.0%	0.018	100.0%	79.74%	25.9%	27.3%	46.8%	[1-0.43 0]
72	H	(3)	1481.40	0.012	100.0%	0.005	100.0%	176.1	100.0%	0.019	100.0%	79.74%	25.3%	25.0%	49.7%	[1-0.43 0]
73	H	(3)	1501.10	0.013	100.0%	0.005	100.0%	184.1	100.0%	0.019	100.0%	79.74%	26.9%	20.8%	52.3%	[1-0.43 0]
74	H	(3)	1520.80	0.014	100.0%	0.006	100.0%	185.0	100.0%	0.021	100.0%	74.86%	26.3%	21.3%	52.4%	[1-0.43 0]
75	H	(3)	1541.66	0.014	100.0%	0.006	100.0%	185.5	100.0%	0.021	100.0%	74.86%	26.0%	21.4%	52.6%	[1-0.43 0]
76	H	(3)	1561.38	0.013	100.0%	0.006	100.0%	177.6	100.0%	0.020	100.0%	74.86%	25.2%	24.8%	50.0%	[1-0.43 0]
77	H	(3)	1581.07	0.012	100.0%	0.005	100.0%	168.8	100.0%	0.019	100.0%	74.86%	25.5%	27.3%	47.2%	[1-0.43 0]
78	H	(3)	1600.78	0.011	100.0%	0.005	100.0%	161.0	100.0%	0.018	100.0%	74.86%	24.3%	31.1%	44.6%	[1-0.43 0]
79	H	(3)	1621.66	0.010	100.0%	0.005	100.0%	159.9	100.0%	0.018	100.0%	74.86%	24.6%	31.0%	44.4%	[1-0.43 0]
80	H	(3)	1641.40	0.010	100.0%	0.005	100.0%	159.7	100.0%	0.018	100.0%	74.86%	24.5%	31.2%	44.3%	[1-0.43 0]
81	H	(3)	1661.12	0.010	100.0%	0.005	100.0%	160.5	100.0%	0.018	100.0%	74.86%	24.6%	31.0%	44.5%	[1-0.43 0]
82	H	(3)	1680.82	0.010	100.0%	0.005	100.0%	161.2	100.0%	0.017	100.0%	74.86%	24.8%	30.6%	44.6%	[1-0.43 0]
