 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5485.20 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0087

 DETECTORS		DIRECTIONS
 D1          92		R           91
 D2         130		RL         117
 D3         148		FL         105
 D4         140		F          132
 D5         103		FR         132
 D6          82		RR         102

------------------ INTERNAL DATA REF ------------------------
4-1
0.80;834-2;1-0.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.039	uSv h^-1	(10.9%)
 H*(10)_i	:	0.059	uSv     	(10.9%)
 h*(10)		:	40.3	pSv cm^2	(5.1%)
 phi		:	0.266	cm^-2 s^-1 	(9.6%)
 thermal   	:	0.2390
 epithermal	:	0.6548
 fast      	:	0.1062
-------------------------------------------------------------
 Average experimental data uncertainty	:	9.46%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	7.973636E-05
2.580E-09	1.296820E-04
3.340E-09	2.109052E-04
4.310E-09	3.379854E-04
5.570E-09	5.370627E-04
7.190E-09	8.393899E-04
9.280E-09	1.287435E-03
1.200E-08	1.933308E-03
1.550E-08	2.808805E-03
2.000E-08	3.914463E-03
2.580E-08	8.444730E-03
3.340E-08	1.156011E-02
4.310E-08	1.509970E-02
5.570E-08	1.879924E-02
7.190E-08	2.207019E-02
9.280E-08	2.419180E-02
1.200E-07	2.461304E-02
1.550E-07	2.369963E-02
2.000E-07	2.262250E-02
2.580E-07	2.193435E-02
3.340E-07	2.145915E-02
4.310E-07	2.104422E-02
5.570E-07	2.064099E-02
7.190E-07	2.024944E-02
9.280E-07	1.986751E-02
1.200E-06	1.949206E-02
1.550E-06	1.912726E-02
2.000E-06	1.877266E-02
2.580E-06	1.842690E-02
3.340E-06	1.808476E-02
4.310E-06	1.775500E-02
5.570E-06	1.743126E-02
7.190E-06	1.711669E-02
9.280E-06	1.680976E-02
1.200E-05	1.650796E-02
1.550E-05	1.621464E-02
2.000E-05	1.592944E-02
2.580E-05	1.565124E-02
3.340E-05	1.537585E-02
4.310E-05	1.511032E-02
5.570E-05	1.484951E-02
7.190E-05	1.459593E-02
9.280E-05	1.434835E-02
1.200E-04	1.410470E-02
1.550E-04	1.386765E-02
2.000E-04	1.363688E-02
2.580E-04	1.341142E-02
3.340E-04	1.318779E-02
4.310E-04	1.297163E-02
5.570E-04	1.275862E-02
7.190E-04	1.255068E-02
9.280E-04	1.234659E-02
1.200E-03	1.214617E-02
1.550E-03	1.194892E-02
2.000E-03	1.175554E-02
2.580E-03	1.156523E-02
3.340E-03	1.137516E-02
4.310E-03	1.119056E-02
5.570E-03	1.100879E-02
7.190E-03	1.083339E-02
9.280E-03	1.066666E-02
1.200E-02	1.051259E-02
1.550E-02	1.038118E-02
2.000E-02	1.028398E-02
2.580E-02	1.023620E-02
3.340E-02	1.025725E-02
4.310E-02	1.036457E-02
5.570E-02	1.056764E-02
7.190E-02	1.084973E-02
9.280E-02	1.115779E-02
1.200E-01	1.139060E-02
1.550E-01	1.139945E-02
2.000E-01	1.103462E-02
2.580E-01	1.018917E-02
3.340E-01	8.825257E-03
4.310E-01	7.088142E-03
5.570E-01	5.182828E-03
7.190E-01	3.413005E-03
9.280E-01	1.995854E-03
1.200E+00	1.017172E-03
1.550E+00	4.517040E-04
2.000E+00	1.800318E-04
2.580E+00	7.822981E-05
3.340E+00	6.091186E-05
4.310E+00	8.432366E-05
5.570E+00	1.346904E-04
7.190E+00	2.161822E-04
9.280E+00	3.434990E-04
1.200E+01	5.401125E-04
1.550E+01	8.325754E-04
2.000E+01	1.252129E-03
2.580E+01	1.827722E-03
3.340E+01	2.579907E-03
4.310E+01	3.450974E-03
5.570E+01	4.337084E-03
7.190E+01	5.014938E-03
9.280E+01	5.216314E-03
1.200E+02	4.728615E-03
1.550E+02	3.592449E-03
2.000E+02	2.179559E-03
2.580E+02	9.905701E-04
3.340E+02	3.047841E-04
4.310E+02	5.888746E-05
5.570E+02	6.092380E-06
7.190E+02	2.921305E-07
9.280E+02	5.247580E-09
1.200E+03	2.617894E-11
1.550E+03	2.785135E-14
2.000E+03	3.668598E-18
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

