[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.74	0.605	100.0%	0.003	100.0%	202.3	25.7%	0.831	100.0%	100.00%	32.3%	12.7%	55.0%	[1-0.43 0]
1	H	(3)	39.41	0.350	100.0%	0.004	100.0%	170.0	24.8%	0.572	100.0%	88.07%	41.4%	12.5%	46.1%	[1-0.43 0]
2	H	(3)	59.09	0.225	100.0%	0.004	100.0%	155.4	26.0%	0.403	100.0%	85.91%	42.4%	15.6%	41.9%	[1-0.43 0]
3	H	(3)	79.34	0.193	100.0%	0.004	100.0%	148.3	26.5%	0.362	100.0%	79.74%	45.1%	15.0%	40.0%	[1-0.43 0]
4	H	(3)	99.00	0.191	100.0%	0.005	100.0%	136.5	26.4%	0.389	100.0%	71.82%	46.7%	16.7%	36.6%	[1-0.43 0]
5	H	(3)	119.86	0.138	100.0%	0.005	100.0%	113.3	27.2%	0.338	100.0%	71.82%	50.1%	19.8%	30.1%	[1-0.43 0]
6	H	(3)	139.55	0.106	100.0%	0.004	100.0%	100.1	28.9%	0.295	100.0%	70.53%	48.1%	25.5%	26.4%	[1-0.43 0]
7	H	(3)	159.23	0.080	100.0%	0.004	100.0%	85.3	26.8%	0.262	100.0%	62.19%	45.1%	32.3%	22.6%	[1-0.43 0]
8	H	(3)	180.08	0.090	100.0%	0.004	100.0%	92.8	21.8%	0.268	100.0%	56.43%	41.2%	34.2%	24.6%	[1-0.43 0]
9	H	(3)	199.77	0.091	100.0%	0.005	100.0%	100.6	18.9%	0.250	100.0%	55.14%	39.2%	34.0%	26.8%	[1-0.43 0]
10	H	(3)	219.46	0.113	80.8%	0.007	80.8%	116.6	15.4%	0.270	79.3%	51.04%	37.8%	30.9%	31.4%	[1-0.43 0]
11	H	(3)	239.16	0.102	61.3%	0.007	61.3%	113.8	12.6%	0.249	60.0%	50.13%	34.7%	34.4%	30.8%	[1-0.43 0]
12	H	(3)	260.03	0.101	61.6%	0.007	61.6%	118.3	12.8%	0.236	60.2%	48.98%	33.1%	34.5%	32.4%	[1-0.43 0]
13	H	(3)	279.73	0.073	61.4%	0.006	61.4%	93.9	12.4%	0.216	60.1%	48.57%	29.5%	44.3%	26.2%	[1-0.43 0]
14	H	(3)	300.61	0.071	60.5%	0.006	60.5%	93.8	12.0%	0.209	59.3%	47.04%	27.0%	46.7%	26.3%	[1-0.43 0]
15	H	(3)	319.16	0.066	55.2%	0.006	55.2%	86.3	11.6%	0.213	53.9%	45.28%	24.3%	51.3%	24.4%	[1-0.43 0]
16	H	(3)	340.03	0.074	56.2%	0.007	56.2%	99.2	11.7%	0.209	54.9%	44.78%	25.4%	46.7%	28.0%	[1-0.43 0]
17	H	(3)	359.72	0.083	53.4%	0.008	53.4%	106.1	11.0%	0.218	52.2%	43.62%	30.0%	40.7%	29.2%	[1-0.43 0]
