 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5484.12 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0152

 DETECTORS		DIRECTIONS
 D1        1056		R          736
 D2        1218		RL         881
 D3        1318		FL         556
 D4        1090		F         1287
 D5         845		FR        1070
 D6         570		RR        1483

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;835-2;1-0.93
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.273	uSv h^-1	(9.9%)
 H*(10)_i	:	0.415	uSv     	(9.9%)
 h*(10)		:	29.3	pSv cm^2	(8.9%)
 phi		:	2.584	cm^-2 s^-1 	(4.3%)
 thermal   	:	0.4790
 epithermal	:	0.4577
 fast      	:	0.0633
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.23%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	4.894301E-03
2.580E-09	7.960016E-03
3.340E-09	1.294558E-02
4.310E-09	2.074590E-02
5.570E-09	3.296547E-02
7.190E-09	5.152263E-02
9.280E-09	7.902413E-02
1.200E-08	1.186685E-01
1.550E-08	1.724074E-01
2.000E-08	2.402738E-01
2.580E-08	3.447970E-01
3.340E-08	4.365002E-01
4.310E-08	5.111165E-01
5.570E-08	5.463225E-01
7.190E-08	5.237799E-01
9.280E-08	4.456993E-01
1.200E-07	3.390457E-01
1.550E-07	2.464275E-01
2.000E-07	1.932421E-01
2.580E-07	1.725640E-01
3.340E-07	1.651506E-01
4.310E-07	1.606764E-01
5.570E-07	1.565632E-01
7.190E-07	1.526056E-01
9.280E-07	1.487728E-01
1.200E-06	1.450319E-01
1.550E-06	1.414228E-01
2.000E-06	1.379395E-01
2.580E-06	1.345665E-01
3.340E-06	1.312522E-01
4.310E-06	1.280800E-01
5.570E-06	1.249871E-01
7.190E-06	1.220023E-01
9.280E-06	1.191099E-01
1.200E-05	1.162850E-01
1.550E-05	1.135580E-01
2.000E-05	1.109242E-01
2.580E-05	1.083720E-01
3.340E-05	1.058625E-01
4.310E-05	1.034587E-01
5.570E-05	1.011131E-01
7.190E-05	9.884760E-02
9.280E-05	9.665002E-02
1.200E-04	9.450144E-02
1.550E-04	9.242474E-02
2.000E-04	9.041620E-02
2.580E-04	8.846678E-02
3.340E-04	8.654612E-02
4.310E-04	8.470204E-02
5.570E-04	8.289736E-02
7.190E-04	8.114804E-02
9.280E-04	7.944363E-02
1.200E-03	7.778355E-02
1.550E-03	7.616269E-02
2.000E-03	7.458787E-02
2.580E-03	7.305330E-02
3.340E-03	7.153805E-02
4.310E-03	7.008609E-02
5.570E-03	6.867957E-02
7.190E-03	6.735054E-02
9.280E-03	6.612259E-02
1.200E-02	6.503444E-02
1.550E-02	6.416931E-02
2.000E-02	6.361874E-02
2.580E-02	6.349250E-02
3.340E-02	6.391116E-02
4.310E-02	6.492375E-02
5.570E-02	6.645787E-02
7.190E-02	6.815657E-02
9.280E-02	6.934690E-02
1.200E-01	6.906996E-02
1.550E-01	6.639989E-02
2.000E-01	6.098555E-02
2.580E-01	5.328933E-02
3.340E-01	4.420530E-02
4.310E-01	3.492601E-02
5.570E-01	2.586156E-02
7.190E-01	1.758973E-02
9.280E-01	1.068828E-02
1.200E+00	5.639639E-03
1.550E+00	2.579855E-03
2.000E+00	1.074426E-03
2.580E+00	5.254624E-04
3.340E+00	4.769151E-04
4.310E+00	6.899884E-04
5.570E+00	1.103121E-03
7.190E+00	1.761777E-03
9.280E+00	2.780648E-03
1.200E+01	4.334405E-03
1.550E+01	6.607492E-03
2.000E+01	9.796968E-03
2.580E+01	1.404329E-02
3.340E+01	1.936189E-02
4.310E+01	2.514389E-02
5.570E+01	3.042932E-02
7.190E+01	3.355464E-02
9.280E+01	3.288562E-02
1.200E+02	2.766288E-02
1.550E+02	1.916462E-02
2.000E+02	1.038741E-02
2.580E+02	4.116019E-03
3.340E+02	1.070481E-03
4.310E+02	1.694696E-04
5.570E+02	1.381686E-05
7.190E+02	5.016060E-07
9.280E+02	6.545418E-09
1.200E+03	2.276050E-11
1.550E+03	1.622952E-14
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

