 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 59.20 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0149

 DETECTORS		DIRECTIONS
 D1           2		R            1
 D2           0		RL           0
 D3           0		FL           0
 D4           1		F            2
 D5           0		FR           0
 D6           0		RR           0

------------------ INTERNAL DATA REF ------------------------
1-0
0.75;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.076	uSv h^-1	>(100.1%)
 H*(10)_i	:	0.001	uSv     	>(100.1%)
 h*(10)		:	82.9	pSv cm^2	(54.6%)
 phi		:	0.255	cm^-2 s^-1 	>(100.1%)
 thermal   	:	0.2139
 epithermal	:	0.5806
 fast      	:	0.2055
-------------------------------------------------------------
 Average experimental data uncertainty	:	95.12%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.583819E-04
2.580E-09	2.575898E-04
3.340E-09	4.189249E-04
4.310E-09	6.713469E-04
5.570E-09	1.066778E-03
7.190E-09	1.667296E-03
9.280E-09	2.557257E-03
1.200E-08	3.840166E-03
1.550E-08	5.579184E-03
2.000E-08	7.775373E-03
2.580E-08	1.183550E-02
3.340E-08	1.525065E-02
4.310E-08	1.834258E-02
5.570E-08	2.044667E-02
7.190E-08	2.091685E-02
9.280E-08	1.961501E-02
1.200E-07	1.708981E-02
1.550E-07	1.455730E-02
2.000E-07	1.303810E-02
2.580E-07	1.251627E-02
3.340E-07	1.241883E-02
4.310E-07	1.241031E-02
5.570E-07	1.240999E-02
7.190E-07	1.240997E-02
9.280E-07	1.240995E-02
1.200E-06	1.240993E-02
1.550E-06	1.240990E-02
2.000E-06	1.240987E-02
2.580E-06	1.240982E-02
3.340E-06	1.240976E-02
4.310E-06	1.240968E-02
5.570E-06	1.240958E-02
7.190E-06	1.240944E-02
9.280E-06	1.240927E-02
1.200E-05	1.240905E-02
1.550E-05	1.240877E-02
2.000E-05	1.240840E-02
2.580E-05	1.240793E-02
3.340E-05	1.240731E-02
4.310E-05	1.240653E-02
5.570E-05	1.240550E-02
7.190E-05	1.240419E-02
9.280E-05	1.240249E-02
1.200E-04	1.240028E-02
1.550E-04	1.239744E-02
2.000E-04	1.239379E-02
2.580E-04	1.238908E-02
3.340E-04	1.238291E-02
4.310E-04	1.237505E-02
5.570E-04	1.236484E-02
7.190E-04	1.235173E-02
9.280E-04	1.233484E-02
1.200E-03	1.233306E-02
1.550E-03	1.231143E-02
2.000E-03	1.228392E-02
2.580E-03	1.224891E-02
3.340E-03	1.220367E-02
4.310E-03	1.214685E-02
5.570E-03	1.207441E-02
7.190E-03	1.198331E-02
9.280E-03	1.186880E-02
1.200E-02	1.172443E-02
1.550E-02	1.154577E-02
2.000E-02	1.132688E-02
2.580E-02	1.106131E-02
3.340E-02	1.073933E-02
4.310E-02	1.036768E-02
5.570E-02	9.944621E-03
7.190E-02	9.489307E-03
9.280E-02	9.030572E-03
1.200E-01	8.617253E-03
1.550E-01	8.332784E-03
2.000E-01	8.278468E-03
2.580E-01	8.569427E-03
3.340E-01	9.326563E-03
4.310E-01	1.059116E-02
5.570E-01	1.234960E-02
7.190E-01	1.443028E-02
9.280E-01	1.655723E-02
1.200E+00	1.835214E-02
1.550E+00	1.932904E-02
2.000E+00	1.905043E-02
2.580E+00	1.724100E-02
3.340E+00	1.392594E-02
4.310E+00	9.773254E-03
5.570E+00	5.687167E-03
7.190E+00	2.615419E-03
9.280E+00	8.866193E-04
1.200E+01	2.004004E-04
1.550E+01	2.737852E-05
2.000E+01	1.968368E-06
2.580E+01	6.177162E-08
3.340E+01	6.214367E-10
4.310E+01	1.661567E-12
5.570E+01	7.224601E-16
7.190E+01	0.000000E+00
9.280E+01	0.000000E+00
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

