[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.73	0.905	96.9%	0.005	96.9%	185.5	20.0%	1.355	94.8%	79.74%	13.7%	35.0%	51.3%	[1-0.42 0]
1	H	(3)	40.50	0.550	100.0%	0.006	100.0%	153.8	23.8%	0.994	100.0%	59.10%	21.9%	35.6%	42.5%	[1-0.42 0]
2	H	(3)	60.20	0.594	94.7%	0.010	94.7%	143.5	24.3%	1.150	91.5%	46.58%	24.5%	35.7%	39.8%	[1-0.42 0]
3	H	(3)	79.89	0.648	77.6%	0.014	77.6%	140.4	21.1%	1.282	74.7%	38.80%	25.4%	35.7%	38.9%	[1-0.42 0]
4	H	(3)	99.60	0.636	70.7%	0.018	70.7%	137.9	18.9%	1.281	68.1%	35.22%	27.9%	34.2%	38.0%	[1-0.42 0]
5	H	(3)	120.48	0.551	62.1%	0.018	62.1%	126.2	16.8%	1.213	59.8%	33.14%	30.9%	34.5%	34.7%	[1-0.42 0]
6	H	(3)	140.19	0.635	47.8%	0.025	47.8%	128.7	12.7%	1.370	46.1%	28.93%	30.4%	34.3%	35.3%	[1-0.42 0]
7	H	(3)	159.90	0.638	42.0%	0.028	42.0%	131.4	9.1%	1.348	41.0%	27.45%	29.9%	34.2%	36.0%	[1-0.42 0]
8	H	(3)	179.61	0.577	40.2%	0.029	40.2%	124.3	8.9%	1.290	39.2%	26.35%	31.2%	34.6%	34.2%	[1-0.42 0]
9	H	(3)	200.47	0.559	42.1%	0.031	42.1%	124.5	11.7%	1.247	40.4%	25.24%	29.6%	36.0%	34.4%	[1-0.42 0]
10	H	(3)	220.16	0.523	37.7%	0.032	37.7%	109.1	12.5%	1.331	35.6%	23.33%	31.8%	38.1%	30.1%	[1-0.42 0]
11	H	(3)	241.01	0.473	36.8%	0.032	36.8%	98.4	13.3%	1.335	34.4%	22.18%	35.5%	37.3%	27.2%	[1-0.42 0]
12	H	(3)	260.72	0.473	37.5%	0.034	37.5%	98.6	13.4%	1.333	35.0%	21.46%	38.5%	34.6%	27.0%	[1-0.42 0]
