[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.70	0.603	78.3%	0.003	78.3%	84.4	20.5%	1.983	75.5%	59.10%	16.1%	52.1%	31.8%	[1-0.43 0]
1	H	(3)	41.65	0.553	76.2%	0.006	76.2%	87.2	20.8%	1.763	73.4%	44.39%	13.0%	52.1%	34.9%	[1-0.43 0]
2	H	(3)	58.98	1.007	52.5%	0.016	52.5%	124.0	15.5%	2.254	50.1%	34.43%	10.8%	43.0%	46.2%	[1-0.43 0]
3	H	(3)	79.80	0.987	48.6%	0.022	48.6%	127.8	13.3%	2.145	46.7%	30.13%	10.1%	44.0%	45.9%	[1-0.43 0]
4	H	(3)	99.49	1.086	43.3%	0.030	43.3%	135.3	12.7%	2.229	41.3%	26.95%	8.8%	41.8%	49.4%	[1-0.43 0]
5	H	(3)	119.18	1.198	35.9%	0.040	35.9%	154.1	11.7%	2.159	33.9%	24.50%	7.8%	37.2%	55.0%	[1-0.43 0]
6	H	(3)	140.02	1.364	32.4%	0.053	32.4%	172.5	12.9%	2.197	29.7%	22.88%	8.3%	34.2%	57.5%	[1-0.43 0]
7	H	(3)	160.89	1.383	30.0%	0.062	30.0%	170.3	11.8%	2.256	27.5%	21.34%	9.4%	36.4%	54.2%	[1-0.43 0]
8	H	(3)	180.59	1.510	28.1%	0.076	28.1%	179.1	11.1%	2.342	25.8%	19.61%	10.1%	34.3%	55.6%	[1-0.43 0]
9	H	(3)	199.15	1.637	25.3%	0.091	25.3%	183.5	10.1%	2.478	23.2%	18.35%	11.8%	34.5%	53.7%	[1-0.43 0]
10	H	(3)	219.98	1.652	23.9%	0.101	23.9%	184.2	8.9%	2.491	22.1%	17.44%	11.8%	36.1%	52.0%	[1-0.43 0]
11	H	(3)	239.68	1.693	19.8%	0.113	19.8%	181.4	5.6%	2.593	19.0%	16.12%	11.3%	36.9%	51.8%	[1-0.43 0]
12	H	(3)	259.38	1.708	18.1%	0.123	18.1%	181.5	5.5%	2.615	17.2%	15.28%	11.7%	36.8%	51.6%	[1-0.43 0]
13	H	(3)	280.23	1.667	17.2%	0.130	17.2%	180.1	5.2%	2.570	16.4%	14.82%	12.1%	36.8%	51.1%	[1-0.43 0]
14	H	(3)	299.94	1.700	16.4%	0.142	16.4%	181.9	4.7%	2.596	15.7%	14.27%	13.7%	34.9%	51.4%	[1-0.43 0]
15	H	(3)	319.61	1.625	16.0%	0.144	16.0%	175.0	4.8%	2.580	15.3%	13.89%	14.3%	34.4%	51.4%	[1-0.43 0]
16	H	(3)	339.30	1.690	15.3%	0.159	15.3%	179.2	4.8%	2.619	14.6%	13.41%	15.8%	32.0%	52.2%	[1-0.43 0]
17	H	(3)	360.14	1.607	14.9%	0.161	14.9%	172.6	5.1%	2.586	14.0%	13.01%	15.5%	32.3%	52.2%	[1-0.43 0]
18	H	(3)	379.82	1.608	15.1%	0.170	15.1%	177.2	5.9%	2.521	13.9%	12.76%	16.1%	30.3%	53.6%	[1-0.43 0]
19	H	(3)	399.52	1.526	15.2%	0.169	15.2%	170.9	6.9%	2.481	13.6%	12.46%	14.9%	32.2%	52.9%	[1-0.43 0]
20	H	(3)	420.38	1.496	15.0%	0.175	15.0%	169.5	6.9%	2.451	13.3%	12.14%	15.3%	32.7%	52.0%	[1-0.43 0]
21	H	(3)	440.07	1.449	14.5%	0.177	14.5%	164.4	6.6%	2.448	12.9%	11.88%	14.6%	33.8%	51.7%	[1-0.43 0]
22	H	(3)	459.76	1.548	14.0%	0.198	14.0%	171.6	6.4%	2.506	12.5%	11.49%	15.9%	31.9%	52.1%	[1-0.43 0]
23	H	(3)	479.46	1.536	13.6%	0.205	13.6%	170.3	6.1%	2.505	12.2%	11.24%	16.9%	31.7%	51.5%	[1-0.43 0]
24	H	(3)	500.32	1.604	12.8%	0.223	12.8%	172.9	5.4%	2.576	11.6%	10.89%	18.7%	30.5%	50.8%	[1-0.43 0]
25	H	(3)	519.99	1.610	12.6%	0.233	12.6%	177.1	4.9%	2.525	11.6%	10.71%	19.5%	30.0%	50.5%	[1-0.00 2]
26	H	(3)	539.68	1.608	13.1%	0.241	13.1%	177.6	6.4%	2.515	11.4%	10.54%	19.7%	31.4%	48.9%	[1-0.00 2]
27	H	(3)	560.55	1.547	12.8%	0.241	12.8%	173.0	6.4%	2.484	11.1%	10.30%	19.4%	33.3%	47.3%	[1-0.00 2]
28	H	(6)	580.24	1.483	12.8%	0.239	12.8%	168.8	6.8%	2.440	10.9%	10.15%	18.6%	35.8%	45.6%	[1-0.00 2]
29	H	(6)	599.94	1.461	12.8%	0.244	12.8%	167.9	7.1%	2.419	10.6%	9.99%	17.4%	37.4%	45.2%	[1-0.00 2]
30	H	(6)	619.65	1.453	13.3%	0.250	13.3%	169.1	8.0%	2.387	10.6%	9.89%	16.8%	37.8%	45.4%	[1-0.00 2]
31	H	(6)	640.50	1.461	12.6%	0.260	12.6%	167.7	7.2%	2.419	10.3%	9.72%	17.0%	37.4%	45.6%	[1-0.19 2]
32	H	(6)	660.22	1.491	12.9%	0.273	12.9%	167.4	8.1%	2.475	10.0%	9.52%	17.0%	37.1%	45.9%	[1-0.43 0]
33	H	(6)	679.92	1.493	12.7%	0.282	12.7%	167.4	7.9%	2.477	9.9%	9.40%	17.1%	36.3%	46.6%	[1-0.43 0]
34	H	(6)	699.62	1.460	12.9%	0.284	12.9%	163.8	8.3%	2.476	9.8%	9.28%	17.3%	36.6%	46.1%	[1-0.43 2]
35	H	(6)	720.48	1.452	12.7%	0.291	12.7%	163.3	8.1%	2.470	9.7%	9.17%	17.4%	36.6%	46.1%	[1-0.43 0]
36	H	(6)	740.18	1.458	12.4%	0.300	12.4%	164.8	7.8%	2.457	9.7%	9.08%	17.8%	36.1%	46.1%	[1-0.43 0]
37	H	(6)	759.89	1.455	12.0%	0.307	12.0%	165.0	7.2%	2.449	9.5%	8.96%	17.8%	36.2%	46.0%	[1-0.43 0]
