[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	39.50	0.191	100.0%	0.002	100.0%	137.5	41.1%	0.386	100.0%	100.00%	27.3%	34.7%	38.0%	[1-0.43 0]
1	H	(3)	59.19	0.180	100.0%	0.003	100.0%	148.0	35.8%	0.338	100.0%	88.07%	26.0%	33.0%	41.0%	[1-0.43 0]
2	H	(3)	80.03	0.161	100.0%	0.004	100.0%	159.4	29.4%	0.280	100.0%	83.19%	22.0%	33.9%	44.1%	[1-0.43 0]
3	H	(3)	99.72	0.219	100.0%	0.006	100.0%	177.2	25.5%	0.344	100.0%	66.94%	20.7%	30.1%	49.3%	[1-0.43 0]
4	H	(3)	119.43	0.216	100.0%	0.007	100.0%	188.0	23.2%	0.319	100.0%	64.77%	20.5%	27.1%	52.4%	[1-0.43 0]
5	H	(3)	139.14	0.291	78.1%	0.011	78.1%	197.0	19.0%	0.410	75.7%	53.62%	18.4%	26.7%	54.9%	[1-0.43 0]
6	H	(3)	160.02	0.299	62.8%	0.013	62.8%	200.1	15.8%	0.414	60.8%	49.51%	17.0%	27.2%	55.8%	[1-0.43 0]
7	H	(3)	179.71	0.325	58.3%	0.016	58.3%	207.5	14.3%	0.435	56.5%	45.41%	19.4%	22.8%	57.9%	[1-0.43 0]
8	H	(3)	199.41	0.292	53.4%	0.016	53.4%	186.7	12.9%	0.434	51.8%	42.13%	23.9%	24.2%	51.9%	[1-0.43 0]
9	H	(3)	220.25	0.286	47.4%	0.018	47.4%	173.0	11.6%	0.460	46.0%	39.35%	25.1%	26.9%	48.0%	[1-0.43 0]
10	H	(3)	239.96	0.266	43.8%	0.018	43.8%	155.9	11.1%	0.474	42.4%	36.72%	28.8%	28.3%	42.9%	[1-0.43 0]
11	H	(3)	259.65	0.221	43.7%	0.016	43.7%	135.6	11.3%	0.453	42.2%	36.07%	32.4%	30.7%	37.0%	[1-0.43 0]
12	H	(3)	280.51	0.201	42.9%	0.016	42.9%	121.3	10.9%	0.461	41.5%	34.56%	32.1%	35.0%	33.0%	[1-0.43 0]
13	H	(3)	300.20	0.190	47.6%	0.016	47.6%	125.2	14.1%	0.422	45.5%	34.44%	29.0%	37.1%	33.9%	[1-0.43 0]
14	H	(3)	321.07	0.177	52.2%	0.016	52.2%	122.0	17.3%	0.403	49.2%	33.96%	28.8%	38.3%	32.9%	[1-0.43 0]
15	H	(3)	340.77	0.185	52.2%	0.017	52.2%	124.8	20.4%	0.411	48.0%	32.71%	27.0%	39.0%	34.0%	[1-0.43 0]
16	H	(3)	360.46	0.213	53.5%	0.021	53.5%	141.4	21.9%	0.418	48.7%	31.48%	26.4%	34.8%	38.8%	[1-0.43 0]
17	H	(3)	381.32	0.192	55.3%	0.020	55.3%	134.8	22.6%	0.396	50.5%	31.23%	27.5%	35.6%	36.9%	[1-0.43 0]
18	H	(3)	401.01	0.184	56.4%	0.021	56.4%	133.1	22.6%	0.384	51.6%	30.77%	27.7%	35.7%	36.6%	[1-0.43 0]
19	H	(3)	420.72	0.181	55.8%	0.021	55.8%	132.0	22.5%	0.381	51.1%	30.24%	27.9%	35.7%	36.4%	[1-0.43 0]
20	H	(3)	440.41	0.195	54.1%	0.024	54.1%	136.7	21.5%	0.397	49.7%	29.12%	29.6%	33.0%	37.4%	[1-0.43 0]
21	H	(3)	460.11	0.167	49.3%	0.021	49.3%	116.2	20.0%	0.400	45.1%	28.40%	31.0%	37.5%	31.5%	[1-0.43 0]
22	H	(3)	479.81	0.143	46.4%	0.019	46.4%	100.3	21.6%	0.396	41.1%	28.04%	32.2%	41.0%	26.8%	[1-0.43 0]
23	H	(3)	500.68	0.116	40.2%	0.016	40.2%	78.7	19.6%	0.410	35.1%	26.83%	36.0%	43.6%	20.4%	[1-0.43 0]
24	H	(3)	520.39	0.094	34.0%	0.014	34.0%	63.6	15.3%	0.409	30.4%	26.06%	38.7%	45.4%	15.9%	[1-0.43 0]
25	H	(3)	540.08	0.077	29.5%	0.012	29.5%	53.5	10.1%	0.400	27.7%	25.64%	39.3%	47.7%	13.0%	[1-0.43 0]
26	H	(3)	559.78	0.086	29.2%	0.013	29.2%	59.8	10.2%	0.401	27.4%	25.34%	38.5%	46.5%	14.9%	[1-0.43 0]
27	H	(3)	580.64	0.097	29.1%	0.016	29.1%	66.5	10.6%	0.404	27.1%	24.99%	38.9%	44.0%	17.1%	[1-0.43 0]
28	H	(3)	600.34	0.116	28.8%	0.019	28.8%	78.4	11.1%	0.410	26.5%	24.63%	38.4%	41.5%	20.1%	[1-0.43 0]
29	H	(3)	620.06	0.119	28.7%	0.021	28.7%	80.4	11.5%	0.412	26.3%	24.39%	40.0%	39.2%	20.7%	[1-0.43 0]
30	H	(3)	639.76	0.120	27.7%	0.021	27.7%	79.1	11.3%	0.422	25.3%	23.87%	41.6%	37.7%	20.6%	[1-0.43 0]
31	H	(3)	660.66	0.119	27.5%	0.022	27.5%	77.8	10.5%	0.425	25.4%	23.47%	42.5%	37.2%	20.3%	[1-0.43 0]
32	H	(3)	681.51	0.124	28.6%	0.023	28.6%	81.0	10.1%	0.425	26.7%	23.13%	42.8%	36.5%	20.7%	[1-0.43 0]
33	H	(3)	701.18	0.113	29.8%	0.022	29.8%	75.3	9.9%	0.417	28.1%	22.89%	42.1%	38.3%	19.6%	[1-0.43 0]
34	H	(3)	722.04	0.119	30.9%	0.024	30.9%	78.5	10.4%	0.419	29.0%	22.49%	40.6%	38.4%	21.0%	[1-0.43 0]
35	H	(3)	741.76	0.124	30.9%	0.026	30.9%	80.1	10.0%	0.430	29.3%	21.75%	38.8%	39.8%	21.5%	[1-0.43 0]
36	H	(3)	762.62	0.130	32.3%	0.028	32.3%	84.5	10.9%	0.428	30.5%	21.47%	37.4%	39.9%	22.8%	[1-0.43 0]
37	H	(3)	783.49	0.134	32.2%	0.029	32.2%	87.0	10.7%	0.427	30.3%	21.21%	35.8%	40.4%	23.8%	[1-0.43 0]
38	H	(3)	802.06	0.143	31.7%	0.032	31.7%	92.1	10.9%	0.431	29.8%	20.80%	33.9%	41.2%	24.9%	[1-0.43 0]
39	H	(3)	821.76	0.140	32.2%	0.032	32.2%	91.1	11.8%	0.426	29.9%	20.46%	32.0%	43.7%	24.3%	[1-0.43 0]
40	H	(3)	842.61	0.134	33.6%	0.031	33.6%	89.7	14.6%	0.416	30.2%	20.20%	30.3%	46.0%	23.8%	[1-0.43 0]
41	H	(3)	859.99	0.132	33.7%	0.032	33.7%	88.6	15.3%	0.414	30.1%	19.90%	29.1%	47.2%	23.7%	[1-0.43 0]
42	H	(3)	884.35	0.135	36.5%	0.033	36.5%	91.8	20.3%	0.408	30.3%	19.65%	28.1%	47.8%	24.1%	[1-0.43 0]
43	H	(3)	900.56	0.141	37.3%	0.035	37.3%	96.3	21.4%	0.406	30.6%	19.58%	27.1%	47.6%	25.2%	[1-0.43 0]
44	H	(3)	921.44	0.179	37.1%	0.046	37.1%	115.7	18.3%	0.429	32.3%	19.08%	26.8%	41.9%	31.3%	[1-0.43 0]
45	H	(3)	941.12	0.212	39.3%	0.055	39.3%	135.7	19.0%	0.433	34.4%	18.96%	27.0%	36.3%	36.7%	[1-0.43 0]
46	H	(3)	960.81	0.211	38.3%	0.056	38.3%	136.5	18.2%	0.429	33.6%	18.68%	25.5%	37.6%	36.9%	[1-0.43 0]
47	H	(3)	981.67	0.202	36.7%	0.055	36.7%	134.0	15.0%	0.418	33.5%	18.63%	24.5%	38.6%	37.0%	[1-0.43 0]
48	H	(3)	1001.36	0.193	36.3%	0.054	36.3%	133.2	13.5%	0.402	33.7%	18.63%	23.5%	40.0%	36.5%	[1-0.43 0]
49	H	(3)	1021.06	0.163	33.5%	0.046	33.5%	115.9	15.2%	0.392	29.8%	18.43%	21.2%	47.5%	31.3%	[1-0.43 0]
50	H	(3)	1040.78	0.140	28.8%	0.040	28.8%	100.5	11.2%	0.386	26.6%	18.21%	19.5%	53.9%	26.5%	[1-0.43 0]
51	H	(3)	1061.64	0.143	29.7%	0.042	29.7%	101.4	13.6%	0.392	26.4%	17.90%	20.5%	52.8%	26.6%	[1-0.43 0]
52	H	(3)	1081.34	0.151	32.4%	0.045	32.4%	107.6	16.7%	0.391	27.8%	17.90%	22.0%	49.6%	28.4%	[1-0.43 0]
53	H	(3)	1101.05	0.152	32.7%	0.046	32.7%	106.4	17.5%	0.396	27.7%	17.77%	22.9%	48.6%	28.4%	[1-0.43 0]
54	H	(3)	1121.93	0.154	31.6%	0.048	31.6%	105.8	16.9%	0.405	26.7%	17.55%	25.6%	46.3%	28.1%	[1-0.43 0]
55	H	(3)	1142.81	0.147	31.3%	0.047	31.3%	101.8	16.5%	0.400	26.6%	17.48%	26.5%	45.5%	28.0%	[1-0.43 0]
56	H	(3)	1162.52	0.138	29.8%	0.044	29.8%	97.8	13.7%	0.391	26.5%	17.46%	26.4%	46.4%	27.2%	[1-0.43 0]
57	H	(3)	1182.23	0.125	27.5%	0.041	27.5%	90.3	10.8%	0.383	25.3%	17.38%	25.3%	50.0%	24.7%	[1-0.43 0]
58	H	(3)	1200.78	0.126	26.4%	0.042	26.4%	90.1	10.4%	0.389	24.3%	17.14%	24.9%	50.0%	25.0%	[1-0.43 0]
59	H	(3)	1220.49	0.130	25.1%	0.044	25.1%	90.2	9.7%	0.400	23.1%	16.90%	25.7%	49.3%	25.0%	[1-0.96 0]
60	H	(3)	1241.35	0.139	24.4%	0.048	24.4%	95.5	9.5%	0.406	22.5%	16.82%	27.8%	46.1%	26.1%	[1-0.96 0]
61	H	(3)	1261.06	0.150	23.3%	0.052	23.3%	100.8	9.0%	0.413	21.4%	16.68%	29.5%	43.4%	27.2%	[1-0.96 0]
62	H	(3)	1280.77	0.158	22.2%	0.056	22.2%	104.5	9.0%	0.419	20.3%	16.55%	31.2%	40.9%	27.9%	[1-1.00 1]
63	H	(3)	1300.48	0.165	20.9%	0.060	20.9%	105.9	8.0%	0.432	19.3%	16.32%	33.8%	38.2%	28.0%	[1-0.95 0]
64	H	(3)	1321.34	0.169	20.7%	0.062	20.7%	109.0	8.5%	0.431	18.9%	16.29%	33.3%	38.0%	28.6%	[1-0.94 0]
65	H	(3)	1341.07	0.164	20.4%	0.061	20.4%	107.8	8.9%	0.423	18.4%	16.25%	31.9%	39.6%	28.5%	[1-0.86 0]
66	H	(3)	1360.75	0.159	20.7%	0.060	20.7%	105.9	9.8%	0.417	18.3%	16.15%	30.6%	41.9%	27.4%	[1-0.77 0]
